Request Number,Office,Date Closed,Summary of Request,Disposition of Request,Exemption(s) Applied (if applicable),Description of Exemption(s) (if applicable),,
FOIA-2015-03128,OLP,06/01/2015,"Information concerning judicial nominations, guidance documents and organization chart from the Office of Legal Policy",Full Grant of publicly available material,,,,
FOIA-2015-03147,OIP,06/01/2015,record of an unspecified proceeding,Provided requester with DOJ FOIA Reference Guide; Provided other relevant information and assistance,,,,
FOIA-2013-05497,AG,06/02/2015,"records from the Departmental Executive Secretariat corresponding to the search term ""CIA torture""",Referral: Records were located and referred to more appropriate entities (CRT and HHS),,,,
FOIA-2015-03004,OLP,06/02/2015,"names, locations, and telephone numbers of the justices and judges who took the oath pursuant to 28 U.S.C. 453 in the state of Arizona, preferably the Glendale area",Full Grant of publicly available material,,,,
FOIA-2015-03235,OIP,06/02/2015,legal assistance,Provided relevant information and assistance,,,,
FOIA-2015-03246,OIP,06/02/2015,various records related to a specific criminal act,Referred requester and/or request to more appropriate entity (EOUSA),,,,
FOIA-2015-03250,OIP,06/02/2015,various records related to a specific criminal act,Referred requester and/or request to more appropriate entity (EOUSA),,,,
FOIA-2015-03328,AG,06/02/2015,"all correspondence from January 1, 2012 to May 14, 2015 between the European Court of Human Rights and the seven named Offices you identified in your request",No Records responsive to request were located,,,,
FOIA-2015-03336,AG,06/02/2015,"all correspondence from January 1, 2014 to May 14, 2015 between the International Criminal Court and the seven named Offices you identified in your request",No Records responsive to request were located,,,,
FOIA-2015-03493,DAG,06/02/2015,"all correspondence from January 1, 2012 to May 14, 2015 between the European Court of Human Rights and the seven named Offices you identified in your request",No Records responsive to request were located,,,,
FOIA-2015-03494,ASG,06/02/2015,"all correspondence from January 1, 2012 to May 14, 2015 between the European Court of Human Rights and the seven named Offices you identified in your request",No Records responsive to request were located,,,,
FOIA-2015-03498,OIP,06/02/2015,"all correspondence from January 1, 2012 to May 14, 2015 between the European Court of Human Rights and the seven named Offices you identified in your request",No Records responsive to request were located,,,,
FOIA-2015-03499,DAG,06/02/2015,"all correspondence from January 1, 2014 to May 14, 2015 between the International Criminal Court and the seven named Offices you identified in your request",No Records responsive to request were located,,,,
FOIA-2015-03500,ASG,06/02/2015,"all correspondence from January 1, 2014 to May 14, 2015 between the International Criminal Court and the seven named Offices you identified in your request",No Records responsive to request were located,,,,
