Request Number,Office,Date Closed,Summary of Request,Disposition of Request,Exemption(s) Applied (if applicable),Description of Exemption(s) (if applicable)
FOIA-2014-04959,OIP ,10/3/14,Records pertaining to a third party,Referred requester and/or request to more appropriate entity (FBI & NARA),,
FOIA-2014-04671,OAG,10/4/14,"Copy of the "" Attorney General's Guidelines for Domestic FBI Undercover Operations""",Duplicate Documents: Referred records previously provided to same requester,,
FOIA-2014-04675,OIP ,10/6/14,"Cable traffic, intelligence reports, assessments and memoranda  from April10, 1997 to January 1, 1998 relating to a German court ruling in the September 1992 Mykonos restaurant bombing case in Berlin",Referred requester and/or request to more appropriate entity (FBI & State),,
FOIA-2014-04120,OAG,10/7/14,Unemployment insurance fraud cases the Inspector General for DC referred to the Office of the Attorney General for prosecution since January 2004,No Records,,
FOIA-2014-04805,OAG,10/7/14,"Memorandum from Attorney General Eric Holder for ""U.S. Attorneys Retroactive Application of Department Policy on Charging Mandatory Minimum Sentences and Recidivist Enhancements in Certain Drug Cases"" dated August 29,2013",Full Grant,,
FOIA-2014-04971,OAG,10/7/14,"Award determinations made under the Financial Institutions Reform, Recovery, and Enforcement Act, the Crime Control Act of 1990 and the Federal Deposit Insurance Act",Records were located and referred to more appropriate entities (Civil Division & EOUSA),,
FOIA-2013-03782,OASG ,10/8/14,"Records pertaining to the ""Operation White Tiger Project""",No Records,,
FOIA-2014-04439,OAG,10/8/14,"Copy of an OIG Report dated July 2014, entitled An Assessment of the 1996 DOJ Task Force Review of the FBI Laboratory",Full Grant of publicly available material,,
FOIA-2014-04440,ODAG ,10/8/14,"Copy of an OIG Report dated July 2014, entitled An Assessment of the 1996 DOJ Task Force Review of the FBI Laboratory",Full Grant of publicly available material,,
FOIA-2014-04870,OIP ,10/8/14,Records regarding China's anti-monopoly law,Referred requester and/or request to more appropriate entity (ATR),,
FOIA-2014-04947,OIP ,10/8/14,Data for calendar years 2012 and 2013 from the Drug Enforcement Administration's ARCOS system,Referred requester and/or request to more appropriate entity (DEA),,
FOIA-2014-04894,OIP ,10/9/14,U.S. Government Manual,Provided relevant information and assistance,,
FOIA-2014-04941,OIP ,10/9/14,"Records pertaining to ""common law""",Provided relevant information and assistance,,
FOIA-2014-04681,OAG,10/10/14,Records pertaining to a federal case and to related firearm possession policies and regulations in light of  Section 922 (g)(1) of Title 18 of United States Code,No Records; Referred requester and/or request to more appropriate entity (EOUSA),,
FOIA-2014-03502,ODAG ,10/14/14,Records related to the Department's investigation of Senator John Ensign,Partial Grant/Partial Denial,"(b)(6), (b)(7)(C) ","Information the release of which would constitute a clearly unwarranted invasion of the personal privacy of a third party; Records or information compiled for law enforcement purposes, the release of which could reasonably be expected to constitute an unwarranted invasion of the personal privacy of a third party"
FOIA-2014-03503,OLA ,10/14/14,Records related to the Department's investigation of Senator John Ensign,Partial Grant/Partial Denial,"(b)(6), (b)(7)(C) ","Information the release of which would constitute a clearly unwarranted invasion of the personal privacy of a third party; Records or information compiled for law enforcement purposes, the release of which could reasonably be expected to constitute an unwarranted invasion of the personal privacy of a third party"
FOIA-2014-05023,OIP ,10/14/14,Federal Bureau of Investigation records on John Howard Lawson (deceased),Referred requester and/or request to more appropriate entity (FBI),,
FOIA-2014-05029,OIP ,10/14/14,Federal Bureau of Investigation records on Bartley Cavanaugh Crum (deceased),Referred requester and/or request to more appropriate entity (FBI),,
FOIA-2014-04792,OIP ,10/15/14,A log of all state and local law enforcement agencies in the Commonwealth of Virginia that have completed non-disclosure agreements consistent with the conditions on the equipment authorization granted to Harris Corporation by the Federal Communications Commission.,"Referred requester and/or request to more appropriate entity (FBI, ATF, USMS, DEA, FCC, State of VA)",,
FOIA-2015-00030,OIP ,10/15/14,Records concerning the California Department of Corrections,Provided relevant information and assistance,,
FOIA-2015-00087,OIP ,10/15/14,"Records regarding a Federal Bureau of Investigation (FBI) investigation of the Lawrence (Kansas) Police Department, completed in 2012",Referred requester and/or request to more appropriate entity (FBI),,
FOIA-2014-01103,OAG,10/16/14,Copies of documents released in case number DHS/OS/PRIV 12-0254,Partial Grant/Partial Denial of Referred Records,"(b)(6), (b)(7)(C)","Information the release of which would constitute a clearly unwarranted invasion of the personal privacy of a third party; Records or information compiled for law enforcement purposes, the release of which could reasonably be expected to constitute an unwarranted invasion of the personal privacy of a third party"
FOIA-2014-01104,ODAG,10/16/14,Copies of documents released in case number DHS/OS/PRIV 12-0254,Partial Grant/Partial Denial of Referred Records,"(b)(6), (b)(7)(C)","Information the release of which would constitute a clearly unwarranted invasion of the personal privacy of a third party; Records or information compiled for law enforcement purposes, the release of which could reasonably be expected to constitute an unwarranted invasion of the personal privacy of a third party"
FOIA-2014-04800,OAG,10/16/14,"Records pertaining to congressional acts concerning the prohibition of federally incarcerated inmates from opening a stock, commodity or futures trading account in their name while in the custody of the Federal Bureau of Prisons (BOP)",No Records,,
