Request Number,Office,Date Closed,Summary of Request,Disposition of Request,Exemption(s) Applied (if applicable),Description of Exemption(s) (if applicable),
FOIA-2013-03860,ODAG,8/1/13,"Records pertaining to ""sensitive coverage placed at the request of the White House, a/k/a Specov",Duplicate Documents: Referred records previously provided to same requester,,,
FOIA-2013-03967,OAG,8/1/13,Report pertaining to Section E of the Presidential Policy Direction 19 (PPD-19),No Records,,,
FOIA-2013-04031,OIP,8/1/13,"FOIA logs for January and February 2012, and Department of Justice press release “logs” for December 2010, January 2011, February 2013, and March 2013",Full Grant,,,
FOIA-2013-04032,PAO,8/1/13,"FOIA logs for January and February 2012, and Department of Justice press release “logs” for December 2010, January 2011, February 2013, and March 2013",Full Grant,,,
FOIA-2013-04035,OAG,8/1/13,Report pertaining to Section E of the Presidential Policy Direction 19 (PPD-19),Duplicate Documents: Referred records previously provided to same requester,,,
FOIA-2013-04105,OIP,8/1/13,Records pertaining to the Department's mission in Iraq,Provided requester with publicly available information,,,
FOIA-2013-04148,OIP,8/1/13,Copy of the Prison Rape Elimination Act and 28 U.S.C. §115.15,Provided requester with publicly available online information,,,
FOIA-2013-04151,OIP,8/1/13,Copy of Department of Justice Freedom of Information Act Reference Guide and information on how to file a complaint,Provided a paper copy of DOJ FOIA Reference Guide and  a link to DOJ's online Action Center for purposes of making a complaint,,,
FOIA-2013-04156,OIP,8/1/13,Requested information how to file a complaint with the Department of Justice  ,Provided requester with printouts pertaining to the DOJ Action Center and also included a paper copy of the DOJ Reference Guide.,,,
FOIA-2013-04176,OIP,8/1/13,Copies of the slip opinions for Miller v. Alabama and Jackson v. Hobbs,Informed requester that the FOIA does not apply to records of the judicial branch; Determined that the Supreme Court of the United States was the most appropriate entity for handling and referred requester to that entity for further information,,,
FOIA-2013-04191,OIP,8/1/13,Records on Arthur Alexandrovich Adams,Determined that records were improperly referred to OIP for processing and forwarded records back to entity originally handling request for further processing,,,
FOIA-2011-00533,OLA,8/2/13,Correspondence between the United States Commission on Civil Rights and the Civil Rights Division concerning the New Black Panther litigation,Partial Grant/Partial Denial/Partial Referral: Documents referred to the U.S. Commission on Civil Rights for processing and direct response to the requester,(b)(5),Certain inter- and intra-agency communications protected by legal privileges,
