Request Number,Office,Date Closed,Summary of Request,Disposition of Request,Exemption(s) Applied (if applicable),Description of Exemption(s) (if applicable)
FOIA-2015-00513,OLP ,12/2/14,Oaths of Office for Magistrate Judge Dennis H. Inman and U.S. District Court Judge J. Ronnie Greer of the Eastern District of Tennessee,Partial Grant/Partial Denial; Referred requester and/or request to more appropriate entity (AOUSC),(b)(6),Information the release of which would constitute a clearly unwarranted invasion of the personal privacy of a third party
FOIA-2015-00732,OIP ,12/2/14,Websites visited by Assistant United States Attorney Michael D. Anderson between June 2014 and November 2014,Referred requester and/or request to more appropriate entity (EOUSA),,
FOIA-2015-00733,OIP ,12/2/14,"Records pertaining to an October 23, 2014 Drug Enforcement Administration raid of two medical marijuana dispensaries called ""The Farmacy"" in West Hollywood and Westwood Village",Referred requester and/or request to more appropriate entity (DEA),,
FOIA-2015-00841,OIP ,12/2/14,Inquiring about a prior Freedom of Information Act (FOIA) request,Provided relevant information and assistance,,
FOIA-2015-00478,OAG,12/4/14,"Copy of the latest report regarding ""Operation Streamline""","Referred requester and/or request to more appropriate entity (EOUSA, DHS)",,
FOIA-2015-00520,OIP ,12/4/14,Raising various general complaints,Provided relevant information and assistance,,
FOIA-2015-00523,OLP ,12/4/14,"Presidential Commissions, Appointment Affidavits, Oaths of Office, and Senate Confirmation documents for Magistrate Judge Kenneth G. Gale, Judge Daniel Crabtree, and Judge Kathryn Vratil",Partial Grant/Partial Denial; Referred requester and/or request to more appropriate entity (AOUSC),(b)(6),Information the release of which would constitute a clearly unwarranted invasion of the personal privacy of a third party
FOIA-2015-00607,OIP,12/4/14,Records pertaining to a third party,Provided relevant information and assistance,,
FOIA-2015-00608,OIP,12/4/14,Records pertaining to a third party,Provided relevant information and assistance,,
FOIA-2015-00609,OIP,12/4/14,Records pertaining to a third party,Provided relevant information and assistance,,
FOIA-2015-00613,OIP,12/4/14,Information about filing a civil rights complaint,Referred requester and/or request to more appropriate entity (CRT),,
FOIA-2015-00840,OIP ,12/4/14,"A copy of the ""act or contract that was signed that allowed the federal government to aid or assist the Philadelphia Police Department, around 2007 through 2009""",Referred requester and/or request to more appropriate entity (COPS); Provided copy of DOJ FOIA Reference Guide,,
FOIA-2014-02025,OAG,12/5/14,"E-mails between specific Civil Rights Division officials and the Attorney General, former Associate Attorney General Thomas Perrelli, or Samuel Hirsch from October 1, 2008, to December 31, 2009",Referral: Records were located and referred to more appropriate entity (OASG),,
FOIA-2015-00477,OAG,12/5/14,"A copy of the latest report on ""the Adam Walsh Act""",Provided requester with DOJ FOIA Reference Guide; Provided other relevant information and assistance,,
FOIA-2015-00796,OIP ,12/5/14,"Correspondence, specifically e-mails, mentioning ""Victor Law or Vic Laws related to federal case no. 1:07- cv- 1685 (MD)  between June 2008 and March 2013""",Referred requester and/or request to more appropriate entity (EOUSA),,
FOIA-2015-00803,OIP ,12/5/14,Records pertaining to a federal case,Referred requester and/or request to more appropriate entity (EOUSA); Provided other relevant information and assistance,,
FOIA-2015-00831,OIP ,12/5/14,Records pertaining to employment as Assistant United States Trustee from December 1981 to June 1983.,Referred requester and/or request to more appropriate entity (EOUST),,
FOIA-2015-00193,OAG,12/8/14,Records pertaining to Hunter Biden's discharge from the Navy,No Records,,
FOIA-2015-00471,OIP ,12/8/14,"Records from immigration court and ""asylum department""",Referred requester and/or request to more appropriate entity (EOIR),,
FOIA-2015-00687,OIP ,12/8/14,Records pertaining to various individuals,Provided requester with DOJ FOIA Reference Guide; Provided other relevant information and assistance,,
