Request Number,Office,Date Closed,Summary of Request,Disposition of Request,Exemption(s) Applied (if applicable),Description of Exemption(s) (if applicable),,
FOIA-2015-02739,OLP,5/1/15,"Oath of Office, Appointment Affidavits, Presidential Commission, and Senate Confirmation document pertaining to Judge M. Douglas Harpool of the United States District Court for the Western District of Missouri",Partial Grant/Partial Denial: All requested documents RIP,(b)(6),Information the release of which would constitute a clearly unwarranted invasion of the personal privacy of a third party,,
FOIA-2015-02797,OIP,5/1/15,Questions about Hillary Clinton,Referred requester and/or request to more appropriate entity (DOS),,,,
FOIA-2015-01856,ODAG,5/4/15,Communication between Office of White House Counsel and DOJ (OLC) concerning the Office of White House Counsel's review of agency records,Referred records determined to be not responsive to the request after review by OIP,,,,
FOIA-2014-02538,ODAG,5/5/15,"all email correspondence involving Deputy Attorney General James Cole and US Airways agent Jim Millstein on October 19, 2013",No Records responsive to request were located,,,,
FOIA-2015-02389,OIP,5/5/15,FOIA e-learning training module and infographic,Full Grant: All requested documents RIF,,,,
FOIA-2015-02848,OIP,5/5/15,information regarding a third party,Provided requester with DOJ FOIA Reference Guide,,,,
FOIA-2015-02865,OLP,5/5/15,Report to the Attorney General on the Search and Seizure Exclusionary Rule (1986) and Report to the Attorney General on the Law of Pre-Trial Interrogation (1986),Full Grant: All requested documents RIF,,,,
FOIA-2015-02873,OAG,5/5/15,"a recent DOJ report on the Ferguson Police Dep't; DOJ memoranda mandating that state law enforcement agencies comply with certain anti-discrimination statutes and regulations, and clarifying whether DOJ is a bona fide “financial institution"" under 18 USC 1344",Partial Grant/Partial No Records,,,,
FOIA-2015-02874,ODAG,5/5/15,"a recent DOJ report on the Ferguson Police Dep't; DOJ memoranda mandating that state law enforcement agencies comply with certain anti-discrimination statutes and regulations, and clarifying whether DOJ is a bona fide “financial institution"" under 18 USC 1344",Partial Grant/Partial No Records,,,,
FOIA-2015-02875,OASG,5/5/15,"a recent DOJ report on the Ferguson Police Dep't; DOJ memoranda mandating that state law enforcement agencies comply with certain anti-discrimination statutes and regulations, and clarifying whether DOJ is a bona fide “financial institution"" under 18 USC 1344",Partial Grant/Partial No Records,,,,
FOIA-2015-03020,ODAG,5/5/15,"records pertaining to Sapelo Island, McIntosh County, Georgia and the  Pitman Robertson Act",No Records responsive to request were located,,,,
FOIA-2015-03021,OASG,5/5/15,"records pertaining to Sapelo Island, McIntosh County, Georgia and the Pitman Robertson Act",No Records responsive to request were located,,,,
FOIA-2015-02471,OLP,5/6/15,all correspondence from 2003-2015 between the International Committee of the Red Cross and the Office of Legal Policy,No Records responsive to request were located,,,,
FOIA-2015-02866,OIP,5/6/15,"prior appeal file regarding, ""the Department of Justice/Criminal Division/Witness-Security""",No Records responsive to request were located,,,,
FOIA-2015-02932,OIP,5/6/15,the disciplinary/personnel file of a third party to include grounds for his dismissal and/or related abuse/assault complaints,Provided requester with DOJ FOIA Reference Guide; Provided other relevant information and assistance,,,,
FOIA-2015-03114,OIP,5/6/15,"seeking ""an affidavit described in"" the January 16, 2015 New York Times article",Referred requester and request to more appropriate entity (DEA),,,,
FOIA-2015-01526,OAG,5/7/15,a memorandum to United States Attorneys from former Deputy Attorney General David Ogden on the authorization of certain early disposition programs,Full Grant: All requested documents RIF,,,,
FOIA-2015-02996,OIP,5/7/15,"information on the military Air Force balloon that crashed in New Mexico, Rosslyn in 1947.",Referred requester and/or request to more appropriate entity (U.S. Air Force),,,,
FOIA-2015-03034,OIP,5/7/15,a copy of the U. S. Equal Employment Opportunity Commission file for number 420-2013-04433,"Provided relevant information and assistance. EEOC was the agency most likely to maintain these records
",,,,
FOIA-2015-03098,OAG,5/7/15,correspondence sent from a 3rd party to the Attorney General pertaining to a the intent to file a law suit against the University of Florida and/or their Board of Trustees,No Records responsive to request were located,,,,
