Request Number,Office,Submitted Date,Date Closed,Summary of Request,Disposition of Request
DOJ-2012-000002,OAG,10/26/2011,3/16/2016,Records concerning insurance claims by Holocaust survivors.,Full grant
DOJ-2012-000003,ODAG,10/26/2011,3/16/2016,Records concerning insurance claims by Holocaust survivors.,Full grant
DOJ-2011-000043,OAG,8/1/2011,3/7/2016,"Records concerning the recovered weapons involved in violent crimes in the United States, affiliated with the Operation Fast and Furious.",Partial grant/partial denial
DOJ-2011-000038,OAG,7/20/2011,3/17/2016,"Correspondence between officials of the Office of the Attorney General, the Office of the Deputy Attorney General, the Office of the Associate Attorney General, or the Office of Public Affairs concerning the News of the World, News Corporation CEO Rupert Murdoch, or the News of the World phone hacking scandal.",Full grant
DOJ-2011-000037,OAG,7/7/2011,3/3/2016,Records concerning the Department of Justice's  efforts to acquire one or more of the drugs used to execute condemned prisoners by lethal injection.,Partial grant/partial denial
DOJ-2011-000031,OAG,6/15/2011,3/4/2016,Records concerning a conference call between the Department of Justice and multiple state Attorneys General pertaining to the states acquisition or use of sodium thiopental in their lethal-injection protocols.,Partial grant/partial denial
DOJ-2011-000027,OAG,5/31/2011,3/16/2016,Memoranda explicating the meaning of provisions of the USA PATRIOT Act.,Full grant
DOJ-2011-000014,OAG,4/13/2011,3/21/2016,"Communications from February 1, 2011, to present referring to a named CBS News correspondent and/or a named CBS News producer.",Partial grant/partial denial
DOJ-2011-000018,ODAG,4/13/2011,3/21/2016,Communications concerning the December 2010 death and/or investigation into the death of Agent Brian Terry.,Partial grant/partial denial
DOJ-2011-000017,OAG,4/13/2011,3/21/2016,Communications concerning the December 2010 death and/or investigation into the death of Agent Brian Terry.,Partial grant/partial denial
DOJ-2011-000016,OAG,4/13/2011,3/21/2016,"Communications concerning Project Gunrunner from January 1, 2010, to present.",Partial grant/partial denial
DOJ-2011-000015,ODAG,4/13/2011,3/21/2016,"Communications from February 1, 2011, to present referring to a named CBS News correspondent and/or a named CBS News producer.",Partial grant/partial denial
DOJ-2011-000002,OAG,4/11/2011,3/10/2016,Records concerning an Office of Professional Responsibilty investigation of Wen Ho Lee.,Other - Referred records improperly directed
DOJ-2011-000012,OAG,4/4/2011,3/17/2016,"Communications between the Office of the Attorney General, Office of the Deputy Attorney General and the Office of Public Affairs regarding Freedom of Information Act requests since January 1, 2009.",Partial grant/partial denial
DOJ-2011-000013,ODAG,4/4/2011,3/17/2016,"Communications between the Office of the Attorney General, Office of the Deputy Attorney General and the Office of Public Affairs regarding Freedom of Information Act requests since January 1, 2009.",Partial grant/partial denial
DOJ-2011-000005,OAG,1/5/2011,3/11/2016,"Communications between the Office of the Attorney General, Office of the Deputy Attorney General and the Office of Public Affairs regarding Freedom of Information Act requests since January 1, 2009.",Partial grant/partial denial
