Request Number,Office,Date Closed,Summary of Request,Disposition of Request,Exemption(s) Applied (if applicable),Description of Exemption(s) (if applicable),,
FOIA-2014-03129,OLA,10/01/2015,April 2014 letter to DOJ from Rep Dave Camp regarding IRS's targeting of conservative groups,Partial Grant/Partial Denial: All requested documents RIP,(b)(6),Information the release of which would constitute a clearly unwarranted invasion of the personal privacy of a third party,,
FOIA-2014-00935,AG,10/02/2015,"records related to the U.S. government's ""targeted killing program""",,(b)(1),Information that is classified by Executive Order to protect national security,,
FOIA-2014-00937,DAG,10/02/2015,"Targeted killing program, use of lethal force",,(b)(1),Information that is classified by Executive Order to protect national security,,
FOIA-2015-04772,OLA,10/06/2015,"concerning meetings and/or communications between the Department of Justice Criminal Division Public Integrity Section and the Internal Revenue Service Tax Exempt and Government Entities Division, the White House, Members of Congress and/or congressional",Partial Grant/Partial Denial of referred records.,"(b)(5), (b)(6), (b)(7)(C)","Certain inter- and intra-agency communications protected by legal privileges; Information the release of which would constitute a clearly unwarranted invasion of the personal privacy of a third party; Records or information compiled for law enforcement purposes, the release of which could reasonably be expected to constitute an unwarranted invasion of the personal privacy of a third party",,
FOIA-2015-05795,DAG,10/06/2015,"European Union-United States ""Umbrella Agreement"" on data protection framework for EU-US law enforcement cooperation",Referred requester and/or request to more appropriate entity (CRM),,,,
FOIA-2015-05897,AG,10/08/2015,"documents related to specific matters referenced in parts A, B and D of the [DOJ] report entitled, “[DOJ] Use of Certain Law Enforcement Tools to Obtain Information From, or Records of, Members of the News Media Annual Report: Calendar Year 2014""",Full Denial: All requested documents WIF,"(b)(3), (b)(5), (b)(6), (b)(7)(C)","Information that is prohibited from disclosure by another federal law; Certain inter- and intra-agency communications protected by legal privileges; Information the release of which would constitute a clearly unwarranted invasion of the personal privacy of a third party; Records or information compiled for law enforcement purposes, the release of which could reasonably be expected to constitute an unwarranted invasion of the personal privacy of a third party",,
FOIA-2015-00126,AG,10/09/2015,"records of communications with the Office of the Attorney General from January 1, 2014 concerning a January 1, 2014 explosion and fire at an apartment complex in Minneapolis, Minnesota",No Records responsive to request were located,,,,
FOIA-2015-00899,DAG,10/09/2015,"report that supported the request for a pardon for Marc Rich; specifically, a pardon request written by then-Deputy Attorney General Eric Holder for former President William J. Clinton",No Records responsive to request were located,,,,
FOIA-2015-05622,OLA,10/13/2015,correspondence between the Department of Justice and the office of Senator Ron Johnson in response to Senator Johnson’s letter seeking information regarding steps that the Department has taken to allocate funding and establish protocols to alleviate the backlog of untested sexual assault kits,No Records responsive to request were located,,,,
FOIA-2015-05682,AG,10/13/2015,Criminal investigation of Google,Glomar Denial: Neither confirmed nor denied the existence of certain law enforcement records,(b)(5),Certain inter- and intra-agency communications protected by legal privileges,,
