Request Number,Office,Date Closed,Summary of Request,Disposition of Request,Exemption(s) Applied (if applicable),Description of Exemption(s) (if applicable),,
FOIA-2015-03565,OIP,07/02/2015,"a copy of a complaint made to a Sacramento Grand Jury in 1968 or 1969 in relation to the Michelangelo Antonioni film, Zabriskie Point","Referred requester and/or request to more appropriate entity (FBI, NARA)",,,,
FOIA-2015-03863,AG,07/02/2015,"all correspondence between former Governor John Ellis “Jeb” Bush and the Department of Justice, from January 1, 1999, to January 5, 2007, pertaining to the death penalty and executions",No Records responsive to request were located,,,,
FOIA-2015-03864,DAG,07/02/2015,"all correspondence between former Governor John Ellis “Jeb” Bush and the Department of Justice, from January 1, 1999, to January 5, 2007, pertaining to the death penalty and executions",No Records responsive to request were located,,,,
FOIA-2015-03865,ASG,07/02/2015,"all correspondence between former Governor John Ellis “Jeb” Bush and the Department of Justice, from January 1, 1999, to January 5, 2007, pertaining to the death penalty and executions",No Records responsive to request were located,,,,
FOIA-2015-03871,OIP,07/02/2015,copy of the United States Department of Justice Guide to the Freedom of Information Act (FOIA Guide),Full Grant,,,,
FOIA-2013-01844,OLA,07/08/2015,"communications between the Department and Representative Lamar Smith, Representative John Conyers, Senator Patrick Leahy, and Senator Chuck Grassley or members of their staff, dating from January 1, 2011",Partial Grant/Partial Denial: All requested documents RIP,(b)(6),information the release of which would constitute a clearly unwarranted invasion of the personal privacy of a third party,,
FOIA-2015-04290,OIP,07/08/2015,Moorish credentials and the Moors Sundry Act of 1790,Provided relevant information and assistance,,,,
FOIA-2015-03883,AG,07/09/2015,"annual summary of data on the use of excessive force and police misconduct, as required by 42 U.S.C. § 14142(c) and the methods or data used to compile such information",No Records; Referred requester and/or request to more appropriate entity (OJP),,,,
FOIA-2015-04006,AG,07/09/2015,"information on complaints, inquiries, and investigations pertaining to community harassment","No Records; Referred requester and/or request to more appropriate entity (CRT, CRM, FBI)",,,,
FOIA-2015-04007,DAG,07/09/2015,"information on complaints, inquiries, and investigations pertaining to community harassment","No Records; Referred requester and/or request to more appropriate entity (CRT, CRM, FBI)",,,,
FOIA-2015-04008,ASG,07/09/2015,"information on complaints, inquiries, and investigations pertaining to community harassment","No Records; Referred requester and/or request to more appropriate entity (CRT, CRM, FBI)",,,,
FOIA-2015-04183,OIP,07/09/2015,legal assistance,Provided relevant information and assistance,,,,
FOIA-2015-04200,AG,07/09/2015,"all records of communications between Ted Strickland and the Office of the Attorney General from March 1, 2014 to February 28, 2015",No Records responsive to request were located,,,,
FOIA-2015-04201,DAG,07/09/2015,"all records of communications between Ted Strickland and the Office of the Attorney General from March 1, 2014 to February 28, 2015",No Records responsive to request were located,,,,
FOIA-2015-04202,ASG,07/09/2015,"all records of communications between Ted Strickland and the Office of the Attorney General from March 1, 2014 to February 28, 2015",No Records responsive to request were located,,,,
FOIA-2015-04203,OLA,07/09/2015,"all records of communications between Ted Strickland and the Office of the Attorney General from March 1, 2014 to February 28, 2015",No Records responsive to request were located,,,,
FOIA-2015-04282,OIP,07/09/2015,copies of documents seized by the Food and Drug Administration (FDA) and a search warrant filed by the FDA,Provided relevant information and assistance,,,,
FOIA-2015-04298,OIP,07/09/2015,"seeking crime scene and laboratory reports from the Hampton, VA  police department",Provided relevant information and assistance,,,,
FOIA-2015-04435,OIP,07/09/2015,copies of progress reports from all fifty states regarding their compliance with the Prison Rape Elimination Act,Referred requester and/or request to more appropriate entity (OJP),,,,
FOIA-2015-03959,OIP,07/10/2015,all records pertaining to Amazon.com,No Records responsive to request were located,,,,
FOIA-2015-04187,OIP,07/10/2015,a copy of the United States Department of Justice Guide to the Freedom of Information Act (FOIA Guide),Full Grant,,,,
FOIA-2015-04085,OIP,07/13/2015,all Freedom of Information Act requests for source code and/or algorithms submitted to the Department of Justice in fiscal years 2010 through 2014,No Records responsive to request were located,,,,
FOIA-2015-04090,OIP,07/13/2015,a photograph of former federal inmate,"Referred requester and/or request to more appropriate entity (FBI, BOP)",,,,
FOIA-2015-04184,OIP,07/13/2015,contact information for all government agencies and a copy of the Department of Justice Freedom of Information Act Reference Guide,Full Grant,,,,
FOIA-2015-04428,OIP,07/13/2015,data on illegal aliens or foreign nationals convicted of crimes in a number of jurisdictions,"Referred requester and/or request to more appropriate entity (ICE, DHS)",,,,
FOIA-2014-03214,DAG,07/14/2015,"seeking memoranda, directives, or notices in the Drug Enforcement Administration Denver Field Office concerning the legalization of marijuana in Colorado",Full Grant of referred records,,,,
FOIA-2015-04011,OLP,07/14/2015,the results of a judicial misconduct complaint against Judge ,Referred requester and/or request to more appropriate entity (AOUSC),,,,
FOIA-2015-04114,OIP,07/14/2015,records pertaining to Moorish Credentials and Sundry Free Moors Act,Provided relevant information and assistance,,,,
FOIA-2015-04556,OIP,07/14/2015,"records pertaining to ""Quest Diagnostic Lab""",Referred requester and/or request to more appropriate entity (DEA),,,,
FOIA-2014-00863,OIP,07/16/2015,"communications between the White House and the Office of Information Policy concerning the Office of White House Counsel's review of agency records, from January 1, 2012 to December 31, 2013",Partial Grant/Partial Denial: All requested documents RIP,"(b)(5), (b)(6)","certain inter- and intra-agency communications protected by legal privileges, information the release of which would constitute a clearly unwarranted invasion of the personal privacy of a third party",,
FOIA-2015-01865,DAG,07/16/2015,records pertaining to any Office of Professional Responsibility (OPR) investigations involving possible violations of the Intelligence Identities Protection Act,Full Grant of referred records,,,,
FOIA-2015-04181,OIP,07/16/2015,which you requested information pertaining to an “Interactive Chart of Re-Entry Housing Options”,Full Grant of publicly available material,,,,
FOIA-2015-04306,OLP,07/16/2015,"Presidential Commission, Senate Confirmation document, Oath of Office, and Appointment Affidavits pertaining to U.S. District Court Judges J. Thomas Marten and Lawrence L. Piersol, Court Clerk Timothy O'Brien, U.S. Attorney Barry Grissom, and AUSA Kenney",Partial Grant/Partial Denial; Referred requester and/or request to more appropriate entity (AOUSC),(b)(6),information the release of which would constitute a clearly unwarranted invasion of the personal privacy of a third party,,
FOIA-2015-04161,OLP,07/17/2015,"Presidential Commissions, Senate Confirmation documents, Oaths of Office, and Appointment Affidavits pertaining to U.S. District Court judges C. Arguello, A. Trauger, and T. Holman, as well as various state and county judges and court personnel",Partial Grant/Partial Denial; Referred requester and/or request to more appropriate entity (AOUSC),(b)(6),information the release of which would constitute a clearly unwarranted invasion of the personal privacy of a third party,,
FOIA-2015-04291,OIP,07/20/2015,information about obtaining a United States passport.,Referred requester and/or request to more appropriate entity (State),,,,
FOIA-2015-04295,OIP,07/20/2015,a copy of the Department of Justice Freedom of Information Act Reference Guide (Reference Guide),Full Grant,,,,
FOIA-2015-04299,OIP,07/21/2015,"(1) ""the corrections yellow pages,"" including the list of vendors and (2) a copy of the Violent Crime Control and Law Enforcement Act",Partial Grant/Partial No Records,,,,
FOIA-2014-04911,AG,07/22/2015,information concerning Hermann Max Schwinn (deceased),Full Grant of referred records,,,,
FOIA-2015-04687,OIP,07/22/2015,"a copy of an ""educational talent search grant""",Referred requester and/or request to more appropriate entity (Education),,,,
FOIA-2014-04548,AG,7/23/2015,"records concerning Sufi Abdul Hamid, deceased",Partial Grant/Partial Referral: Records referred to more appropriate entity (CRM and EOUSA),,,,
FOIA-2015-04608,OIP,07/23/2015,whether the Medco settlement agreement has been made available for public access without a FOIA request,"Referred requester and/or request to more appropriate entity (EOUSA, CIV)",,,,
FOIA-2015-04695,OIP,07/23/2015,information about the Boston Bombing,Provided relevant information and assistance,,,,
FOIA-2015-02153,OIP,07/24/2015,"records of all communication between the Department of Justice (DOJ) and Scott Walker or members of his office, from January 1, 1993 through the present and all FOIA requests submitted to DOJ",Full Grant: All requested documents RIF,,,,
FOIA-2015-04106,AG,07/24/2015,"a copy of United States Attorney General Loretta Lynch's Oath of Office, and a copy of United States President Barack Obama's Oath of Office",Full Grant: All requested documents RIF,,,,
FOIA-2015-04107,OIP,07/24/2015,a certified copy of President Barack Obama's signed Oath of Office,Informed requester that the FOIA is a records access statute and not applicable to this query provided additional information and assistance,,,,
FOIA-2015-04297,OIP,07/24/2015,records pertaining to all lawsuits filed against the  Ticket Clinic,Informed requester that the FOIA is a records access statute and not applicable to his query; provided additional information and assistance,,,,
FOIA-2015-04400,OIP,07/24/2015,records pertaining to all lawsuits filed against the  Ticket Clinic,Informed requester that the FOIA is a records access statute and not applicable to his query; provided additional information and assistance,,,,
FOIA-2015-04502,OIP,07/24/2015,records pertaining to a third party,Referred requester and / or request to more appropriate entity (FBI),,,,
FOIA-2015-04504,OIP,07/24/2015,"records of interviews with Peter Pollock in 1951 in connection with Guy Burgess, both deceased",Referred requester and / or request to more appropriate entity (FBI),,,,
FOIA-2015-04220,DAG,07/27/2015,"correspondence between Senator Michael Bennet and the Department of Justice from January 21, 2009, to January 21, 2011",No Records responsive to request were located,,,,
