Request Number,Office,Date Closed,Summary of Request,Disposition of Request,Exemption(s) Applied (if applicable),Description of Exemption(s) (if applicable),
FOIA-2014-00157,OAG,12/3/13,"Certain records pertaining to the Department of Justice’s outreach with various racial and ethnic groups, efforts to prevent hate crimes, and information on perpetrators of hate crimes, dating since January 1, 2008",No Records,,,
FOIA-2014-00549,OIP,12/3/13,Copy of a consent decree executed in July or August 2013 pertaining to the Palmerton Zinc Pile Superfund Site,"Determined that the Environmental and Natural Resources Division, DOJ, was the most appropriate entity for handling and referred request and requester to that component for processing",,,
FOIA-2014-00326,OLP,12/4/13,Copy the Oath of Office pertaining to Judge Richard L. Voorhees of the United States District Court for the Western District of North Carolina,No Records,,,
FOIA-2014-00327,OLP,12/4/13,Copy of the Oath of Office pertaining to Judge James E. Gritzner of the United States District Court for the Southern District of Iowa,Partial Grant/Partial Denial,(b)(6),Information the release of which would constitute a clearly unwarranted invasion of the personal privacy of a third party ,
FOIA-2013-04164,ODAG,12/5/13,"Copies of lists identified in Sections 1125(a)(1) and (a)(2) of the GPRA Modernization Act of 2010, from 2010 to the present","Partial Grant/Partial No Records; Also determined that the Justice Management Division, DOJ, was an appropriate entity for handling and referred requester to that component for future requests on this subject",,,
FOIA-2014-00495,OIP,12/5/13,Asking questions related to the assassination of President John Fitzgerald Kennedy,Informed requester that the FOIA is a records access statute and not applicable to this query; Determined that the National Archives and Records Administration was the most appropriate entity for handling relevant records and referred requester to that agency for information,,,
FOIA-2014-00536,OIP,12/5/13,Copy of the most recent IMPAC Credit holder user contact information,"Determined that the Executive Office for United States Attorneys, DOJ, was the most appropriate entity for handling and referred request and requester to that component for processing",,,
FOIA-2014-00607,OIP,12/5/13,"Transcript or recording of a November 12, 2013 meeting held by the Assistant Attorney General for the Antitrust Division Bill Baer concerning the US Airways-AMR merger","Determined that the Antitrust Division, DOJ, was the most appropriate entity for handling and referred request and requester to that component for processing",,,
FOIA-2014-00662,OIP,12/5/13,Records from a specified United States Attorney's office,"Determined that the Executive Office for United States Attorneys, DOJ, was the most appropriate entity for handling and referred request and requester to that component for processing",,,
FOIA-2013-01812,OIP,12/9/13,"Administrative case file and all processing notes, including search slips for FOIA request numbers: AG/12-01312, DAG/12-01313, OLA/12-01314",Partial Grant/Partial Denial,(b)(5),"Certain inter- and intra-agency communications protected by legal privileges
",
FOIA-2014-00668,OIP,12/9/13,"Copies of any contract, settlement agreement, consent decree or record of payment related to the case ""United States of America v.  AT&T Communications of Pennsylvania L.L.C. and AT&T Corporation” (2:10-cv-1376-NBF)","Determined that the Civil Division and the Executive Office for United States Attorneys, DOJ, were the most appropriate entities for handling and referred request and requester to those components for processing",,,
FOIA-2013-04595,OIP,12/11/13,Contents of a FOIA administrative appeal file,Partial Grant/Partial Denial/Partial Referral: Referred documents to the DEA for processing and direct response to the requester,(b)(6),Information the release of which would constitute a clearly unwarranted invasion of the personal privacy of a third party ,
FOIA-2014-00502,ODAG,12/11/13,"Records from the electronic database of the Departmental Executive Secretariat corresponding to the search term ""CIA torture""",No Records,,,
FOIA-2014-00503,OASG,12/11/13,"Records from the electronic database of the Departmental Executive Secretariat corresponding to the search term ""CIA torture""",No Records,,,
FOIA-2014-00567,OAG,12/11/13,Records pertaining to contact between the Department of Justice and the Syrian Emergency Task Force and the Libyan Emergency Task Force,No Records,,,
FOIA-2014-00568,ODAG,12/11/13,Records pertaining to contact between the Department of Justice and the Syrian Emergency Task Force and the Libyan Emergency Task Force,No Records,,,
FOIA-2014-00569,OASG,12/11/13,Records pertaining to contact between the Department of Justice and the Syrian Emergency Task Force and the Libyan Emergency Task Force,No Records,,,
FOIA-2014-00696,OIP,12/11/13,Certain information on Native American religious services in the North Carolina prison system,"Determined that the Special Litigation Section of the Civil Rights Division, DOJ, was the most appropriate entity for handling and referred requester to that component for processing; Also provided requester with a copy of the North Carolina Guide to Open Government and Public Records",,,
FOIA-2011-01044,ODAG,12/12/13,"Records of communications, consultations, or meetings between the senior leadership offices of the Department of Justice, officials and offices of the state of Alabama, and the Department of Education, regarding Alabama’s immigration law (H.B. 56)",Request Withdrawn by Requester,,,
FOIA-2014-00315,OASG,12/12/13,All current memorandums of agreement or understanding between the Department of Justice and any federal agency or department,No Records,,,
FOIA-2014-00332,OASG,12/12/13,"Copies of records involving “drones” and “targeted assassinations,” from 2009 through the present",No Records,,,
FOIA-2014-00468,OLP,12/12/13,"Oaths of Office and Presidential Commissions pertaining to United States District Court Judge J. Frederick Motz and magistrate judges Charles B. Day, William Connelly, and Jillyn Schulze of the United States District Court for the District of Maryland","Partial Grant/Partial No Records: Also advised requester that OLP does not maintain records on magistrate judges and that records of the federal judiciary (though not subject to the FOIA) are maintained by the Administrative Office of the United States Courts, and provided contact information for that office should the requester wish to submit a request for information",,,
FOIA-2014-00505,OASG,12/12/13,"Records from the Departmental Executive Secretariat corresponding to the search terms ""media leak,"" ""media leaks,"" ""leak investigation,"" and ""leak investigations""",No Records,,,
FOIA-2012-00629,OASG,12/13/13,Records regarding the Department of Justice’s rejection of the Texas voter identification law,"Referral: Upon OIP review, located documents were determined to be of primary interest to another Department component's request in process at OIP, and were incorporated into the ongoing processing of that associated tracking number",,,
FOIA-2012-01326,OAG,12/13/13,"Records of the Office of the Attorney General from 2011 and 2012 that discuss news articles written by Matt Apuzzo, Adam Goldman, Kimberly Dozier, Eileen Sullivan, and Alan Fram that concern any of the subjects listed in request letter",No Records,,,
FOIA-2014-00510,OLP,12/13/13,Oaths of Office and Presidential Commissions pertaining to United States District Court Judge Carlos Murguia and Magistrate Judge James P. O'Hara of the United States District Court for the District of Kansas,"Partial Grant/Partial No Records : Also advised requester that OLP does not maintain records on magistrate judges and that records of the federal judiciary (though not subject to the FOIA) are maintained by the Administrative Office of the United States Courts, and provided contact information for that office should the requester wish to submit a request for information",,,
FOIA-2014-00699,OAG,12/13/13,A copy of a May or June 2011 memorandum from former Acting Solicitor General Neal Katyal to Attorney General Eric Holder pertaining to the awarding of a Presidential Medal of Freedom to Gordon Hirabayashi,No Records,,,
FOIA-2014-00700,OLP,12/13/13,"Oath of Office, Appointment Affidavits and Senate Confirmation document pertaining to United States District Court Judge Lloyd D. George of the United States District Court for the District of Nevada",Partial Grant/Partial Denial,(b)(6),Information the release of which would constitute a clearly unwarranted invasion of the personal privacy of a third party ,
FOIA-2014-00725,OIP,12/16/13,"Records related to the Slocum, Texas massacre in 1910",Request Withdrawn by Requester,,,
FOIA-2012-01352,OAG,12/17/13,Records related to the National LGBT Bar Association’s 2012 Lavender Law Conference and Career Fair,"Partial Grant/Partial Denial/Partial Referral: Documents referred to the Tax Division and the Community Relations Service, DOJ, for processing and direct response to the requester","(b)(5), (b)(6)","Certain inter- and intra-agency communications protected by legal privileges; Information the release of which would constitute a clearly unwarranted invasion of the personal privacy of a third party 
",
FOIA-2013-04691,PAO,12/17/13,Records related to the National LGBT Bar Association’s 2012 Lavender Law Conference and Career Fair,"Partial Grant/Partial Denial/Partial Referral: Documents referred to the Tax Division and the Community Relations Service, DOJ, for processing and direct response to the requester","(b)(5), (b)(6)","Certain inter- and intra-agency communications protected by legal privileges; Information the release of which would constitute a clearly unwarranted invasion of the personal privacy of a third party 
",
FOIA-2014-00547,OIP,12/17/13,"Documents regarding an alleged investigation conducted by the Department of Homeland Security, Department of Veterans Affairs, and the Federal Bureau of Investigation",Determined that the FBI and the Departments of Homeland Security and Veterans Affairs were the most appropriate entities for handling and referred requester to those entities for processing,,,
FOIA-2014-00548,OIP,12/17/13,"Documents regarding an alleged investigation conducted by the Department of Homeland Security, Department of Veterans Affairs, and the Federal Bureau of Investigation",Determined that the FBI and the Departments of Homeland Security and Veterans Affairs were the most appropriate entities for handling and referred requester to those entities for processing,,,
FOIA-2014-00681,OAG,12/17/13,Records pertaining to funding provided by the Department of Justice to the Syrian Emergency Task Force,No Records,,,
FOIA-2014-00682,ODAG,12/17/13,Records pertaining to funding provided by the Department of Justice to the Syrian Emergency Task Force,No Records,,,
FOIA-2014-00683,OASG,12/17/13,Records pertaining to funding provided by the Department of Justice to the Syrian Emergency Task Force,No Records,,,
FOIA-2014-00684,OAG,12/17/13,Records pertaining to funding provided by the Department of Justice to the Syrian Support Group,No Records,,,
FOIA-2014-00685,ODAG,12/17/13,Records pertaining to funding provided by the Department of Justice to the Syrian Support Group,No Records,,,
FOIA-2014-00686,OASG,12/17/13,Records pertaining to funding provided by the Department of Justice to the Syrian Support Group,No Records,,,
FOIA-2014-00687,OAG,12/17/13,Records pertaining to funding provided by the Department of Justice to Syria Relief & Development,No Records,,,
FOIA-2014-00688,ODAG,12/17/13,Records pertaining to funding provided by the Department of Justice to Syria Relief & Development,No Records,,,
FOIA-2014-00689,OASG,12/17/13,Records pertaining to funding provided by the Department of Justice to Syria Relief & Development,No Records,,,
FOIA-2014-00690,OIP,12/17/13,"Documents regarding an alleged investigation conducted by the Department of Homeland Security, Department of Veterans Affairs, and the Federal Bureau of Investigation (FBI)",Determined that the FBI and the Departments of Homeland Security and Veterans Affairs were the most appropriate entities for handling and referred requester to those entities for processing,,,
FOIA-2014-00692,OIP,12/17/13,Request for the Department of Justice to subpoena payroll records of listed agencies,Informed requester that the FOIA is a records access statute and not applicable to this query; Provided requester with the link to FOIA.gov; Determined that agencies listed in request were the most appropriate entities handling and referred requester to those entities for processing,,,
FOIA-2014-00697,OIP,12/17/13,Copies of Public Laws 103-141 and 106-274,Full Grant,,,
