Request Number,Office,Date Closed,Summary of Request,Disposition of Request,Exemption(s) Applied (if applicable),Description of Exemption(s) (if applicable)
FOIA-2013-02991,OIP,6/3/13,Documents pertaining to an investigation concerning a third party,"Determined that the Executive Office for United States Attorneys, DOJ, was the most appropriate entity for handling and referred requester to that component for processing",,
FOIA-2013-03017,OIP,6/3/13,"Department Review Committee agenda, minutes, summaries, guidelines and policies from January 1, 2010 to present",Partial Grant/Partial No Records: Provided requester with publicly available online copy of relevant regulations,,
FOIA-2013-03063,OIP,6/3/13,Records regarding a Department of Justice corruption investigation of IBM and its subsidiary in Argentina,"Determined that the Criminal Division, DOJ, was the most appropriate entity for handling and referred request and requester to that component for processing",,
FOIA-2013-03055,OIP,6/4/13,Records pertaining to third parties,"Determined that the Executive Office for United States Attorneys, DOJ, was the most appropriate entity for handling and referred request and requester to that component for processing",,
FOIA-2013-03196,OIP,6/4/13,Department of Justice guidelines pursuant to Executive Order 12630,No Records,,
FOIA-2013-03197,PAO,6/4/13,Press releases issued within last four months from the Offices of the President of United States and the Attorney General regarding law enforcement and legal affairs,Provided requester with copies of publicly available online DOJ press releases and provided link to White House website for press releases from that entity,,
FOIA-2013-03343,OIP,6/4/13,Copy of Detainee Treatment Act of 2005 (DTA),Full Grant,,
FOIA-2013-02989,OLA,6/5/13,"Correspondence from United States Representatives and/or United States Senators to the Department of Justice from March 1, 2013 to the present, regarding government purchases of bullets or ammunition",No Records,,
FOIA-2013-02995,OLP,6/5/13,"“Appointment and Commissions records” pertaining to Judge James S. Moody, Jr.",Partial Grant/Partial Denial,(b)(6),Information the release of which would constitute a clearly unwarranted invasion of the personal privacy of a third party 
FOIA-2013-03040,OIP,6/5/13,"Charging documents for all individuals charged under Title 18 U.S.C. § 1841 ""Protection For Unborn Children"" since 2004, as well as any records of conviction arising from charges under Title 18 U.S.C. § 1841 ""Protection For Unborn Children"" since 2004",Determined that the Criminal Division was the most appropriate entity for handling and referred request and requester to that component for processing,,
FOIA-2013-03065,OIP,6/5/13,Records of an FBI investigation,Determined that the FBI was the most appropriate entity for handling and referred request and requester to that component for processing,,
FOIA-2013-03116,OIP,6/5/13,Information regarding a federal prisoner,"Determined that the Federal Bureau of Prisons, DOJ, was the most appropriate entity for handling and referred request and requester to that component for processing",,
FOIA-2013-03149,OIP,6/5/13,"All communications between the Justice Department and outside entities  concerning the implementation and handling of sequestration as required by law under the Balanced Budget and Emergency Deficit Control Act, from August 2, 2011 to the present","Determined that the Justice Management Division, DOJ, was the most appropriate entity for handling and referred request and requester to that component for processing",,
FOIA-2010-00809,OAG,6/6/13,"Certain records pertaining to Attorney General Holder’s scheduling between March 23, 2009 and February 5, 2010, specifically focusing on April 3, 2009, as well as all records pertaining to meetings or communications between the Department of Justice and DeMaurice Smith",Provided requester with publicly available online of Attorney General Holder's calendars available in the OIP FOIR Library,,
FOIA-2013-03177,OIP,6/6/13,"Contact information for the Los Angeles Sheriff's Department, the Los Angeles Police Department, and the U.S. State Department",Provided requester with publicly available online information,,
FOIA-2013-03328,OIP,6/6/13,"Records on Dr. Donald E. Schulz, former Research Professor of National Security Policy at the United States Army War College, Strategic Studies Institute",Determined that the DEA was the most appropriate entity for handling and referred request and requester to that component for processing,,
FOIA-2013-02672,OLP,6/7/13,Oath of office and other documents pertaining to Judge Kenneth Hoyt of the Southern District of Texas,Partial Grant/Partial Denial/Partial No Records,(b)(6),Information the release of which would constitute a clearly unwarranted invasion of the personal privacy of a third party 
FOIA-2013-03032,OLP,6/7/13,"Various records regarding a court case , as well as oaths of office regarding Judge N.C. Tilley, Jr. and other individuals","Partial Grant/Partial Denial; Also determined that the ATF, FBI, and Executive Office for United States Attorneys, DOJ, were also appropriate entities for handling and informed requester that the Mail Referral Unit had already routed the request to those components for processing; Determined that the IRS was also an appropriate entity for handling and referred requester to that agency for processing; Informed requester that the FOIA does not apply to state or local records and recommended contacting the city of Greensboro, N.C. for any local records sought",(b)(6),Information the release of which would constitute a clearly unwarranted invasion of the personal privacy of a third party 
FOIA-2013-03342,OIP,6/7/13,Requested a copy of Department of Justice Freedom of Information Act Reference Guide,Full Grant,,
FOIA-2013-03352,OIP,6/7/13,Records on a Third Party,Provided requester with DOJ FOIA Reference Guide and information requesting records on individuals,,
FOIA-2011-00642,OLA,6/10/13,"Policy statements and any correspondence between OIP and U.S. Executive branch agencies, including the Office of the President and members of Congress concerning the U.S. Supreme Court decision in Milner v. Dept. of the Navy",Partial Grant/Partial Denial,(b)(5); (b)(6),Certain inter- and intra-agency communications protected by legal privileges; Information the release of which would constitute a clearly unwarranted invasion of the personal privacy of a third party
FOIA-2011-00643,OIP,6/10/13,"Policy statements and any correspondence between OIP and U.S. Executive branch agencies, including the Office of the President and members of Congress concerning the U.S. Supreme Court decision in Milner v. Dept. of the Navy",Partial Grant/Partial Denial,(b)(5); (b)(6),Certain inter- and intra-agency communications protected by legal privileges; Information the release of which would constitute a clearly unwarranted invasion of the personal privacy of a third party
FOIA-2013-03026,OAG,6/10/13,"Copy of the Attorney General memorandum entitled, ""Coordination of Criminal and Civil Fraud, Waste, and Abuse Proceedings"" dated on or about July 16, 1986 ","Determined that the National Archives and Records Administration and the Civil Division, DOJ, were the most appropriate entities for handling and referred requester to those entities for processing",,
FOIA-2013-03056,OIP,6/10/13,"Records from January 1, 2007 to the present relating to the Department Review Committee",Partial Grant/Partial Denial: Provided requester with publicly available online copy of relevant regulations,(b)(1); (b)(5),Information that is classified by Executive Order to protect national security; Certain inter- and intra-agency communications protected by legal privileges
FOIA-2013-03062,OIP,6/10/13,"Records pertaining to sentencing documents, restitution plan and schedule updates","Determined that the Executive Office for United States Attorneys, DOJ, was the most appropriate entity for handling and referred requester to that component for processing",,
FOIA-2013-03144,OLP,6/10/13,Oath of Office and Appointment Affidavits pertaining to Judge Samuel Grayson Wilson,Partial Grant/Partial Denial,(b)(6),Information the release of which would constitute a clearly unwarranted invasion of the personal privacy of a third party 
FOIA-2013-03179,OIP,6/10/13,"Information about the functions of the Offices of Legislative Affairs, Legal Policy, and Public Affairs, including their contact information","Provided requester with publicly available information, including contact information, from DOJ's website",,
FOIA-2013-03180,OIP,6/11/13,Copy of the records retention schedule for the Office of Information Policy,Provided requester with publicly available copy of the General Records Schedule 14 (GRS) and advised although GRS 14 authorizes OIP to destroy records after six year,,
FOIA-2013-01351,OAG,6/12/13,"Records pertaining to the U.S. Navy Base, Guantanamo Bay, Cuba rehabilitation program for prisoners",Material referred to OIP for processing by another agency resulted in a partial grant,(b)(5),Certain inter- and intra-agency communications protected by legal privileges
FOIA-2010-00229,OAG,6/13/13,"Records pertaining to Attorney General Holder's schedule and telephone logs since March 6, 2009",Partial Grant/Partial Denial,(b)(6); (b)(7)(E); (b)(7)(F),"Information the release of which would constitute a clearly unwarranted invasion of the personal privacy of a third party;   Records or information compiled for law enforcement purposes, the release of which would disclose techniques and procedures for law enforcement investigations or prosecutions; Records or information compiled for law enforcement purposes, the release of which could reasonably be expected to endanger the life or physical safety of an individual"
FOIA-2010-00429,OAG,6/13/13,Requesting flight and travel information of Attorney General Holder from the day he took office until this request is processed,Partial Grant/Partial Denial,(b)(6); (b)(7)(E); (b)(7)(F),"Information the release of which would constitute a clearly unwarranted invasion of the personal privacy of a third party;   Records or information compiled for law enforcement purposes, the release of which would disclose techniques and procedures for law enforcement investigations or prosecutions; Records or information compiled for law enforcement purposes, the release of which could reasonably be expected to endanger the life or physical safety of an individual"
FOIA-2010-00706,OAG,6/13/13,"Records pertaining to travel by the Attorney General, Deputy Attorney General, Associate Attorney General, and Solicitor General from January 2009 until November 30, 2011",Partial Grant/Partial Denial/Partial Referral: Determined that OSG was the most appropriate entity for handling the Solicitor General's travel information and referred requester to that component for processing,(b)(6); (b)(7)(E); (b)(7)(F),"Information the release of which would constitute a clearly unwarranted invasion of the personal privacy of a third party;   Records or information compiled for law enforcement purposes, the release of which would disclose techniques and procedures for law enforcement investigations or prosecutions; Records or information compiled for law enforcement purposes, the release of which could reasonably be expected to endanger the life or physical safety of an individual"
