Request Number,Office,Date Closed,Summary of Request,Disposition of Request,Exemption(s) Applied (if applicable),Description of Exemption(s) (if applicable),
FOIA-2015-03870,OIP,08/03/2015,"a transcript of an April 8, 1998 meeting between then-Attorney General Janet Reno, Coretta Scott King, and others, in which Mrs. King requested a new federal investigation into the assassination of Dr. Martin Luther King, Jr.",No Records responsive to request were located,,,
FOIA-2015-04278,AG,08/03/2015,DOJ guidelines on whether or not seek a non-disclosure order to go along with a subpoena to a media organization concerning comments on their website,No Records responsive to request were located,,,
FOIA-2015-04279,DAG,08/03/2015,DOJ guidelines on whether or not seek a non-disclosure order to go along with a subpoena to a media organization concerning comments on their website,No Records responsive to request were located,,,
FOIA-2015-04457,OLP,08/03/2015,documents identifying all current Article III and Article IV judges in the United States,Full Grant of publicly available material,,,
FOIA-2015-04464,OIP,08/03/2015,the remand and instructions memorandum sent by the OIP in 13 appeals,Full Denial: All requested documents WIF,(b)(5),Certain inter- and intra-agency communications protected by legal privileges,
FOIA-2015-04532,OLP,08/03/2015,"the Oaths of Office pertaining to Judge Thomas A. Varlan, and Magistrates Bruce Guyton, C. Clifford Shirley and Dennis H. Inman of the Eastern District of Tennessee",Partial Grant/Partial Denial; Referred requester and/or request to more appropriate entity (AOUSC),(b)(6),Information the release of which would constitute a clearly unwarranted invasion of the personal privacy of a third party,
FOIA-2015-04605,OIP,08/03/2015,copy of any title sufficiency report prepared for the tidelands located within the boundary of the Lummi reservation,Referred requester and/or request to more appropriate entity (ENRD),,,
FOIA-2015-04606,OIP,08/03/2015,any regulations published in the Federal Register for 18 U.S.C. 2422(b),Referred requester and/or request to more appropriate entity (NARA),,,
FOIA-2015-04880,DAG,08/03/2015,"all records of communication between Representative Ann Kirkpatrick and the Department of Justice, dating from January 1, 2009",No Records responsive to request were located,,,
FOIA-2015-04881,ASG,08/03/2015,"All records of communication between Representative Ann Kirkpatrick and the Office of the Attorney General from January 1, 2009 to the present",No Records responsive to request were located,,,
FOIA-2015-04215,PAO,08/04/2015,"Communication between Senator Russell Feingold and the Office of the Attorney General from January 1, 2009 to December 31, 2010",No records responsive to request were located,,,
FOIA-2015-04491,OIP,08/04/2015,information regarding an investigation of the Drug Enforcement Administration (DEA) in San Diego,No Records; Referred requester and/or request to more appropriate entity (OIG),,,
FOIA-2015-04500,OIP,08/04/2015,"information pertaining to Fredrick Wilhelm Kuehn, deceased","No Records; Referred requester and/or request to more appropriate entity (NARA, USCIS)",,,
FOIA-2015-04528,OIP,08/04/2015,Department of Justice Freedom of Information Act Reference Guide (Reference Guide),Full Grant,,,
