Request Number,Office,Date Closed,Summary of Request,Disposition of Request,Exemption(s) Applied (if applicable),Description of Exemption(s) (if applicable)
FOIA-2012-00149,OASG,1/2/13,"Records pertaining to meetings between the Department of Justice, the Executive Office of the President, advocacy groups, and certain foreign governments concerning immigration legislation in any state, including Utah, Indiana, Georgia, South Carolina, from January 20, 2011 to September 30, 2011","Referral: Upon OIP review, located documents were determined to be of primary interest to another Department component’s request in process at OIP, and were incorporated into the ongoing processing of that associated tracking number",,
FOIA-2011-01185,OAG,1/7/13,Records pertaining to the Department of Justice’s investigation of Staff Sergeant Joe Hickman’s allegations concerning Guantanamo Bay,Full Grant,,
FOIA-2012-00909,OAG,1/8/13,"Copies of correspondence between U.S. Representative Howard L. Berman and the Office of the Attorney General or the Office of Community Oriented Policing Services (COPS) from January 1, 2009 to June 30, 2009",Partial Grant/Partial Denial,(b)(6),Information the release of which would constitute a clearly unwarranted invasion of the personal privacy of a third party 
FOIA-2013-01177,OAG,1/8/13,Contents of specific Federal Bureau of Investigation files,"Full Grant/Partial Referral: Documents also referred to the Criminal Division, DOJ, for processing and direct response to the requester",,
FOIA-2013-01248,OIP,1/9/13,Certain records pertaining to the Residential Mortgage-Backed Securities Working Group,Determined that the Dep't of the Treasury was the most appropriate entity for handling and referred requester to that entity for processing; Provided requester with links to the websites of the Office of the Comptroller of the Currency and the Dep't of Housing and Urban Development for additional information,,
FOIA-2013-01249,OIP,1/9/13,Certain records pertaining to the Residential Mortgage-Backed Securities Working Group,Determined that the Dep't of the Treasury was the most appropriate entity for handling and referred requester to that entity for processing; Provided requester with links to the websites of the Office of the Comptroller of the Currency and the Dep't of Housing and Urban Development for additional information,,
FOIA-2013-01178,OIP,1/10/13,"Records pertaining to 15 U.S.C. § 376(a)(1), reporting requirements of state tobacco tax administrators",Determined that the ATF was the most appropriate entity for handling and referred request and requester to that component for processing,,
FOIA-2013-01238,OAG,1/10/13,Various documents pertaining to contracts between the Department of Justice and Rust Consulting,"Determined that the Justice Management Division, DOJ, was the appropriate entity for handling and referred requester to that component for processing",,
FOIA-2013-01239,ODAG,1/10/13,Various documents pertaining to contracts between the Department of Justice and Rust Consulting,"Determined that the Justice Management Division, DOJ, was the appropriate entity for handling and referred requester to that component for processing",,
FOIA-2013-01240,OASG,1/10/13,Various documents pertaining to contracts between the Department of Justice and Rust Consulting,"Determined that the Justice Management Division, DOJ, was the appropriate entity for handling and referred requester to that component for processing",,
FOIA-2013-01241,PAO,1/10/13,Various documents pertaining to contracts between the Department of Justice and Rust Consulting,"Determined that the Justice Management Division, DOJ, was the appropriate entity for handling and referred requester to that component for processing",,
FOIA-2013-01242,OLA,1/10/13,Various documents pertaining to contracts between the Department of Justice and Rust Consulting,"Determined that the Justice Management Division, DOJ, was the appropriate entity for handling and referred requester to that component for processing",,
FOIA-2013-01243,OLP,1/10/13,Various documents pertaining to contracts between the Department of Justice and Rust Consulting,"Determined that the Justice Management Division, DOJ, was the appropriate entity for handling and referred requester to that component for processing",,
FOIA-2013-01244,OIP,1/10/13,Various documents pertaining to contracts between the Department of Justice and Rust Consulting,"Determined that the Justice Management Division, DOJ, was the appropriate entity for handling and referred requester to that component for processing",,
FOIA-2012-00410,OAG,1/11/13,"Records of the Office of Professional Responsibility’s (OPR’s) investigation regarding the Civil Rights Division’s handling of the New Black Panther Party case (between October 23, 2009 and April 1, 2011); and related communications about OPR’s investigation",Partial Grant/Partial Denial,"(b)(5), (b)(6), (b)(7)(C) ","Certain inter- and intra-agency communications protected by legal privileges; Information the release of which would constitute a clearly unwarranted invasion of the personal privacy of a third party; Records or information compiled for law enforcement purposes, the release of which could reasonably be expected to constitute an unwarranted invasion of the personal privacy of a third party "
FOIA-2012-00411,ODAG,1/11/13,"Records of the Office of Professional Responsibility’s (OPR’s) investigation regarding the Civil Rights Division’s handling of the New Black Panther Party case (between October 23, 2009 and April 1, 2011); and related communications about OPR’s investigation",Partial Grant/Partial Denial,"(b)(5), (b)(6), (b)(7)(C) ","Certain inter- and intra-agency communications protected by legal privileges; Information the release of which would constitute a clearly unwarranted invasion of the personal privacy of a third party; Records or information compiled for law enforcement purposes, the release of which could reasonably be expected to constitute an unwarranted invasion of the personal privacy of a third party "
FOIA-2012-00412,OASG,1/11/13,"Records of the Office of Professional Responsibility’s (OPR’s) investigation regarding the Civil Rights Division’s handling of the New Black Panther Party case (between October 23, 2009 and April 1, 2011); and related communications about OPR’s investigation",Partial Grant/Partial Denial,"(b)(5), (b)(6), (b)(7)(C) ","Certain inter- and intra-agency communications protected by legal privileges; Information the release of which would constitute a clearly unwarranted invasion of the personal privacy of a third party; Records or information compiled for law enforcement purposes, the release of which could reasonably be expected to constitute an unwarranted invasion of the personal privacy of a third party "
