Request Number,Office,Date Closed,Summary of Request,Disposition of Request,Exemption(s) Applied (if applicable),Description of Exemption(s) (if applicable),
FOIA-2012-01442,OLA,2/1/13,Copies of correspondence between Congressman Paul Ryan and the Attorney General and/or Deputy Attorney General from 1999-2012,Request Withdrawn by Requester ,,,
FOIA-2013-00488,OAG,2/1/13,"Records dated from November 3, 2008 to the present for various records pertaining to data retention policies, including communications with online service providers and Internet service providers; information on Internet service providers and online service providers being
uncooperative and/or hindering investigations; and briefings, legal opinions, policy statements,
or guidance issued regarding the use of preservation orders and statutorily mandated data
retention requirements",Documents referred by the office originally processing the request were determined to be not responsive to the request after review by OIP,,,
FOIA-2013-00491,OLP,2/1/13,"Records dated from November 3, 2008 to the present for various records pertaining to data retention policies, including communications with online service providers and Internet service providers; information on Internet service providers and online service providers being
uncooperative and/or hindering investigations; and briefings, legal opinions, policy statements,
or guidance issued regarding the use of preservation orders and statutorily mandated data
retention requirements",Documents referred by the office originally processing the request were determined to be not responsive to the request after review by OIP,,,
FOIA-2013-01373,OLP,2/1/13,Records maintained by the Judicial Standards Commission for the state of North Carolina,"Informed the requester that the FOIA does not apply to state or local records; Provided requester with contact information for the North Carolina Judicial Standards Commission, as well as for the North Carolina Administrative Office of the Courts",,,
FOIA-2013-01381,OIP,2/1/13,"Copy of “the document that identifies the Act of Congress that gives the Department of Justice . . . the authority to supervise, monitor and/or keep anyone in custody subject to supervised release after serving their prison sentence.”","Provided requester with Part 0 of DOJ Regulations (Title 28 of the Code of Federal Regulations), as well as the U.S. Parole Commission's publication History of the Federal Parole System; Determined that the U.S. Parole Commission, DOJ, was the most appropriate entity for handling and referred requester to that componet for processing",,,
FOIA-2013-01444,OIP,2/1/13,Records on certain individuals/attorneys working for and in the commonwealth of Pennsylvania,"Informed requester that the FOIA does not apply to state or local records, or records of non-governmental organizations; Provided requester with contact information for the Office of Open Records for the commonwealth of Pennsylvania, the American Bar Association, and the Pennsylvania Bar Association",,,
FOIA-2013-01479,OIP,2/1/13,Records on “planned or anticipated organized responsive actions/activities to be taken by the government of the United States” in response to protests or revolt by citizens of the United States,"Provided requester with links to the DOJ FOIA Reference Guide on the OIP website, and to information on FOIA.gov on how the FOIA works across the federal government",,,
FOIA-2013-01518,OLP,2/1/13,"Copies of the oaths of office, “statement[s] of Appointed or Elected Official (Anti-Bribery Statement),"" and bonds for U.S. District Court Judge Martin Reidinger, U.S. Magistrate Judge Dennis Howell, two U.S. District Court Clerks, and Assistant U.S. Attorney Thomas Kent","Partial Grant/Partial Denial/Partial No Records: Informed requester that federal judges are not bonded; Also informed requester that OLP does not maintain records on Magistrate Judges or administrative personnel of the federal court system, and that records of the federal judiciary (though not subject to the FOIA) are maintained by the Administrative Office of the United States Courts, and provided contact information for the office should requester wish to request additional information; Also determined that the Executive Office for United States Attorneys, DOJ, was also an appropriate entity for handling and referred requester to that component for processing",(b)(6),Information the release of which would constitute a clearly unwarranted invasion of the personal privacy of a third party ,
FOIA-2013-01519,OIP,2/1/13,Copy of complaint filed in a District of Columbia Superior Court case,"Informed requester that the FOIA does not apply to state or local records, or records of the judiciary; Provided requester with contact information for the Clerk of the Court of the D.C. Superior Court",,,
FOIA-2013-01568,OIP,2/1/13,"“All documents and data that show the use of an AR-15 rifle is more dangerous than any other gun,” and “all records sufficient to show that regulating the purchase of high powered rifles will lower the homicide rate”","Referred requester to the OIP website for information on submitting a FOIA request to DOJ, as well as FOIA contact information for DOJ components; Determined that the ATF and the Office of Justice Programs, DOJ, were the most appropriate entities for handling and referred requester to those components for processing",,,
FOIA-2013-01683,OIP,2/1/13,Copy of “the document(s) identifying the Act of Congress [which] authorizes the Commission to issue warrants.”,"Provided requester with DOJ FOIA Reference Guide to help refine request, as specific record being sought could not be identified, as well as to assist requester in identifying DOJ components that typically maintain law enforcement records; Determined that the FBI, US Parole Commission, and the Federal Bureau of Prisions, DOJ, may be appropriate entities for handling and referred requester to those components for processing",,,
FOIA-2013-01377,OIP,2/4/13,Documents regarding a court case,"Provided requester with DOJ FOIA Reference Guide and information on requesting records on individuals to assist requester in identifying DOJ components that typically maintain records on individuals; Determined that the Executive Office for United States Attorneys, DOJ, was also an appropriate entity for handling and referred requester to that component for processing",,,
FOIA-2013-01483,OIP,2/4/13,Records and bar information on third parties associated with a criminal case,"Provided requester with DOJ FOIA Reference Guide and information on requesting records on individuals to assist requester in identifying DOJ components that typically maintain records on individuals; Determined that the ATF and the Executive Office for United States Attorneys, DOJ, was also an appropriate entity for handling and referred requester to those components for processing; Provided requester with contact information for Florida Bar Association to assist requester",,,
FOIA-2013-01484,OAG,2/4/13,"Records pertaining to the San Jacino River PIts Site, EPA ID TXN000606611",No Records responsive to request were located,,,
FOIA-2013-01485,ODAG,2/4/13,"Records pertaining to the San Jacinto River Pits Site, EPA ID TXN000606611",No Records responsive to request were located,,,
FOIA-2013-01486,OASG,2/4/13,"Records pertaining to the San Jacinto River Pits Site, EPA ID TXN000606611",No Records responsive to request were located,,,
FOIA-2013-01589,OIP,2/4/13,"Copies of documents, presentations, or other material received or created in response to the April 9, 2012 document “National Mortgage Settlement Request for Proposals: Settlement Administration Services”",Informed requester that the FOIA does not apply to state or local records; Determined that the Office of the Attorney General for the the states of Washington and Connecticut were the most appropriate entities based on information provided in the request letter and provided requester with contact information for those Offices; Also Provided requester with link to National Mortgage Settlement website,,,
FOIA-2013-01590,OIP,2/4/13,Information on the sealed bid sale price of a 1975 Beechcraft King Air 200 aircraft that was seized and auctioned off by the US Marshals Service,"Determined that the United States Marshals Service, DOJ, was the most appropriate entity for handling and referred request and requester to that component for processing",,,
FOIA-2013-01593,OIP,2/4/13,"Information on ""all legislation or rules exempting Congress from the laws which govern ordinary United States citizens""","Informed requester that the FOIA does not apply to legislative branch records; Provided requester with links to FOIA.gov, the White House's ""Our Government"" website, as well as to the Library of Congress website for general information on the legislative process",,,
FOIA-2010-00452,OAG,2/5/13,Records pertaining to reimbursement information for personal travel of Attorney General Holder on government aircraft,"Determined, after initial records searches and discussion with the Justice Management Division (JMD), DOJ, that JMD was the most appropriate entity for handling and referred request and requester to that component for processing",,,
FOIA-2012-01471,OAG,2/5/13,A copy of former Attorney General Janet Reno’s order designating certain officials of the Criminal Division to authorize applications for wire or oral communications,Full Grant,,,
FOIA-2013-01343,OIP,2/5/13,Information pertaining to treaties the United States has entered into with other nations ,"Provided requester with link to Dep't of State online listing of treaties and international agreements in force as of January 1, 2012; Determined that the Dep't of State was the most appropriate entity for handling and referred requester to that agency for processing",,,
FOIA-2013-01344,OIP,2/5/13,Copy of requester's Discipline Hearing Offficer's report ,"Informed requester that the FOIA is a records access statute and not applicable to this query; Provided requester with a copy of the DOJ FOIA Reference Guide for information on requesting ; Determined that the Federal Bureau of Prisons, DOJ, was the most appropriate entity for handling and referred requester to that component for processing",,,
FOIA-2013-01378,OIP,2/5/13,Copies of Executive Order 11490 (signed October 1969) and the “Rex 84” plan (Readiness Excercise 1984)  ,"Determined that the Dep't of Defense, National Archives and Records Administration, and the Presidential Libraries of Richard Nixon and Ronald Reagan were the most appropriate entities for handling, and referred requester to those agencies and offices for processing",,,
FOIA-2013-01382,OIP,2/5/13,"Copies of the Department of Justice’s Freedom of Information Act (FOIA) regulations, 28 C.F.R. § 16, the FOIA statute, 5 U.S.C. § 552, and an “introduction packet”","Provided requester with DOJ FOIA Regulations, copy of the FOIA statute, and copies of the DOJ FOIA Reference Guide and the informational booklet Your Right to Federal Records",,,
FOIA-2013-01443,OIP,2/5/13,Copy of 49 C.F.R. § 391,"Provided requester with copy of requested federal regulation, and provided contact information for the Department of Transportation for any furture motor vehicle-related requests",,,
FOIA-2013-01450,OIP,2/5/13,"Information regarding Copyright Certificate Registration Number AA22141, the Barbary Treaties, and various court cases",Provided requester with publicly available online information pertaining to the Barbary Treaties; Detemined that the U.S. Copyright Office was an appropriate entity for handling and referred requester to that agency for processing; Informed requester that the FOIA is a records access statute and not applicable to court records,,,
FOIA-2013-01524,OIP,2/5/13,"Various records pertaining to disability rights, and copies of the Federal Register Volume 70 No. 133, and Federal Register Volume 52 No. 155","Provided requester with publicly available online copies of the Federal Register; Determined that the Civil Rights Division, DOJ, was an appropriate entity for handling and referred requester to that component for processing",,,
FOIA-2013-01580,OAG,2/5/13,Documents that authorize the Attorney General of the United States to file civil suits against individuals,"Provided requester with Part 0 of DOJ Regulations (Title 28 of the Code of Federal Regulations), DOJ mission statement and statutory information from DOJ website",,,
FOIA-2013-01430,OAG,2/7/13,"Correspondence between the Office of the Attorney General  and Christopher Christie from January 17, 2002 through December 1, 2008",Duplicate Request: Copy of request received from another component is a duplicate of a request already in process at OIP from same requester,,,
FOIA-2013-01493,OIP,2/7/13,"Communications between the United States Attorneys' Offices and the Financial Transactions Reports Analysis Centre regarding HSBC Bank Canada from January1, 2003 through December 31, 2012","Determined that the Executive Office for United States Attorneys, DOJ, was the most appropriate entity for handling and referred request and requester to that component for processing",,,
FOIA-2013-01591,OIP,2/7/13,Information regarding his Federal Tort  Claims Act and Civil Action notice of complaints and claims,Determined that Civil Division was the most appropriate entity for handling and referred request and requester to that component for processing,,,
FOIA-2013-01597,OIP,2/7/13,Copies of the top five Community Oriented Policing Services (COPS) Coordinated Tribal Assistance Solicitations (CTAS) equipment applications for 2012,"Determined that the Office of Community Oriented Policing Services, DOJ, was the appropriate entity for handling and referred request and requester to that component for processing",,,
FOIA-2013-01688,OIP,2/7/13,FBI records regarding composer David Leo Diamond (deceased),Determined that the FBI was the most appropriate entity for handling and referred request and requester to that component for processing,,,
FOIA-2013-01748,OLP,2/7/13,"Copies of the the oath of office and other appointment records for U.S. District Court Judge James C. Fox, District Court Magistrate James E. Gates","No Records: Informed requester that records of the federal judiciary (though not subject to the FOIA) are maintained by the Administrative Office of the United States Courts, and provided contact information for that office should the requester wish to request additional information",,,
FOIA-2013-01303,OAG,2/8/13,"Weekly Law Enforcement Working Group meetings concerning the Merida Initiative in Mexico, weekly Merida Implementation Conference calls and interagency working groups meetings ",Material referred to OIP for processing by another component resulted in a full denial,(b)(5),Certain inter- and intra-agency communications protected by legal privileges,
