Request Number,Office,Date Closed,Summary of Request,Disposition of Request,Exemption(s) Applied (if applicable),Description of Exemption(s) (if applicable)
FOIA-2014-03051,OAG,7/1/14,"A document that “details the division of duties and responsibilities of one of more United States government entities and their individual Commission(s) and advisory bodies,” and the hierarchical relationships of these entities",No Records; Provided other relevant information and assistance,,
FOIA-2014-03073,OIP,7/1/14,A handbook regarding the Privacy Act,Full Grant,,
FOIA-2014-03122,OIP,7/1/14,A Federal Bureau of Investigation profile of an individual,Referred requester and/or request to more appropriate entity (FBI),,
FOIA-2014-03148,OIP,7/1/14,"Records relating to interviews of the family of a U.S. Air Force Master Sergeant, conducted by the Office of former Attorney General Robert Kennedy in 1962-64",Provided relevant information and assistance,,
FOIA-2014-03482,OIP,7/1/14,Immigration records pertaining to a third party,Referred the requester and/or request to more appropriate entity (EOIR),,
FOIA-2014-03483,OIP,7/1/14,Immigration records pertaining to a third party,Referred the requester and/or request to more appropriate entity (EOIR),,
FOIA-2014-03484,OIP,7/1/14,Case numbers for each case where an offender has been charged with a violation of 21 USC § 610(b) (violations of the Humane Slaughter Act),Referred requester and/or request to more appropriate entity (EOUSA),,
FOIA-2014-03485,OIP,7/1/14,Copies of the 2013 and 2014 calendars of U.S. Attorney Preet Bharara,Referred requester and/or request to more appropriate entity (EOUSA),,
FOIA-2014-03343,OIP,7/2/14,Communications between federal investigators and Ball State University concerning wire fraud,Referred requester and/or request to more appropriate entity (EOUSA & FBI),,
FOIA-2010-00940,OAG,7/3/14,"Records originating with or sent to the Offices of the Attorney General or Deputy Attorney General between February 1, 2009 and February 1, 2010 created for National Security Council, Principals Committee, or Deputies Committee meetings pertaining to the war in Afghanistan, the Karzai Regime, Osama bin Laden, Al-Qaeda, Afghanistan, Pakistan, the Taliban, and/or Counterinsurgency.",Full Denial,(b)(1); (b)(5),Information that is classified by Executive Order to protect national security; Certain inter- and intra-agency communications protected by legal privileges 
FOIA-2010-00941,ODAG,7/3/14,"Records originating with or sent to the Offices of the Attorney General or Deputy Attorney General between February 1, 2009 and February 1, 2010 created for National Security Council, Principals Committee, or Deputies Committee meetings pertaining to the war in Afghanistan, the Karzai Regime, Osama bin Laden, Al-Qaeda, Afghanistan, Pakistan, the Taliban, and/or Counterinsurgency.",Full Denial,(b)(1); (b)(5),Information that is classified by Executive Order to protect national security; Certain inter- and intra-agency communications protected by legal privileges 
FOIA-2014-03218,OLP,7/3/14,"Oaths of Office, Appointment Affidavits, and Senate confirmation documents pertaining to federal judges Lourdes G. Baird and John F. Walter",Partial Grant/Partial Denial,(b)(6),Information the release of which would constitute a clearly unwarranted invasion of the personal privacy of a third party 
FOIA-2014-03344,OIP,7/3/14,Records pertaining to Mohamed Osman Mohamud,Referred requester and/or request to more appropriate entity (EOUSA),,
FOIA-2014-03359,OIP,7/3/14,Records pertaining to Dr. Daniel O'Hern,Referred requester and/or request to more appropriate entity (EOUSA),,
FOIA-2014-03440,OIP,7/3/14,Copies of court transcripts,Referred requester and/or request to more appropriate entity (EOUSA),,
FOIA-2014-03441,OIP,7/3/14,Copies of court transcripts,Referred requester and/or request to more appropriate entity (EOUSA),,
FOIA-2014-03217,OAG,7/8/14,"Records pertaining to a March 30, 1981 subpoena","Referred requester and/or request to more appropriate entity (CRM, NARA & DOE)",,
