Request Number,Office,Date Closed,Summary of Request,Disposition of Request,Exemption(s) Applied (if applicable),Description of Exemption(s) (if applicable)
FOIA-2013-02107,OLA,4/1/2013,"Any correspondence to the Department of Justice from or on behalf of Senator Susan Collins between January 3, 1996 and February 8, 2013",Request Withdrawn by Requester,,
FOIA-2013-02232,OIP,4/1/2013,Information on how to file a Mandatory Declassification Review (MDR) Request,Full Grant: Provided requester with information on how to file an MDR with DOJ as well as information on how to submit a FOIA request,,
FOIA-2013-02315,OIP,4/1/2013,"List of every program, project and activity in the budget of the Department of Justice, and the amounts required to be sequestered from each PPA in fiscal year 2013","Determined that Justice Management Division, DOJ, was the most appropriate entity for handling and referred request and requester to that component for processing",,
FOIA-2013-02081,OIP,4/2/2013,"Records regarding One West Bank, FSB; Deutsche Bank National Trust, or their agents",Determined that Board of Governors of the Federal Reserve was the most appropriate entity for handling and referred requester to that agency for processing,,
FOIA-2013-02108,OIP,4/2/2013,Records pertaining to the federal incarceration of an inmate,"Determined that the Federal Bureau of Prisons and the United States Parole Commission, DOJ, were the most appropriate entities for handling and referred requester to those components for processing",,
FOIA-2013-02195,OIP,4/2/2013,Records pertaining to third parties,Provided requester with link to DOJ FOIA Reference Guide and information on requesting records on individuals to assist requester in identifying appropriate DOJ components,,
FOIA-2013-02276,OIP,4/2/2013,Copies of the foreign principle registration statements for New York Judges Lisa Sokoloff and Matthew Sciarrino,"Determined that the National Security Division, DOJ, was  the most appropriate entity for handling and referred requester to that component for processing",,
FOIA-2012-01101,OLA,4/3/2013,Copies of all letters and e-mails from members of Congress to the Department of Justice about Lance Armstrong,Referral: Referred all located material to the Executive Office for United States Attorneys for processing and direct response to the requester,,
FOIA-2013-02234,OIP,4/3/2013,Documents pertaining to New York State Police,Informed requester that the FOIA does not apply to state or local records; Provided contact information for the New York State Police; Provided requester with DOJ FOIA Reference Guide for information on making a FOIA request,,
FOIA-2013-02235,OIP,4/3/2013,Copy of a contract pertaining to Southport Medical,Informed requester that the FOIA does not apply to state or local records; Provided contact information for the New York state Office of the Attorney General,,
FOIA-2013-02435,OIP,4/3/2013,Records maintained by the Federal Bureau of Investigation of a 1971 murder investigation in Iowa,Determined that the FBI was the most appropriate entity for handling and referred request and requester to that component for processing,,
FOIA-2011-00153,OIP,4/4/2013,"Specific types of records from Office of Information Policy (OIP) administrative inquiry files received by the Office in fiscal years 2008, 2009, and 2010",Partial Grant/Partial Denial/Partial Referral: Documents referred to the FBI and the Depts. of the Treasury and State for processing and direct response to the requester,"(b)(5), (b)(6), (b)(7)(C) ","Certain inter- and intra-agency communications protected by legal privileges; Information the release of which would constitute a clearly unwarranted invasion of the personal privacy of a third party; Records or information compiled for law enforcement purposes, the release of which could reasonably be expected to constitute an unwarranted invasion of the personal privacy of a third party "
FOIA-2012-01388,OAG,4/4/2013,The names of the attendees of a meeting that Attorney General Holder attended with Department of Health and Human Services Secretary Sibelius at the White House in July 2012,Full Grant,,
FOIA-2013-01990,OLA,4/4/2013,Publicly available information concerning law enforcement crime prevention and law enforcement statistical information,"Determined that the Office of Justice Programs, DOJ, was the most appropriate entity for handling and referred requester to that component for processing; Provided requester with DOJ FOIA Reference Guide for additional information on the FOIA",,
FOIA-2013-02110,OLA,4/4/2013,Correspondence between the FBI and U.S. Rep. Joe Barton (R-Texas) between 2005 and 2007,Partial Grant/Partial Denial,(b)(6),Information the release of which would constitute a clearly unwarranted invasion of the personal privacy of a third party 
FOIA-2013-02111,OIP,4/4/2013,Correspondence between the FBI and U.S. Rep. Joe Barton (R-Texas) between 2005 and 2007,Documents referred by the office originally processing the request were determined to be not responsive to the request after review by OIP,,
FOIA-2013-02413,OIP,4/4/2013,"All grand jury records relating to Megaupload.com from January 1, 2000 through February 22, 2013","Determined that the Executive Office for United States Attorneys, DOJ, was the most appropriate entity for handling and referred requester to that component for processing; Provided requester with a copy of the DOJ FOIA Reference Guide for additional information on the FOIA",,
FOIA-2010-01236,OLA,4/5/2013,Records on the Prison Rape Elimination Act of 2003,"Partial Grant/Partial Denial: Provided requester with publicly available online copy of PREA Final Rule as published in the Federal Register; Determined that the Office of Justice Programs, DOJ, was also an appropriate entity for handling and referred requester to that component for processing ",,
FOIA-2012-00800,ODAG,4/5/2013,Records concerning the resignation or termination of a former Department of Justice employee,Glomar Denial: Neither confirmed nor denied the existence of certain law enforcement records,"(b)(6), (b)(7)(C) ","Information the release of which would constitute a clearly unwarranted invasion of the personal privacy of a third party; Records or information compiled for law enforcement purposes, the release of which could reasonably be expected to constitute an unwarranted invasion of the personal privacy of a third party "
FOIA-2012-01262,ODAG,4/5/2013,Records of investigation or internal inquiry concerning alleged misconduct by a former Department of Justice employee,Glomar Denial: Neither confirmed nor denied the existence of certain law enforcement records,"(b)(6), (b)(7)(C) ","Information the release of which would constitute a clearly unwarranted invasion of the personal privacy of a third party; Records or information compiled for law enforcement purposes, the release of which could reasonably be expected to constitute an unwarranted invasion of the personal privacy of a third party "
FOIA-2013-02249,OIP,4/5/2013,Copy of the Freedom of Information Act Reference Guide,Provided requester with publicly available copy from OIP's website,,
FOIA-2013-02323,OIP,4/5/2013,Copy of the DOJ FOIA Reference Guide as well as information on requesting materials on individuals,Provided requester with copy of the DOJ FOIA Reference Guide and information on requesting records on individuals to assist requester in identifying DOJ components that typically maintain records on individuals,,
FOIA-2013-02231,OIP,4/8/2013,Various publicly available records including the Attorney General's Guidelines Regarding the Use of the FBI Confidential Human Sources,Provided requester with copies of publicly available information from OIP's website and FOIA Library,,
FOIA-2013-02322,OIP,4/8/2013,Requested a list of case law pertaining to denial of access to prison law libraries and various records,"Determined that the Federal Bureau of Prisons, DOJ, was the most appropriate entity for handling and referred requester to that component for processing; Provided requester with copy of DOJ FOIA Reference Guide for additional information on the FOIA; Determined that the University of Tennessee Joel A. Katz Law Library was also an appropriate entity for handling based on information provided in the request letter and provided requester with contact information for that entity",,
FOIA-2013-02329,OIP,4/8/2013,"Training handbooks, manual, guidelines, checklists, worksheets, and similar documents provided to the Department of State and Privacy Act analysts",Provided requester with publicly available information from OIP's website,,
FOIA-2013-02331,OLA,4/8/2013,"Correspondence between Senator Tim Johnson, or any member of his staff, with the Department regarding the vacant U.S. Attorney position for the district of South Dakota between January 1, 2009 and October 15, 2009","No Records; Determined that the Executive Office for United States Attorneys, DOJ, was also an appropriate entity for handling and referred requester to that component for processing",,
FOIA-2013-02402,OAG,4/8/2013,"Correspondence sent to the Department of Justice from or on behalf of: (1) former Montana State Senator Corey Stapleton from 2000 to 2008; (2) Stapleton & Co., LLC; (3) Stapleton Financial Group; (4) Prudential Financial Planning Services from 1997 to the present; and (5) Pruco Services, LLC from 1997 to the present",No Records,,
FOIA-2013-02403,ODAG,4/8/2013,"Correspondence sent to the Department of Justice from or on behalf of: (1) former Montana State Senator Corey Stapleton from 2000 to 2008; (2) Stapleton & Co., LLC; (3) Stapleton Financial Group; (4) Prudential Financial Planning Services from 1997 to the present; and (5) Pruco Services, LLC from 1997 to the present",No Records,,
FOIA-2013-02404,OASG,4/8/2013,"Correspondence sent to the Department of Justice from or on behalf of: (1) former Montana State Senator Corey Stapleton from 2000 to 2008; (2) Stapleton & Co., LLC; (3) Stapleton Financial Group; (4) Prudential Financial Planning Services from 1997 to the present; and (5) Pruco Services, LLC from 1997 to the present",No Records,,
FOIA-2013-01180,OAG,4/9/2013,"Administrative and background documents relating to the consideration, drafting, review, revision, approval, preparation and/or publication of certain Internal Revenue Service (IRS) regulations and memoranda","Partial Grant/Partial Denial/Partial Referral: Documents referred to the Civil Division and the Office of Legal Counsel, DOJ, for processing and direct response to the requester; Also determined that a record was improperly referred to OIP for processing and forwarded record back to entity originally handling request for further processing",(b)(6),Information the release of which would constitute a clearly unwarranted invasion of the personal privacy of a third party 
FOIA-2013-02414,OIP,4/9/2013,Records pertaining to an FBI FOIA request and Stanley Karnow,Determined that the FBI was the most appropriate entity for handling and referred requester to that component for processing,,
FOIA-2013-02415,OIP,4/9/2013,"Information regarding, and communications with, certain Washington and Colorado law enforcement officers, and agents of the Federal Bureau of Investigation","Determined that the FBI was the most appropriate entity for handling and referred requester to that component for processing; Informed requester that the FOIA Does not apply to state or local records; Determined that the City of Kent, Washington, and Mesa County, Colorado, were also appropriate entities for handling and provided requester with contact information for those entities",,
FOIA-2013-02411,OIP,4/10/2013,"Copies of the 1986 Civil Liberties Act, Executive Order 9066, and the Digital Millennium Copyright Act",Provided requester with publicly available copies of information from the Internet,,
FOIA-2013-02471,ODAG,4/10/2013,Records pertaining to “the timing of the release to lawmakers” of David Margolis’ 1/5/10 memo and a 7/29/09 report by the Office of Professional Responsibility (OPR) about an investigation of the Central Intelligence Agency’s use of interrogation tactics,Duplicate Request: Documents were referred by another entity in response to a request already being processed by OIP; Referred documents were incorporated into ongoing processing under original OIP tracking number,,
FOIA-2013-02048,OIP,4/11/2013,"""[A]n information packet that assists requesters, a listing of the most frequented government offices, as well as copies of Freedom of Information Act/Privacy Act request and appeal letters""",Provided requester with copy of DOJ FOIA Reference Guide,,
FOIA-2013-02477,OIP,4/11/2013,"Records of correspondence on or behalf of Michael J. Sullivan as a private citizen, or in his capacities as the Acting Director of the Bureau of Alcohol, Tobacco, and Firearms, and U.S. Attorney for the District of Massachusetts",No Records,,
FOIA-2013-02479,OLP,4/11/2013,"Oaths of Office, Appointment Affidavits, and Presidential Commissions pertaining to judges Robert Conrad and Martin Reidinger of the Western District of North Carolina","Partial Grant/Partial Denial/Partial No Records:  Also informed requester that although not all records could be located that records of the federal judiciary (though not subject to the FOIA) are maintained by the Administrative Office of the United States Courts, and provided contact information for that office should the requester wish to request additional information",(b)(6),Information the release of which would constitute a clearly unwarranted invasion of the personal privacy of a third party 
FOIA-2013-02484,OAG,4/11/2013,"Copies of complaints received by the Department of Justice regarding legal mail lost, stolen or misplaced at the Texas Department of Criminal Justice (TDCJ) Michael Unit in last five years and whether there is an on-going investigation pertaining to this issue","No Records; Provided requester with contact information for the Civil Rights Division, DOJ, if requester is seeking to submit a complaint; Determined that the Office of the Attorney General for the state of Texas was also an appropriate entity for handling and provided requester with contact information for that office",,
FOIA-2013-02520,OIP,4/11/2013,Certain records pertaining to Alliant Techsystems,"Determined that records were improperly referred to OIP for processing and forwarded records to the Criminal Division, DOJ, for processing and direct response to the requester",,
FOIA-2013-02710,ODAG,4/11/2013,Correspondence between the Asian Law Caucus and the Department of Justice,No Records,,
FOIA-2013-02711,OASG,4/11/2013,Correspondence between the Asian Law Caucus and the Department of Justice,No Records,,
FOIA-2013-02485,OASG,4/12/2013,No information requested in correspondence,Provided requester with DOJ FOIA Reference Guide as specific records sought could not be identified,,
FOIA-2013-02198,OIP,4/15/2013,"Certain investigative and prosecutorial documents, including subpoenas, from January 1, 2001 to the present pertaining to the company Acxiom in the possession of the FBI or the Department of Homeland Security","Determined that the FBI, Dep't of Homeland Security, and the Bureau of Immigration and Customs Enforcement, DHS, were the most appropriate entities for handling and referred requester to those entities for processing",,
FOIA-2013-02207,OIP,4/15/2013,"Records concerning an internal investigation, conducted approximately between April 12, 2012 and May 30, 2012, at the Montcalm Community College",Informed requester that the FOIA does not apply to state or local records; Recommended that the requester contact the Montcalm County Police Department,,
FOIA-2013-02236,OIP,4/15/2013,"The names of physicians relating to a Department of Justice investigation between 2006 and 2007 concerning kickback payments from orthopedic manufacturers, as well as a list of Stryker consultants","Determined that the Civil Division, DOJ, was the most appropriate entity for handling and referred request and requester to that component for processing",,
FOIA-2013-02237,OIP,4/15/2013,"""Foreign Principle Registration Statements"" for four individuals",Determined that National Security Division was an appropriate entity for handling and referred request and requester to that component for processing,,
FOIA-2013-02354,OIP,4/15/2013,"All records pertaining to ""all cases""","Provided requester with DOJ FOIA Reference Guide to help refine request, as specific records being sought could not be identified; Determined that the Executive Office for United States Attorneys, DOJ, was an appropriate entity for handling based on information provided in the request letter and referred requester to that component for processing",,
FOIA-2013-02410,OIP,4/15/2013,"Copies of FOIA requests made to the Department of Justice on behalf of the Daily Mirror, Chicago Daily News, Miami News, New York Herald Tribune, Washington Star, Chattanooga Times, Louisville Courier, Washington Post, National Press Club, and the Constitution Project",Partial Grant/Partial Denial,(b)(6),Information the release of which would constitute a clearly unwarranted invasion of the personal privacy of a third party 
FOIA-2013-02640,OIP,4/15/2013,"""Foreign Principle Registration Statements"" for six individuals or entities named in request letter","Determined that National Security Division, DOJ, was the most appropriate entity for handling and referred request and requester to that component for processing",,
FOIA-2013-02409,OIP,4/16/2013,Information on the Oklahoma City Bombing Taskforce,Provided requester with publicly available press releases from DOJ website,,
FOIA-2013-02430,OAG,4/16/2013,Records on a third party,No Records,,
FOIA-2013-02493,ODAG,4/16/2013,Records on a third party,No Records,,
FOIA-2013-02494,OASG,4/16/2013,Records on a third party,No Records,,
FOIA-2013-02571,OLA,4/16/2013,"Information regarding the Office of Intergovernmental and Public Liaison, the Freedom of Information Act (FOIA), internship opportunities, and veterans affairs","Provided requester with publicly available information from DOJ website on applying for OLA internships, FOIA training materials, as well as a copy of the DOJ FOIA Reference Guide",,
FOIA-2013-02572,OIP,4/16/2013,Information on state prison parole systems,Provided requester with a copy of the DOJ FOIA Reference Guide and publicly available online information on the state parole boards,,
FOIA-2013-02617,PAO,4/16/2013,Information on the Oklahoma City Bombing Taskforce,Provided requester with publicly available press releases from DOJ website,,
FOIA-2013-02630,OIP,4/16/2013,Records held by the Federal Bureau of Prisons (BOP) or the Department of Justice regarding a former federal inmate,"Determined that the Federal Bureau of Prisons, DOJ, was the most appropriate entity for handling and referred request and requester to that component for processing",,
FOIA-2013-01669,OAG,4/18/2013,"Records regarding former Ukrainian Prime Minister Yulia Tymoshenko's request to the Attorney General for an investigation into the financing of a report prepared by Skadden, Arps, Slate, Meagher, & Flom, LLP regarding her indictment, trial, and conviction",No Records,,
FOIA-2013-02183,OAG,4/18/2013,"Correspondence on or on behalf of Gabriel E. Gomez, as a private citizen, or on behalf of or as a representative of Advent International from January 1, 2004 to the present; Summit Partners from January 1, 2001 to June 1, 2004; and Bowles Hollowell Connor",No Records,,
FOIA-2013-02227,ODAG,4/18/2013,"Correspondence on or on behalf of Gabriel E. Gomez, as a private citizen, or on behalf of or as a representative of Advent International from January 1, 2004 to the present; Summit Partners from January 1, 2001 to June 1, 2004; and Bowles Hollowell Connor",No Records,,
FOIA-2013-02468,OLA,4/18/2013,"Requested copies of the Rehabilitation Act of 1973, Americans with Disabilities Act of 1990, and Americans with Disabilities Act Amendments Act of 2008","Informed requester that the FOIA is a records access statute and not applicable to this query; Provided requester with publicly available online copies of the Rehabilitation Act of 1973, Americans with Disabilities Act of 1990 and the ADA Amendments Act of 2008",,
FOIA-2013-02470,OIP,4/18/2013,"Copies of an “Information Booklet for FOIA and a Verification of Identity” form, as well as contact information for the Office of Inspector General","Provided requester with DOJ FOIA Reference Guide and information on requesting records on individuals, as well as contact information for the Office of the Inspector General, DOJ",,
FOIA-2013-02496,OIP,4/18/2013,Requested this office's monthly case summaries of court decisions from November 2012 to February 2013,Provided requester with copies of publicly available information from OIP's website,,
FOIA-2013-02568,OIP,4/18/2013,"Information on the federal government accepting exclusive jurisdiction over property, under 40 U.S.C.§§ 311 and 3112.","Determined that the Environmental and Natural Resources Division, DOJ, was the most appropriate entity  for handling and referred requester to that component for processing",,
FOIA-2013-02683,OIP,4/18/2013,All material on the Freedom of Information Act of 1966,"Provided requester with a copy of the DOJ FOIA Reference Guide as well as copies of the agency and department FOIA contact information, as well as additional information on OIP's website",,
FOIA-2013-02694,OIP,4/18/2013,Laboratory Reports and Drug Ledgers pertaining to a specific court case,Determined that the Executive Office for United States Attorneys was the most appropriate entity for handling and referred requester to that component for processing,,
FOIA-2013-02700,OIP,4/18/2013,Records pertaining to a court case,Determined that the Executive Office for United States Attorneys was the most appropriate entity for handling and referred requester to that component for processing,,
FOIA-2013-02702,OIP,4/18/2013,Documents from a court case,Determined that the Executive Office for United States Attorneys was the most appropriate entity for handling and referred requester to that component for processing,,
FOIA-2013-02708,OIP,4/19/2013,Information on Swiss Banks investigated by the United States Department of Justice,"Determined that the Tax Division, DOJ, was the most appropriate entity for handling and referred requester to that component for processing; Provided requester with a link to the DOJ FOIA Reference Guide on the OIP website",,
FOIA-2011-00239,OLA,4/22/2013,"Records generated by, maintained by, or referring to the State Secrets Review Committee",Full Grant,,
FOIA-2012-00668,OAG,4/22/2013,Records concerning information related to the selection of Federal Bureau of Prisons Director Charles Samuels and Regional Director Paul Laird. Also any reports of deaths of inmates in federal custody during 2008-2011,Partial Grant/Partial Denial,"(b)(5), (b)(6), (b)(7)(C) ","Certain inter- and intra-agency communications protected by legal privileges; Information the release of which would constitute a clearly unwarranted invasion of the personal privacy of a third party; Records or information compiled for law enforcement purposes, the release of which could reasonably be expected to constitute an unwarranted invasion of the personal privacy of a third party "
FOIA-2012-00669,ODAG,4/22/2013,Records concerning information related to the selection of Federal Bureau of Prisons Director Charles Samuels and Regional Director Paul Laird. Also any reports of deaths of inmates in federal custody during 2008-2011,Partial Grant/Partial Denial,"(b)(5), (b)(6), (b)(7)(C) ","Certain inter- and intra-agency communications protected by legal privileges; Information the release of which would constitute a clearly unwarranted invasion of the personal privacy of a third party; Records or information compiled for law enforcement purposes, the release of which could reasonably be expected to constitute an unwarranted invasion of the personal privacy of a third party "
FOIA-2013-00004,OAG,4/22/2013,Various records pertaining to 8 C.F.R. §§ 215.2 and 215.3(g),"No Records; Determined that the U.S. Citizenship and Immigration Services, was the most appropriate entity for handling and referred requester to that entity for processing",,
FOIA-2013-00667,PAO,4/22/2013,"Records pertaining to (1) the position descriptions and responsibilities, (2) performance evaluation criteria/templates, and (3) actual performance evaluations for employees in the Department of Justice’s Office of Public Affairs",Partial Grant/Partial Denial,(b)(6),Information the release of which would constitute a clearly unwarranted invasion of the personal privacy of a third party 
FOIA-2013-02465,OIP,4/22/2013,A copy of the pricing schedules (Schedule B) and the Statement of Work for Contract # DJD10C0009 for Mail and Moving Services in support of the Drug Enforcement Agency (DEA),Determined that the DEA was the most appropriate entity for handling and referred request and requester to that component for processing,,
FOIA-2013-02543,OIP,4/22/2013,"E-mails and other correspondence to and from David Ebbert, Warden of the United States Penitentiary at Canaan between January 1, 2012 and April 1, 2013, regarding staffing and staff levels, budget, safety, pepper spray, stab-resistant vests, weapons, furloughs, sequestration, the death of correctional officer Eric Williams, inmate Jessie Con-Ui, prison gangs and the New Mexican Mafia","Determined that the Federal Bureau of Prisons, DOJ, was the most appropriate entity for handling and referred request and requester to that component for processing",,
FOIA-2013-02544,OIP,4/22/2013,"E-mails and other correspondence to and from Federal Bureau of Prisons Director Charles E. Samuels, Jr. between December 21, 2011 and April 1, 2013; pertaining to staffing and staff levels; pepper spray; stab-resistant vests; weapons, furloughs; sequestration; the deaths of correctional officers Eric Williams and Jose Rivera; United States Penitentiary, Canaan; prison gangs; and the New Mexican Mafia","Determined that the Federal Bureau of Prisons, DOJ, was the most appropriate entity for handling and referred request and requester to that component for processing",,
FOIA-2013-02545,OIP,4/22/2013,"E-mails and other correspondence from former Director of the Federal Bureau of Prisons, Harley G. Lappin, between January 1, 2008 and May 7, 2011, pertaining to staffing and staff levels; budget; safety; pepper spray; stab-resistant vests; weapons; furloughs; sequestration; the death of correctional office Jose Rivera; United States Penitentiary, Atwater; and prison gangs","Determined that the Federal Bureau of Prisons, DOJ, was the most appropriate entity for handling and referred request and requester to that component for processing",,
FOIA-2013-02576,OIP,4/22/2013,"Records pertaining to the February 4, 2013 letter sent by Representatives Darrell E. Issa and Elijah E. Cummings to Melanie Pustay, Director of the Office of Information Policy, and records concerning a March 2013 meeting between Director Pustay and the House Oversight Committee",Full Denial,(b)(5),Certain inter- and intra-agency communications protected by legal privileges
FOIA-2013-02721,OIP,4/22/2013,"Records pertaining to a request to the Department for preclearance, and the subsequent withdrawal of this request, in the matter of “Fulton County (94-4447) Act No. 731 (1994)”","Determined that the Civil Rights Division, DOJ, was the most appropriate entity for handling and referred request and requester to that component for processing",,
FOIA-2013-02722,OIP,4/22/2013,(1) a copy of any complaint and/or white paper filed by Google that takes issue with search features in Microsoft's Windows Vista operating system and (2) any documents concerning Google's antitrust complaint about how Microsoft's Windows Vista operating,"Determined that the Antitrust Division, DOJ, was the most appropriate entity for handling and referred request and requester to that component for processing",,
FOIA-2013-02724,OIP,4/22/2013,"Records pertaining to a hostage taking episode on November 29, 2010, at Marinette High School in Marinette, Wisconsin by Sam Hengel","Determined that the Executive Office for United States Attorneys, DOJ, was the most appropriate entity for handling and referred requester to that component for processing",,
FOIA-2013-02772,OIP,4/22/2013,Copies of all oaths of office for an Internal Revenue Service employee,Determined that the IRS  was the most appropriate entity for handling and referred requester to that entity for processing,,
FOIA-2013-01337,OLA,4/23/2013,"Copies of certain views letters from the 109th, 110th, 111th, and 112th Congresses",Full Grant,,
FOIA-2013-02530,OIP,4/23/2013,"All subpoenas issued by, or on behalf of, the Office of the Special Inspector General for the Troubled Asset Relief Program (SIGTARP) related to the Colonial Bancgroup, Inc.",Determined that the Dep't of the Treasury was the most appropriate entity for handling and referred requester to that entity for processing,,
FOIA-2013-02677,OAG,4/23/2013,"Records pertaining to ""St Valentine's Day Massacre"" and ""Frank Nitti"" files",Full Grant,,
FOIA-2013-02685,OIP,4/23/2013,"A copy of the Office of Information Policy's response to the February 4, 2013 letter from the House Oversight Committee and materials presented to Committee staff in March of 2013      ",Full Denial,(b)(5),Certain inter- and intra-agency communications protected by legal privileges
FOIA-2013-02692,OIP,4/23/2013,Transcripts from a state court case,Informed requester that the FOIA does not apply to state or local records,,
FOIA-2013-02723,OIP,4/23/2013,"Records regarding the monitoring of the 2013 elections in Cook County, Illinois","Determined that Civil Rights Division, DOJ, was the most appropriate entity for handling and referred request and requester to that component for processing",,
FOIA-2013-02731,OIP,4/23/2013,Records pertaining to the Richard-Feigin Office of Special Investigations Report,"Determined that the Criminal Division, DOJ, was the most appropriate entity for handling and referred requester to that component for processing",,
FOIA-2013-02706,ODAG,4/24/2013,Records pertaining to the government's access to the contents of individuals' private electronic communications,Provided requester link to publicly available online copy of document,,
FOIA-2013-02740,OIP,4/24/2013,A certified copy of the Power of Attorney granted by the United States of American giving authority to the Department of Justice to represent the country in legal matters,"Provided requester with Part 0 of DOJ Regulations (Title 28 of the Code of Federal Regulations), as well as DOJ mission statement and statutory information from DOJ website",,
FOIA-2011-01045,OASG,4/25/2013,"Communications, consultations, or meetings between the senior leadership offices of the Department of Justice, officials and offices of the state of Alabama, and the Department of Education, regarding Alabama's recently passed immigration law (H.B. 56) or",No Records,,
FOIA-2013-02522,OAG,4/25/2013,Correspondence between the Department of Justice and Congress regarding the Department of Homeland Security's direct and/or proxy acquisition of firearms,No Records,,
