Request           Number,Office,Date Closed,Summary of Request,Disposition of Request,Exemption(s) Applied (if applicable),Description of Exemption(s) (if applicable)
FOIA-2012-00395,OLA,2/6/12,Research into the implementation of  18 U.S.C. § 1073,Other: Informed requester that the FOIA is a records access statute and is not applicable to this query,,
FOIA-2012-00396,OLA,2/6/12,"Research into congressional votes on two bills from the 80th Congress (1947-1948), as well as the number of members of the U.S. House of Representatives in that congressional session",Other: Informed requester that the FOIA is an Executive Branch records access statute and is not applicable to this query,,
FOIA-2012-00381,OLA,2/6/12,Reports submitted to Congress pursuant to 28 U.S.C. 530d regarding Walker v. United States and Walker v. Members of Congress,No Records,,
FOIA-2012-00388,OAG,2/6/12,Total number of Foreign Intelligence Surveillance Act (FISA) warrants issued for the requested period CY 2001 - CY 2010,"Other: Determined that the National Security Division, DOJ, was the most appropriate entity for handling, and referred request and requester to that component for processing",,
FOIA-2012-00397,OLP,2/6/12,Oath of Office for U.S. District Judge Klyo A. Matsumoto and U.S. Magistrate Judge Viktor V. Pohorelsky,Partial Grant/Partial Denial,(b)(6),Information the release of which would constitute a clearly unwarranted invasion of the personal privacy of a third party
FOIA-2012-00390,OIP,2/6/12,Copies of transcripts from a state court case,Other: Informed requester that the FOIA does not apply to state or local records,,
FOIA-2012-00366,OIP,2/7/12,"Various records regarding Executive Orders 12866, 13048 and 13392","Other: Determined that the Justice Management Division, DOJ, was the most appropriate entity for handling, and referred requester to that component",,
FOIA-2012-00360,OIP,2/7/12,Various publications concerning the Freedom of Information Act,Partial Grant/Partial Other: Referred requester to Government Printing Office for available records,,
FOIA-2011-00971,OASG,2/7/12,Records concerning a Department of Justice investigation into allegations against Bank of America,No Records,,
FOIA-2012-00392,OAG,2/8/12,"Records regarding an investigation by Immigration and Customs Enforcement into Martha Patricia Munoz, and the criminal case against Ms. Munoz","Other: Determined that the Executive Office for United States Attorneys, DOJ, and U.S. Immigration and Customs Enforcement, DHS, were the most appropriate entities for handling, and referred requester to those entities",,
FOIA-2012-00371,OIP,2/8/12,"Requesting a federal investigation of the Prince William County Circuit Court located in Manassas, VA",Other: Informed requester that the FOIA is a records access statute and is not applicable to this query,,
FOIA-2011-00527,OLP,2/8/12,"Records concerning the FBI’s issuance of national security letters (NSL), including the “reciprocal notice procedure” and records regarding the implementation of the NSL statute",No Records,,
FOIA-2012-00401,OAG,2/8/12,Copy of Attorney General's most recent FOIA Guidelines,Full Grant,,
FOIA-2012-00377,OIP,2/9/12,"Records concerning a contract awarded by the Department of Defense to Three Bullets, Incorporated","Other: Determined that the Dep't of the Army was the most appropriate entity for handling, and referred requester to that Dep't",,
FOIA-2012-00375,OAG,2/9/12,"Records concerning Juan Feleo, who died in the 1940s","Other: Determined that the FBI, National Records and Archives Administration, CIA, the Dep't of State and DOD were the most appropriate entities for handling, and referred requester to those entities",,
FOIA-2010-00282,ODAG,2/9/12,Specific records pertaining to the National Drug Intelligence Center,Request Withdrawn,,
FOIA-2010-01131,OAG,2/9/12,Records pertaining to the creation of the National Security Division’s (NSD) Oversight Section,Partial Grant/Partial Denial,(b)(5); (b)(6); (b)(7)(C),"Certain inter- and intra-agency communications protected by legal privileges; Information the release of which would constitute a clearly unwarranted invasion of the personal privacy of a third party;  Records or information compiled for law enforcement purposes, the release of which could reasonably be expected to constitute an unwarranted invasion of the personal privacy of a third party"
FOIA-2010-01132,ODAG,2/9/12,Records pertaining to the creation of the National Security Division’s (NSD) Oversight Section,Partial Grant/Partial Denial,(b)(5); (b)(6); (b)(7)(C),"Certain inter- and intra-agency communications protected by legal privileges; Information the release of which would constitute a clearly unwarranted invasion of the personal privacy of a third party;  Records or information compiled for law enforcement purposes, the release of which could reasonably be expected to constitute an unwarranted invasion of the personal privacy of a third party"
FOIA-2012-00286,OAG,2/9/12,"Records regarding ""Special Administrative Measures""",Partial Grant/Partial Denial,(b)(5); (b)(7)(E),"Certain inter- and intra-agency communications protected by legal privileges; Information the release of which would constitute a clearly unwarranted invasion of the personal privacy of a third party;  Records or information compiled for law enforcement purposes, the release of which could reasonably be expected to constitute an unwarranted invasion of the personal privacy of a third party"
FOIA-2011-00835,OAG,2/10/12,"Copies of any correspondence between the Department of Justice and Rep. Michele Bachmman, or her office, during her congressional tenure (January 3, 2007 to present) or while she served as Minnesota state senator (January 3, 2001, to January 2, 2007)",Request Withdrawn,,
FOIA-2011-00838,OLA,2/10/12,"Copies of any correspondence between the Department of Justice and Rep. Michele Bachmman, or her office, during her congressional tenure (January 3, 2007 to present) or while she served as Minnesota state senator (January 3, 2001, to January 2, 2007)",Request Withdrawn,,
FOIA-2012-00368,OIP,2/10/12,Information concerning the use of the three law enforcement exclusions contained in the FOIA,Request Withdrawn,,
FOIA-2012-00402,OAG,2/13/12,"Records pertaining to communications between the Executive Office of the President and/or Office of the White House Counsel and the Department of Justice regarding recess appointments made between January 20, 2009 and the present",No Records,,
FOIA-2010-00449,OIP,2/13/12,Copies of the administrative file contents for the FOIA case file 2005-R1013,Partial Grant/Partial Denial,(b)(5),Certain inter- and intra-agency communications protected by legal privileges
