Request Number,Office,Date Closed,Summary of Request,Disposition of Request,Exemption(s) Applied (if applicable),Description of Exemption(s) (if applicable),
FOIA-2013-00772,OIP,12/3/12,"Records pertaining  to Title 15, Section 376(a)(1) of the United States Code","Determined that the ATF was the most appropriate entity for handling, and referred request and requester to that component for processing",,,
FOIA-2013-00810,OIP,12/3/12,Records pertaining to an individual,"Determined that the U.S. Citizenship and Immigration Services, DHS, was the most appropriate entity for handling, and referred requester to that office for processing",,,
FOIA-2013-00811,OIP,12/3/12,Records pertaining to an individual,"Determined that the U.S. Citizenship and Immigration Services, DHS, was the most appropriate entity for handling, and referred requester to that office for processing",,,
FOIA-2013-00832,OIP,12/3/12,"List of frequently requested records, Freedom of Information Act training materials, and a copy of the 2009 edition of the Department of Justice Guide to the Freedom of Information Act","Provided requester with copy of DOJ FOIA Reference Guide, link and listing of training materials located on OIP's website, a link to the DOJ Guide to the FOIA on OIP's website as well as information on how to obtain a paper copy from GPO",,,
FOIA-2013-00839,OIP,12/3/12,Records pertaining to the Federal Motor Carrier Safety Administration's investigation of TForce Energy Services,"Determined that the Federal Motor Carrier Safety Administration, DOT, was the most appropriate entity for handling, and referred requester to that office for processing",,,
FOIA-2013-00734,OIP,12/4/12,"Certain records concerning the Privacy Act, as well as records regarding an individual","Provided requester with a copy of DOJ FOIA Reference Guide a copy of the Privacy Act, and information on requesting records on individuals; Informed requester that contact information for DOJ components is located in the reference guide in order to help determine the proper component in which to submit a request ",,,
FOIA-2013-00837,OIP,12/4/12,"Requesting the ""Annual Reports"" of the Attorney General and the Community Relations Service, certain FOIA publications, including the Department of Justice Guide to the Freedom of Information Act, the Privacy Act Overview, and the Freedom of Information Act Case List, as well as copies of the Guidelines for Effective Human Relations Commissions and Police Use of Deadly Force: A Conciliation Handbook for Citizens and Police","Provided requester link to OIP website for information regarding the FOIA, as well as provided the 2011 DOJ Annual FOIA Report; Determined that the Community Relations Service, DOJ, was also an appropriate entity for handling and referred requester that that component for further processing; Also informed requester that the Government Printing Office would maintain copies of government publications for purchase, and that some publications requested are no longer in print",,,
FOIA-2010-01386,OLA,12/6/12,Copies of certain views letters from the 109th and 110th Congresses,Full Grant,,,
FOIA-2011-00722,OLA,12/6/12,"Correspondence between Representative Dean Heller or his staff, and the Department of Justice, from January 4, 2006 to the present",Full Grant/Partial Referral: Documents referred to the Office of Justice Programs and the Office of Community Oriented Policing Services for processing and direct response to the requester,,,
FOIA-2012-00008,OAG,12/6/12,"Various records pertaining to the transfer and rehabilitation of detainees at Guantanamo Bay, Cuba",No Records,,,
FOIA-2012-00009,ODAG,12/6/12,"Various records pertaining to the transfer and rehabilitation of detainees at Guantanamo Bay, Cuba",No Records,,,
FOIA-2012-00168,OIP,12/6/12,"Documents listing attendees, meeting agendas and minutes from certain meetings between the EPA and OIP",No Records,,,
FOIA-2013-00774,OIP,12/6/12,Records concerning the death of a police officer,"Determined that the FBI and the Executive Office for United States Attorneys, DOJ, were the most appropriate entities for handling and referred requester to those components for processing",,,
FOIA-2013-00776,OIP,12/6/12,Records concerning on a third party,Provided requester with DOJ FOIA Reference Guide and information on requesting records on individuals to assist requester in identifying proper DOJ component for request,,,
FOIA-2013-00897,OIP,12/6/12,Records pertaining to a third party,"Provided requester with DOJ FOIA Reference Guide and information on requesting records on individuals; Determined that the FBI and the Executive Office for Immigration Review, DOJ, were the most appropriate entities for handling, and referred requester to those components for processing",,,
FOIA-2013-00901,OIP,12/6/12,Records pertaining to a third party,"Provided requester with DOJ FOIA Reference Guide and information on requesting records on individuals; Determined that the FBI was the most appropriate entity for handling, and referred requester to that office for processing",,,
FOIA-2011-01038,OLA,12/7/12,"Records relating to the procedures, proposed procedures, any intention(s) to amend, and/or any and all discussions related to the modification of procedures pertaining to a Chaplain's ability or choice to perform or not perform same sex marriages",Full Denial; Provided link to website with White House statement of Administration Policy,(b)(5),Certain inter- and intra-agency communications protected by legal privileges,
FOIA-2012-00660,OLA,12/7/12,"Records regarding all FOIA requests submitted to the Department concerning Senator Debbie Stabenow of Michigan, as well as any correspondence to the Department from or on behalf of Senator Stabenow since January 1, 2001",Partial Grant/Partial Denial,(b)(6),Information the release of which would constitute a clearly unwarranted invasion of the personal privacy of a third party ,
FOIA-2012-01315,OLA,12/7/12,"Records pertaining to data retention by cell phone, internet, or online service providers",Full Denial,(b)(5),Certain inter- and intra-agency communications protected by legal privileges,
FOIA-2013-00954,OIP,12/7/12,Records pertaining to the autopsy and coroner's report on a third party,Informed the requester that the FOIA does not apply to state or local records and suggested that the requester contact the Wisconsin Office of the Attorney General for additional information,,,
FOIA-2013-00968,OIP,12/7/12,Department of Justice Civil Division's False Claims Act statistics for 2012,"Determined that the Civil Division, DOJ, was the most appropriate entity for handling, and referred request and requester to that component for processing",,,
FOIA-2013-00976,OAG,12/7/12,"Copy of “the internal Department of Justice document that identifies the Act of Congress that authorizes investigative, arrest and police powers to the Federal Bureau of Investigation”",Provided requester with publicly available information from FBI website regarding mission and statutory authority and directed requester to contact the FBI directly for further information,,,
FOIA-2013-00711,OAG,12/10/12,"Copy of a 1995 document entitled ""Memorandum of Understanding: Reporting of Information Concerning Federal Crimes""",Provided link to requested information publicly available online,,,
FOIA-2013-00736,OAG,12/10/12,"Certain records issued in 1990 by the Attorney General or the Deputy Assistant Attorney General for the Criminal Division, including records pertaining to an individual","Provided requester with publicly available information from DOJ regulations (28 CFR Ch.1 § 0.57); Determined that the Criminal Division, DOJ, was the most appropriate entity for handling and referred request and requester to that component for processing;  Also determined that the Executive Office for United States Attorneys, DOJ, may be an appropriate entity for handling, and referred requester to that component for further information",,,
FOIA-2013-00762,OIP,12/10/12,Records pertaining to a third party,Provided requester with link to DOJ FOIA Reference Guide and information on requesting records on individuals to assist requester in identifying proper DOJ component for request,,,
FOIA-2013-00771,OIP,12/10/12,Records concerning a third party,"Determined that the FBI was the most appropriate entity for handling, and referred request and requester to that office for processing",,,
FOIA-2013-00773,OIP,12/10/12,"Communications between federal employees, former federal employees, and/or outside contacts regarding individuals involved in the 2012 presidential candidates’ campaigns, the major party committees, or related Super PACs, advocating voting for a certain candidate, as well as communications regarding businesses urging their employees to vote for certain candidates","Determined that the Justice Management Division, DOJ, the Office of Government Ethics, and the Office of Special Counsel were the most appropriate entities for handling, and referred requester to those entities for processing",,,
FOIA-2013-00836,OIP,12/10/12,Information regarding an alleged violation of requester's rights,Informed requester that the FOIA is a records access statute and not applicable to this query; Provided DOJ FOIA Reference Guide and internet printout from DOJ Action Center with contact information for submitting a complaint,,,
FOIA-2013-00841,OIP,12/10/12,"All documents concerning a March 21, 2005 shooting at Red Lake High School in Red Lake, Minnesota","Determined that the FBI was the most appropriate entity for handling, and referred request and requester to that office for processing",,,
