Request           Number,Office,Date Closed,Summary of Request,Disposition of Request,Exemption(s) Applied (if applicable),Description of Exemption(s) (if applicable)
FOIA-2012-00292,PAO,1/3/12,Press releases relating to the Carman Brothers Crew case,Full Grant,,
FOIA-2012-00192,OIPL,1/3/12,"Documents and conversations between state law enforcement entities in the commonwealth of Massachusetts, specifically the Massachusetts Executive Office of Public Safety and Security and the Office of Intergovernmental and Public Liaison",No Records,,
FOIA-2012-00306,OIP,1/4/12,"Any FOIA request and underlying documents submitted by Senator Ron Wyden or his office pertaining to Operation In Our Sites, domain seizures, or dajazl.com",No Records,,
FOIA-2011-00440,ODAG,1/5/12,Department's Political Appointee Tracking System (PATS),"Other: Determined that the Justice Management Division, DOJ, was the most appropriate entity for handling, and referred request and requester to that component for processing",,
FOIA-2012-00056,OAG,1/5/12,"Certain records from January 1, 2009 to June 15, 2011 pertaining to Project Vote",Partial Grant/Partial Denial,(b)(6),Information the release of which would constitute a clearly unwarranted invasion of the personal privacy of a third party
FOIA-2012-00057,ODAG,1/5/12,"Certain records from January 1, 2009 to June 15, 2011 pertaining to Project Vote",Partial Grant/Partial Denial,(b)(6),Information the release of which would constitute a clearly unwarranted invasion of the personal privacy of a third party
FOIA-2012-00058,OASG,1/5/12,"Certain records from January 1, 2009 to June 15, 2011 pertaining to Project Vote",Partial Grant/Partial Denial,(b)(6),Information the release of which would constitute a clearly unwarranted invasion of the personal privacy of a third party
FOIA-2012-00067,OAG,1/5/12,"Records of communications between the Department of Justice and Estelle Rogers, Director of Advocacy for Project Vote from January 20, 2009 to June 23, 2011",Partial Grant/Partial Denial,(b)(6),Information the release of which would constitute a clearly unwarranted invasion of the personal privacy of a third party
FOIA-2012-00068,ODAG,1/5/12,"Records of communications between the Department of Justice and Estelle Rogers, Director of Advocacy for Project Vote from January 20, 2009 to June 23, 2011",Partial Grant/Partial Denial,(b)(6),Information the release of which would constitute a clearly unwarranted invasion of the personal privacy of a third party
FOIA-2012-00069,OASG,1/5/12,"Records of communications between the Department of Justice and Estelle Rogers, Director of Advocacy for Project Vote from January 20, 2009 to June 23, 2011",Partial Grant/Partial Denial,(b)(6),Information the release of which would constitute a clearly unwarranted invasion of the personal privacy of a third party
FOIA-2012-00091,OLP,1/5/12,Claims by Holocaust Survivors,No Records,,
FOIA-2012-00199,OLP,1/5/12,"Any documents from the late 1970s to the present about an Atomic Energy Act/obstruction of justice investigation related to the alleged diversion of nuclear materials from the NUMEC plant in Apollo, PA",No Records,,
