Request Number,Office,Date Closed,Summary of Request,Disposition of Request,Exemption(s) Applied (if applicable),Description of Exemption(s) (if applicable)
FOIA-2010-01382,OAG,8/2/12,"Various records pertaining to the Pigford case, which concerns alleged discrimination by the Department of Agriculture",Request Withdrawn by Requester,,
FOIA-2010-01383,ODAG,8/2/12,"Various records pertaining to the Pigford case, which concerns alleged discrimination by the Department of Agriculture",Request Withdrawn by Requester,,
FOIA-2010-01384,OASG,8/2/12,"Various records pertaining to the Pigford case, which concerns alleged discrimination by the Department of Agriculture",Request Withdrawn by Requester,,
FOIA-2010-01385,OLA,8/2/12,"Various records pertaining to the Pigford case, which concerns alleged discrimination by the Department of Agriculture",Request Withdrawn by Requester,,
FOIA-2012-00303,ODAG,8/2/12,"Request for records in the possession of the DEA pertaining to the acquisition of controlled substances by state officials in California, Arizona and other states for the purpose of carrying out executions of condemned prisoners by lethal injection",Partial Grant/Partial Denial,(b)(6),Information the release of which would constitute a clearly unwarranted invasion of the personal privacy of a third party 
FOIA-2012-00592,OAG,8/2/12,"Records of communication concerning Masters Capital Management, including involvement with the Financial Fraud Enforcement Task Force and/or the Oil and Gas Price Fraud Working Group",No Records,,
FOIA-2012-00707,OAG,8/2/12,"A copy of the Attorney General’s Report to the President, titled Coordinated Approach to the Challenge of Gang Violence: A Progress Report (April 1996)",No Records: Directed requester to the Clinton Presidential Library as likely repository for records,,
FOIA-2012-01201,OIP,8/3/12,Copies of certain Drug Enforcement Administration (DEA) contracts,"Determined that the DEA was the most appropriate entity for handling, and referred request and requester to that component for processing",,
FOIA-2012-01254,OAG,8/6/12,"Information about filing a complaint against the Clark County, Nevada District Attorney's Office",Informed requester that the FOIA is a records access statute and does not apply to the states and provided requester with contact information for the State Bar of Nevada,,
FOIA-2012-00186,OAG,8/6/12,"Documents pertaining to President Clinton's pardon of Marc Rich, or Mr. Rich's ex-wife's contribution to President Clinton's Presidential Library ",Request Closed for Administrative Reasons: Correspondence to requester was returned as undeliverable,,
FOIA-2012-00187,ODAG,8/6/12,"Documents pertaining to President Clinton's pardon of Marc Rich, or Mr. Rich's ex-wife's contribution to President Clinton's Presidential Library",Request Closed for Administrative Reasons: Correspondence to requester was returned as undeliverable,,
FOIA-2012-00188,OASG,8/6/12,"Documents pertaining to President Clinton's pardon of Marc Rich, or Mr. Rich's ex-wife's contribution to President Clinton's Presidential Library",Request Closed for Administrative Reasons: Correspondence to requester was returned as undeliverable,,
FOIA-2012-00704,ODAG,8/6/12,Records pertaining to the Merida Initiative Pillar IV strategic planning session held in December 2010,No Records,,
