Request Number,Office,Date Closed,Summary of Request,Disposition of Request,Exemption(s) Applied (if applicable),Description of Exemption(s) (if applicable),,
FOIA-2015-02166,OIP,4/1/15,records pertaining to the authority or legal basis for the US to provide support in apprehending individuals for whom the ICC has issued arrest warrants and/or summonses given the restrictions in the ASPA and Dodd Amendment.,"Referred requester and/or request to more appropriate entity (CRM, INTERPOL, USAO, Department of State)",,,,
FOIA-2015-02184,OIP,4/1/15,Colonel Jack Maxwell Oliphant as well as references to Operation Clean Sweep and the Arizona Patriots.,"Referred requester and/or request to more appropriate entity (EOUSA, FBI, and NARA)",,,,
FOIA-2015-02250,OIP,4/1/15,"Records pertaining to communications between the Department and John Kasich during specified timeframes, as well as copies of FOIA requests pertaining to John Kasich.",No Records responsive to request were located,,,,
FOIA-2015-02388,OIP,4/1/15,an Office of Information Policy video concerning the importance of the FOIA,Full Grant of publicly available material,,,,
FOIA-2015-02419,OIP,4/1/15,"records pertaining to a June 2012 settlement with GlaxoSmithKline related to unlawful promotion of Zofran, failure to report certain safety data related to Zofran, and its civil liability for alleged false report",Referred requester and/or request to more appropriate entity (EOUSA & CIV),,,,
FOIA-2015-02609,OIP,4/1/15,records pertaining to a third party,Referred requester and/ or request to more appropriate entity (FBI),,,,
FOIA-2015-02231,OIP,4/3/15,records pertaining to the prosecutorial conduct of a third party,"Referred requester and/or request to more appropriate entities (OPR, EOUSA)",,,,
FOIA-2015-02227,AG,4/6/15,"records concerning an investigation by the Department of Justice of Discount Directory, Inc.",Referred requester  to more appropriate entity (DEA),,,,
FOIA-2015-02235,OIP,4/6/15,"I request copies of all agency responses to the Office of Information Law & Policy's 1979 survey of FOIA costs and benefits, and any summaries or compilations thereof",No Records responsive to request were located,,,,
FOIA-2015-02258,OIP,4/6/15,records of all FOIA requests pertaining to Rand Paul,Full Grant: All requested documents RIF,,,,
FOIA-2015-02308,OIP,4/6/15,"records pertaining to Bekir Celenk, Henry Arsan, drug trafficking in Italy (involving Stiban International Transport) and Bulgaria (involving Kintex), the European Union of Turkish-Islamic Cultural Associations, and Mehmet Ali Yaprak",Full Grant: All requested documents RIF,,,,
FOIA-2015-02367,OIP,4/6/15,"records concerning the Texas Mexikan Mafia, also known as Mexikanemi",Referred requester and/or request to more appropriate entity (FBI),,,,
FOIA-2015-02368,OIP,4/6/15,records concerning the California Mexican Mafia,Referred requester and/or request to more appropriate entity (FBI),,,,
FOIA-2015-02428,OIP,4/6/15,information on how to file a complaint against a U.S. Federal Court Clerk,Referred requester and/or request to more appropriate entity (AOUSC),,,,
FOIA-2015-02473,DAG,4/6/15,"records concerning an investigation by the Department of Justice of Discount Directory, Inc.",Referred requester  to more appropriate entity (DEA),,,,
FOIA-2015-02474,ASG,4/6/15,"records concerning an investigation by the Department of Justice of Discount Directory, Inc.",Referred requester  to more appropriate entity (DEA),,,,
FOIA-2015-02540,AG,4/6/15,information pertaining to the neighborhood caretaking policy and federal alternative to state prosecution policy (F.A.S.T.),No Records responsive to request were located,,,,
FOIA-2015-02541,DAG,4/6/15,information pertaining to the neighborhood caretaking policy and federal alternative to state prosecution policy (F.A.S.T.),No Records responsive to request were located,,,,
FOIA-2015-02542,ASG,4/6/15,information pertaining to the neighborhood caretaking policy and federal alternative to state prosecution policy (F.A.S.T.),No Records responsive to request were located,,,,
FOIA-2015-02245,AG,4/7/15,"""information that explains and clarifies what might exist in your system""",Provided relevant information and assistance,,,,
FOIA-2015-02301,AG,4/7/15,records pertaining to SecureDrop,No Records responsive to request were located,,,,
FOIA-2015-02303,DAG,4/7/15,records pertaining to SecureDrop,No Records responsive to request were located,,,,
FOIA-2015-02304,ASG,4/7/15,records pertaining to SecureDrop,No Records responsive to request were located,,,,
FOIA-2015-02535,OIP,4/7/15,copies of former requests and appeals responses as well as a Department of Justice Certification of Identity form,Full grant of publicly available material,,,,
FOIA-2015-02670,OIP,4/7/15,copies of former requests and appeals responses as well as a Department of Justice Certification of Identity form,Full grant of publicly available material,,,,
FOIA-2015-01979,OLA,4/8/15,"records pertaining to the arrest and detention of individuals as material witnesses pursuant to 18 U.S.C. § 3144 and the corresponding provisions of 18 U.S.C § 3142, since January 1, 2008",Full Grant of referred records,,,,
FOIA-2015-02427,DAG,4/8/15,a new DOJ policy that bans waiver of potential ineffective assistance claims against defense counsel,Full grant of publicly available material,,,,
FOIA-2015-02694,OIP,4/8/15,"written or electronic communications between Department of Justice attorney Ari Kunofsky and Luis C. Bustamante, Sterling P. Owen IV, Wayne A. Ritchie II or James Stovall",Referred requester and/or request to more appropriate entity (TAX),,,,
FOIA-2015-02695,OIP,4/8/15,"records pertaining to ""Justice reinvestment policies""",Referred requester and/or request to more appropriate entity (OJP),,,,
FOIA-2015-02697,OIP,4/8/15,records pertaining to settlement “between the U.S. Attorney's Office for the Western District of Michigan and Catholic Charities of West Michigan.”,Referred requester and/or request to more appropriate entity (EOUSA),,,,
FOIA-2015-02390,OIP,4/9/15,Agreement between the US Fish & Wildlife Service and Island Conversation or Point Blue Conservation formerly PRBO.,Determined that records were improperly referred and forwarded records to (EOUSA and ENRD) for further review,,,,
FOIA-2015-02423,OIP,4/9/15,"the most-recent annual FOIA reports for the Departments of the Army, Navy, and Air Force",Full grant of publicly available material,,,,
FOIA-2015-02502,OIP,4/9/15,detailed information on all whooping crane deaths investigated and or prosecuted under either the Endangered Species Act or the Migratory Bird Act in all states over the last twenty years,Determined that records were improperly referred and forwarded records back to (EOUSA) for further review,,,,
FOIA-2015-02548,OIP,4/9/15,"documents relating to case invoice #2011405226, which involves wildlife photographer Jim Neiger’s conviction for ESA violations in Florida",Determined that records were improperly referred and forwarded records back to ENRD for further review,,,,
FOIA-2015-02501,OIP,4/10/15,seven different Executive Orders,Full Grant of publicly available material,,,,
FOIA-2015-01234,OLP,4/14/15,appointment documents pertaining to federal judges seated on the United States District Courts for the Southern District of California and the District of Virginia,Partial Grant/Partial Denial/Partial No Records,(b)(6),Information the release of which would constitute a clearly unwarranted invasion of the personal privacy of a third party,,
FOIA-2015-02455,OIP,4/14/15,"records related to the forfeiture and sale of the Traveler's Choice motel at 3747 South 146th Street, Tukwila, Washington","Referred requester and/or request to more appropriate entity (USMS, EOUSA)",,,,
FOIA-2015-02585,OLP,4/14/15,Oath(s) of Office for Judge Charles Clevert of the United States District Court for the Eastern District of Wisconsin,Partial Grant/Partial Denial: All requested documents RIP,(b)(6),Information the release of which would constitute a clearly unwarranted invasion of the personal privacy of a third party,,
FOIA-2015-02696,OIP,4/14/15,"the number of immigration judges who conduct administrative court proceedings in Arizona, the number of juvenile cases filed in the Immigration Court from the total of filed cases by fiscal year, from 2010 to 2014, and other data",Referred requester and/or request to more appropriate entity (EOIR),,,,
FOIA-2014-02957,AG,4/15/15,seeking all communications between the Department of Justice and the Government of Canada wherein the subject of Brad Birkenfeld’s revelations as they relate to Canada are discussed between the period of January 2007 through December 2011,No Records responsive to request were located,,,,
FOIA-2014-02958,DAG,4/15/15,seeking all communications between the Department of Justice and the Government of Canada wherein the subject of Brad Birkenfeld’s revelations as they relate to Canada are discussed between the period of January 2007 through December 2011,No Records responsive to request were located,,,,
FOIA-2014-02959,ASG,4/15/15,all communications between the Department of Justice and the Government of Canada wherein the subject of Brad Birkenfeld’s revelations as they relate to Canada are discussed between the period of January 2007 through December 2011,No Records responsive to request were located,,,,
FOIA-2015-00888,DAG,4/15/15,records from the Federal Bureau of Investigation (FBI) pertaining to Travel of the President of the United States (TROPUS),Referred records determined to be not responsive to the request after review by OIP,,,,
FOIA-2015-01884,ASG,4/15/15,"various records concerning the introduction, passage and implementation of the No Social Security for Nazis Act between October 19, 2014, and February 6, 2015",No Records responsive to request were located,,,,
FOIA-2015-02424,OIP,4/15/15,the most recent annual FOIA report of the Department of Homeland Security (DHS),Full grant of publicly available material,,,,
FOIA-2015-02468,ASG,4/15/15,all correspondence from 2003-2015 between the International Committee of the Red Cross and the seven named Offices identified in request,No Records responsive to request were located,,,,
FOIA-2015-02469,OLA,4/15/15,all correspondence from 2003-2015 between the International Committee of the Red Cross and the seven named Offices identified in request,No Records responsive to request were located,,,,
FOIA-2015-02472,OIP,4/15/15,all correspondence from 2003-2015 between the International Committee of the Red Cross and the seven named Offices identified in request,No Records responsive to request were located,,,,
FOIA-2015-02504,OIP,4/15/15,information pertaining to the Freedom of Information Act (FOIA),Provided relevant information and assistance ,,,,
FOIA-2015-02588,OIP,4/15/15,"records seized on or about November 9, 2009 from various named locations",Referred requester and/or request to more appropriate entity (FBI and EOUSA),,,,
FOIA-2015-02623,OIP,4/15/15,"the following documents: (1) The Federal Records Act, (2) The Rehabilitation Act of 1973, section 504,  (3) three or more cases resolved by the Department of Justice pertaining to The Rehabilitation Act of 1973, section 504, (4) ""the findings by Attorney","Provided requester with DOJ FOIA Reference Guide, Provided other relevant information and assistance",,,,
FOIA-2015-02626,OIP,4/15/15,Federal court case,Referred requester to more appropriate entity (EOUSA),,,,
FOIA-2014-02456,AG,4/16/15,report about the Black Legion murder case,Partial Grant/Partial Denial/Partial Referral: Records referred to CRM and USPS for further review,,,,
FOIA-2015-01242,AG,4/16/15,"correspondence between the Office of the Attorney General and the following people from the Associated Press: Gary Pruitt, Chief Executive Officer, Kathleen Carroll, Executive Editor, or Karen Kaiser, General Counsel, during 2014",Full Grant: All requested documents RIF,,,,
FOIA-2015-02226,AG,4/16/15,most up to date version of the  Attorney General’s Guidelines on Federal Bureau of Investigation Undercover Operations,Full Grant of publicly available material,,,,
FOIA-2015-02372,OLP,4/16/15,most up to date version of the  Attorney General’s Guidelines on Federal Bureau of Investigation Undercover Operations,Full Grant of publicly available material,,,,
FOIA-2015-02633,OIP,4/16/15,records pertaining to the poaching of whooping cranes,Determined that records were improperly referred and forwarded records to EOUSA for further review,,,,
FOIA-2015-02705,OIP,4/16/15,a victim's advocate report from South Carolina,"Provided relevant information and assistance, South Carolina Department of Natural Resources",,,,
FOIA-2015-02707,OIP,4/16/15,all documents pertaining to a federal court case,Provided requester with DOJ FOIA Reference Guide; Provided other relevant information and assistance,,,,
FOIA-2015-02750,OIP,4/16/15,records concerning the adjudication of Freedom of Information Act Administrative Appeal AP-2014-04709,Provided requester with DOJ FOIA Reference Guide; Provided other relevant information and assistance,,,,
FOIA-2015-02488,OIP,4/17/15,legal memorandum on whether or not an agency can lie in it's annual report to the Attorney General if it would reasonably believe it would impact law enforcement investigations,No Records responsive to request were located,,,,
FOIA-2014-03405,AG,4/20/15,"All records of communication between Lois Lerner and any representative of the Department of Justice between January 1, 2009 and January 1, 2012",No Records responsive to request were located,,,,
FOIA-2014-03406,DAG,4/20/15,"All records of communication between Lois Lerner and any representative of the Department of Justice between January 1, 2009 and January 1, 2012",No Records responsive to request were located,,,,
FOIA-2014-03407,ASG,4/20/15,"All records of communication between Lois Lerner and any representative of the Department of Justice between January 1, 2009 and January 1, 2012",No Records responsive to request were located,,,,
FOIA-2015-02653,OIP,4/20/15,the salary for the Secretary of Defense,Referred requester and/or request to more appropriate entity (DOD),,,,
FOIA-2015-00844,AG,4/21/15,memoranda from the Attorney General concerning the death penalty,Full Grant: All requested documents RIF,,,,
FOIA-2015-02634,OIP,4/21/15,Complaint against Washington D.C. Department of Housing Development,Provided relevant information and assistance ,,,,
FOIA-2015-02586,OIP,4/22/15,Violation of constitutional rights,Provided requester with DOJ FOIA Reference Guide; Provided other relevant information and assistance,,,,
FOIA-2015-02817,OIP,4/22/15,records pertaining to Operation Cross Country VII,Referred requester and/or request to more appropriate entity (FBI),,,,
FOIA-2015-02828,OIP,4/22/15,records pertaining to a third party,Provided requester with a link to DOJ FOIA Reference Guide; Provided other relevant information and assistance,,,,
FOIA-2015-02829,OIP,4/22/15,records pertaining to a third party,Provided requester with a link to DOJ FOIA Reference Guide; Provided other relevant information and assistance,,,,
FOIA-2015-02871,OIP,4/22/15,seeking to file a complaint against a Texas Department of Criminal Justice Employee and information concerning the Prison Rape Elimination Act (PREA),Provided relevant information and assistance ,,,,
FOIA-2014-00331,DAG,4/24/15,"records involving “drones” and “targeted assassinations,” from 2009 through the present",Partial Grant/Partial Denial,"(b)(5), (b)(6)",Certain inter- and intra-agency communications protected by legal privileges; Information the release of which would constitute a clearly unwarranted invasion of the personal privacy of a third party,,
FOIA-2015-02344,OIP,4/24/15,"annual FOIA reports, litigation reports, and compliance reports that are not posted online",Full Grant: All requested documents RIF,,,,
FOIA-2015-02635,OIP,4/24/15,"requesting that this Office forward your previous request letter and documents with administrative tracking number OIP/15-01932, to the U.S. Parole Commission or return the documents to you",Provided relevant information and assistance,,,,
FOIA-2013-03655,OIP,4/27/15,a listing of certain items regarding all Freedom of Information Act requests which were pending at the end of Fiscal Year 2012 for each of the components for which the Office of Information Policy processes such requests,Full Grant,,,,
FOIA-2013-03656,OIP,4/27/15,"a listing of certain items regarding all FOIA requests received in the Office of Information Policy (OIP) from October 1, 2012 through March 31, 2013, regarding each of the components for which OIP processes FOIA and Privacy Act requests",Full Grant,,,,
FOIA-2015-00482,AG,4/27/15,"records of communication to or from officials in the Office of the Attorney General related to Israel Defense Force Sergeant Oron Shaul since July 20, 2014.",Full Grant: All requested documents RIF,,,,
FOIA-2015-01478,OIP,4/27/15,"listing of all FOIA requests received from October 1, 2012 through December 31, 2014 with the following fields: a)  tracking number, b) office, c) date of request d) date received, e) track, and f) date closed",Full Grant: All requested documents RIF,,,,
FOIA-2015-02630,AG,4/27/15,guidance on interrogating terrorism suspects without issuing Miranda warnings,Partial Grant/Partial Denial: All requested documents RIP,"(b)(5), (b)(7)(E)","Certain inter- and intra-agency communications protected by legal privileges, Records or information compiled for law enforcement purposes, the release of which would disclose techniques and procedures for law enforcement investigations or prosecutions",,
FOIA-2015-02631,DAG,4/27/15,guidance on interrogating terrorism suspects without issuing Miranda warnings,Partial Grant/Partial Denial: All requested documents RIP,"(b)(5), (b)(7)(E)","Certain inter- and intra-agency communications protected by legal privileges, Records or information compiled for law enforcement purposes, the release of which would disclose techniques and procedures for law enforcement investigations or prosecutions",,
FOIA-2015-02859,OIP,4/27/15,"information pertaining to the status of the following ""OCR"" case or docket numbers: (1) Docket 04-14-1691 and 04-14-1692, (2) OCDEMAIL0052933P/04-15-1207 and 04-15-1208, and (3) OCDEMAIL0053553P",Provided relevant information and assistance (Department of Education and Office of Government Information Services),,,,
FOIA-2015-02669,OIP,4/28/15,for various sections of the United States Department of Justice Guide to the Freedom of Information Act (Guide) and copies of two court decisions,Partial Grant/Partial Denial: All requested documents RIP,,,,
FOIA-2015-02712,OIP,4/28/15,documents regarding Lamictal and the adverse events of Stevens-Johnson Syndrome and Toxic Epidermal Necrolysis.,"Referred requester and/or request to more appropriate entity (FBI, EOUSA)",,,,
FOIA-2015-02983,OIP,4/28/15,requested to know if the Office of the Attorney General determined if it was in the best interest of the Department to represent a 3rd party against the Department of Veterans Affairs,Provided relevant information and assistance ,,,,
FOIA-2015-01650,OLA,4/29/15,copies of the last four Uniformed Services Employment and Reemployment Rights Act (USERRA) reports,Full Grant: All requested documents RIF,,,,
FOIA-2015-02687,OIP,4/29/15,records pertaining to court case involving 3rd party,Provided relevant information and assistance.,,,,
FOIA-2015-02985,OIP,4/29/15,"a copy of a murder report that occurred in the state of Michigan on May 1, 1973",Provided relevant information and assistance,,,,
