Request Number,Office,Date Closed,Summary of Request,Disposition of Request,Exemption(s) Applied (if applicable),Description of Exemption(s) (if applicable),
FOIA-2012-01452,OIP,10/2/12,Information regarding an alleged privacy right violation,Informed requester that the FOIA is a records access statute and is not applicable to this query and referred requester to the DOJ online Action Center,,,
FOIA-2012-01453,OAG,10/2/12,Information on the service of an individual at the Department of Justice,"Determined that the Civil Division, DOJ, was the most appropriate entity for handling, and referred request and requester to that component for processing",,,
FOIA-2012-01107,OASG,10/4/12,"E-mails and internal documents concerning articles written by the Associated Press in 2011 and 2012 about the New York Police Department's surveillance of minorities and Muslims since the September 11, 2001 terror attacks",No Records,,,
FOIA-2012-01415,OLP,10/4/12,"Copies of the Presidential Commissions for Supreme Court Justices Harry Blackmun, William Brennan, Warren Burger, Harold Burton, Thomas Clark, Abe Fortas, Arthur Goldberg, John Harlan, Elena Kagan, Thurgood Marshall, Sherman Minton, Lewis Powell, William Rehnquist, Potter Stewart, Earl Warren, Byron White, Charles Whittaker, and Fred Vison, and the Presidential Commission, oath of office, and appointment affidavit for U.S. District Court Judge James E. Boasberg of Washington, D.C. ","Partial Grant/Partial Denial/Partial No Records; Also informed requester that records of the federal judiciary (though not subject to the FOIA) are maintained by the Administrative Office of the United States Courts, and provided contact information for that office should the requester wish to request additional information",(b)(6),Information the release of which would constitute a clearly unwarranted invasion of the personal privacy of a third party ,
FOIA-2012-01397,OAG,10/5/12,"Copies of occasions between February 1, 2009 and August 3, 2012, in which the Attorney General Eric Holder has used a government plane on official or personal business","Provided requester with link to Attorney General Calendars publicly available in the online OIP FOIA Library and determined that the Justice Management Division, DOJ, was also an appropriate entity for handling and referred requester to that component for processing ",,,
FOIA-2010-00341,OAG,10/11/12,"Records pertaining to Attorney General Eric Holder's comments regarding an assault weapons ban during a press conference on February 25, 2009",Full Denial/Partial Referral: Referred material to ATF for direct response to the requester,(b)(5),Certain inter- and intra-agency communications protected by legal privileges ,
FOIA-2010-00344,OAG,10/11/12,"Records pertaining to Attorney General Eric Holder's comments regarding an assault weapons ban during a press conference on February 25, 2009",Full Denial/Partial Referral: Referred material to ATF for direct response to the requester,(b)(5),Certain inter- and intra-agency communications protected by legal privileges,
FOIA-2011-00030,OAG,10/11/12,"Records pertaining to Attorney General Eric Holder's comments regarding an assault weapons ban during a press conference on February 25, 2009",Full Denial/Partial Referral: Referred material to ATF for direct response to the requester,(b)(5),Certain inter- and intra-agency communications protected by legal privileges,
FOIA-2012-01409,OLA,10/12/12,"Records pertaining to (1) rules, standards, and policies governing communications between the Department and the White House and/or the Executive Office of the President, (2) rules, standards, or policies governing information sharing on ongoing investigations and open matters with Congress, and (3) records containing analysis in support of points (1) and (2), such as Office of Legal Counsel (OLC) memoranda","Provided link to responsive material already located on the website of DOJ's Office of Legislative Affairs, as well as to the website of the Office of Legal Counsel for additional publicly available information; Determined that the National Archives and Records Administration was also an appropriate entity for handling, and referred  requester to that agency for processing ",,,
FOIA-2012-00093,PAO,10/16/12,Certain correspondence and records concerning issues related to Holocaust survivors,No Records,,,
FOIA-2012-01412,OAG,10/16/12,"Records pertaining to requester's federal case, as well as records pertaining to the removal of a former United States Attorney","Partial Grant; Determined that the Executive Office for United States Attorneys, DOJ, was also an appropriate entity for handling, and referred  requester to that component for processing ",,,
FOIA-2012-01475,OAG,10/16/12,"Records pertaining to the Financial Fraud Enforcement Task Force, including staffing records, directories, budget records, calendars and agendas, and communications, from November 17, 2009 to the present",Duplicate Request: Documents were referred by another entity in response to a request already being processed by OIP; Referred documents were incorporated into ongoing processing under original OIP tracking number,,,
FOIA-2012-01476,ODAG,10/16/12,"Records pertaining to the Financial Fraud Enforcement Task Force, including staffing records, directories, budget records, calendars and agendas, and communications, from Nov. 17, 2009 to the present",Duplicate Request: Documents were referred by another entity in response to a request already being processed by OIP; Referred documents were incorporated into ongoing processing under original OIP tracking number,,,
FOIA-2010-00413,OAG,10/17/12,Records concerning the origin of and tracing of firearms used to commit crimes in Mexico and/or that are smuggled into Mexico from the U.S.,"Full Denial/Partial Referral: Referred material to ATF and Criminal Division, DOJ, for direct response to the requester; Provided link to website of the Office of Legislative Affairs, DOJ, with available testimony on request topic",(b)(5),Certain inter- and intra-agency communications protected by legal privileges,
FOIA-2013-00010,OIP,10/18/12,Various records pertaining to a Louisiana State Penitentiary,"Informed requester that the FOIA does not apply to state or local records and directed requester to the state of Louisiana for additional information; Determined that the Federal Bureau of Prisons, DOJ, was also an appropriate entity for handling, and referred  requester to that component for processing ",,,
FOIA-2012-01454,PAO,10/22/12,Communications between the Office of Public Affairs and forty separate media outlets and campaign messaging groups,Request Withdrawn by Requester,,,
FOIA-2012-01464,ODAG,10/22/12,"Department of Justice records dated from January 20, 2009 regarding discussions of appointments by White House staff, or persons acting on behalf of the White House, with candidates for public office regarding exchanges for a candidate's withdrawal",Duplicate Request: Documents were referred by another entity in response to a request already being processed by OIP; Referred documents were incorporated into ongoing processing under original OIP tracking number,,,
FOIA-2012-01465,ODAG,10/22/12,"Department of Justice records dated from January 20, 2009 regarding discussions of appointments by White House staff, or persons acting on behalf of the White House, with candidates for public office regarding exchanges for a candidate's withdrawal",Duplicate Request: Documents were referred by another entity in response to a request already being processed by OIP; Referred documents were incorporated into ongoing processing under original OIP tracking number,,,
FOIA-2012-01466,OIP,10/22/12,"Copy of report submitted by the Department of Justice to the Archivist and the Director of the Office of Management and Budget (OMB) pursuant to the November 28, 2011 Presidential Memorandum on Managing Government Records","Determined that the Justice Management Division, DOJ, was the most appropriate entity for handling, and referred request and requester to that component for processing",,,
FOIA-2012-01472,OIP,10/22/12,Copy of the Antiterrorism and Effective Death Penalty Act of 1996,Provided requester with publicly available online copy,,,
FOIA-2012-01474,OIP,10/22/12,Copy of the Federal Jacob Wetterling Crimes Against Children and Sexually Violent Offender Registration Act,Provided requester with publicly available online copy,,,
FOIA-2012-01490,OIP,10/22/12,Records concerning certain federal inmates ,Provided requester with a copy of the DOJ FOIA Reference Guide and information on requesting records on individuals; Informed requester that the Federal Bureau of Prisons was the most appropriate entity for handling such a request and that contact information for this component was located in the DOJ FOIA Reference Guide ,,,
FOIA-2012-01491,OIP,10/22/12,Records on a third party,Provided requester with DOJ FOIA Reference Guide and information on requesting records on individuals to assist requester in identifying proper DOJ component for request,,,
FOIA-2013-00007,OIP,10/22/12,Immigration records related to a third party,"Determined that the Executive Office for Immigration Review, DOJ, was the most appropriate entity for handling, and referred request and requester to that component for processing",,,
FOIA-2013-00056,OIP,10/22/12,Records pertaining to the Internal Revenue Code of 1986,"Determined that the Internal Revenue Service was the most appropriate entity for handling, and referred requester to that entity for processing",,,
FOIA-2011-00481,OAG,10/23/12,Records pertaining to David Warner Ryder and the International Committee to Combat the World Menace of Communism,"Referral: Upon OIP review, located documents were determined to be of primary interest to another Department component’s request in process at OIP, and were incorporated into the ongoing processing of that associated tracking number",,,
FOIA-2012-01198,OLA,10/23/12,Information regarding the death of Alex Odeh,Partial Grant/Partial Denial,(b)(6),Information the release of which would constitute a clearly unwarranted invasion of the personal privacy of a third party ,
FOIA-2012-01050,OAG,10/24/12,"List of the Attorney General’s Distinguished Service Award recipients for the years 2001, 2002 and 2003",Request Withdrawn by Requester,,,
FOIA-2012-01477,OAG,10/24/12,Copies of the policy and/or the reconsidered position of the Department of Justice regarding prisoners who were incarcerated even though they were legally innocent,"Provided requester with copies of publicly available court materials and determined that the Executive Office for United States Attorneys, DOJ, was the most appropriate entity for handling and referred requester to that component for processing",,,
FOIA-2012-01478,ODAG,10/24/12,Copies of the policy and/or the reconsidered position of the Department of Justice regarding prisoners who were incarcerated even though they were legally innocent,"Provided requester with copies of publicly available court materials and determined that the Executive Office for United States Attorneys, DOJ, was the most appropriate entity for handling and referred requester to that component for processing",,,
FOIA-2012-00204,OAG,10/25/12,"Various records concerning stipulated removal from Sept 1, 2010 to the present",Request Withdrawn by Requester,,,
FOIA-2012-00205,ODAG,10/25/12,"Various records concerning stipulated removal from Sept 1, 2010 to the present",Request Withdrawn by Requester,,,
FOIA-2012-01433,OIP,10/25/12,Records concerning Park West Gallery,No Records,,,
FOIA-2012-01467,OAG,10/25/12,Records concerning Park West Gallery,No Records,,,
FOIA-2012-01468,ODAG,10/25/12,Records concerning Park West Gallery,No Records,,,
