Request Number,Office,Date Closed,Summary of Request,Disposition of Request,Exemption(s) Applied (if applicable),Description of Exemption(s) (if applicable)
FOIA-2012-01008,OIP,7/2/12,"Mailing address of all of the offices in the state of South Carolina listed under ""Internal Affairs Division""","Other:  Informed requester that the FOIA does not require agencies to answer questions or conduct research in response to requests, and provided requester with contact information for South Carolina Law Enforcement Division and South Carolina Attorney General's office",,
FOIA-2012-01128,OIP,7/2/12,Records concerning the duty to rise when a judge enters a United States court room,Other: Informed requester the FOIA does not to judicial records and directed requester to contact the court in question directly for information on court procedures,,
FOIA-2011-00804,OAG,7/2/12,"Agency records created from January 1, 2004 to the present discussing, concerning, or reflecting the Department of Justice's use of Section 215 of the USA PATRIOT Act",Partial Grant/Partial Denial,"(b)(1), (b)(3), (b)(5)",Information that is classified by Executive Order to protect national security; Information that is prohibited from disclosure by another federal law; Certain inter- and intra-agency communications protected by legal privileges
FOIA-2011-00805,ODAG,7/2/12,"Agency records created from January 1, 2004 to the present discussing, concerning, or reflecting the Department of Justice's use of Section 215 of the USA PATRIOT Act",Partial Grant/Partial Denial,"(b)(1), (b)(3), (b)(5)",Information that is classified by Executive Order to protect national security; Information that is prohibited from disclosure by another federal law; Certain inter- and intra-agency communications protected by legal privileges
FOIA-2011-00807,OLA,7/2/12,"Agency records created from January 1, 2004 to the present discussing, concerning, or reflecting the Department of Justice's use of Section 215 of the USA PATRIOT Act",Partial Grant/Partial Denial,"(b)(1), (b)(3), (b)(5)",Information that is classified by Executive Order to protect national security; Information that is prohibited from disclosure by another federal law; Certain inter- and intra-agency communications protected by legal privileges
FOIA-2011-00806,OASG,7/2/12,"Agency records created from January 1, 2004 to the present discussing, concerning, or reflecting the Department of Justice's use of Section 215 of the USA PATRIOT Act",Partial Grant/Partial Denial,"(b)(1), (b)(3), (b)(5)",Information that is classified by Executive Order to protect national security; Information that is prohibited from disclosure by another federal law; Certain inter- and intra-agency communications protected by legal privileges
FOIA-2012-00983,OLA,7/2/12,"Copies of annual reports submitted to Congress pertaining to 18 U.S.C. § 2257A since April 30, 2004","No Records/Partial Other: Determined that the Criminal Division, DOJ,  was an appropriate entity for handling, and referred requester to that component for processing",,
FOIA-2012-00979,OAG,7/2/12,"Copies of training materials, employee handbooks and manuals on asset forfeiture",Full Grant,,
FOIA-2012-01114,OIP,7/2/12,"Copies of the ""[Family] Education Rights and Privacy Act (FERPA)"" and the ""Enemy Combatant Law""","Full Grant: Provided requester with reference materials and copy of FERPA, as well as reference materials regarding the Military Commissions Act of 2006 and the use of the term ""enemy combatant""",,
FOIA-2012-00203,OIP,7/3/12,"Documents from the late 1970s to the present about an Atomic Energy Act/obstruction of justice investigation related to the alleged diversion of nuclear materials from the NUMEC plant in Apollo, PA",No Records/Partial Other: Directed requester to the Ford and Carter Presidential Libraries as likely repositories for further information,,
FOIA-2010-00137,OIP,7/5/12,Administrative Contents of a specific FOIA request file,Partial Grant/Partial Denial,"(b)(5), (b)(6)",Certain inter- and intra-agency communications protected by legal privileges; Information the release of which would constitute a clearly unwarranted invasion of the personal privacy of a third party 
FOIA-2012-01134,OIP,7/6/12,Information regarding COINTELPRO file 100-448006,"Other: Determined that the FBI and Civil Rights Division, DOJ, were the most appropriate entities for handling, and provided contact information for those components and advised requester that the request had already been referred to those entities by the Mail Referral Unit",,
FOIA-2012-01087,OIP,7/6/12,Records pertaining to a local police department,"Other:  Informed requester that the FOIA does not apply to state or local records, and provided requester with link to DOJ website for further information from the DOJ Action Center, and provided contact information for the Attorney General of the state where the department is located",,
FOIA-2012-00648,OAG,7/6/12,"Copy of a December 11, 2009 letter from Illinois Gov. Pat Quinn to the Attorney General",Full Grant,,
FOIA-2012-00632,OAG,7/6/12,"Copy of a December 11, 2009 letter from Illinois Gov. Pat Quinn to the Attorney General",Full Grant,,
FOIA-2012-00913,OLP,7/6/12,Records regarding Project Gunrunner,Duplicate Request,,
FOIA-2012-00971,OAG,7/6/12,Information pertaining to civilian complaints against the Stamford Police Department from 1996-2006,No Records,,
FOIA-2012-01000,ODAG,7/6/12,Information pertaining to civilian complaints against the Stamford Police Department from 1996-2006,No Records,,
FOIA-2012-01001,OASG,7/6/12,Information pertaining to civilian complaints against the Stamford Police Department from 1996-2006,No Records,,
FOIA-2012-00988,OIP,7/6/12,Copy of the Office of Information Policy's “handbook/packet”,Provided requester with copy of the DOJ FOIA Reference Guide and information for obtaining the DOJ Guide to the FOIA (2009 edition),,
FOIA-2012-00987,OIP,7/6/12,Copy of the Department of Justice Guide to the Freedom of Information Act (2009 edition),"Full Grant: Provided requester with link to DOJ Guide to the FOIA on OIP's website, and directed requester to the Government Printing Office to obtain a paper copy",,
FOIA-2012-01004,OIP,7/6/12,Information regarding the Freedom of Information Act,Provided requester with link to DOJ FOIA Reference Guide on the OIP website and directed requester to FOIA.gov for additional information,,
FOIA-2012-01067,OAG,7/6/12,Certain records pertaining to the Financial Fraud Enforcement Task Force,Duplicate Request,,
FOIA-2012-01068,ODAG,7/6/12,Certain records pertaining to the Financial Fraud Enforcement Task Force,Duplicate Request,,
FOIA-2012-01123,OAG,7/6/12,"Information on where the Attorney General has traveled for political reasons since March 1, 2012",No Records: Informed requester that the Attorney General does not travel for political reasons,,
FOIA-2012-01083,OAG,7/6/12,Certain records pertaining to the Financial Fraud Enforcement Task Force,Duplicate Request,,
FOIA-2012-01084,ODAG,7/6/12,Certain records pertaining to the Financial Fraud Enforcement Task Force,Duplicate Request,,
FOIA-2012-01147,OIP,7/6/12,Copies of the United Nations Charter and the United Nations Declaration of Human Rights,Full Grant: Provided requester with copies of requested items publicly available online ,,
FOIA-2012-01148,OIP,7/6/12,Copy of the Helsinki Final Act,Full Grant: Provided requester with copy of requested item publicly available online ,,
FOIA-2012-01130,OIP,7/9/12,Copies of two specific Office of Legal Counsel  opinions from the 1980s,"Other: Determined that the Office of Legal Counsel, DOJ, was the most appropriate entity for handling, and referred request and requester to that component for processing",,
FOIA-2012-01022,OAG,7/9/12,"Copies of all grants awarded to the National Immigration Law Center between January 1, 2011 and the present","No Records/Partial Other: Informed requester that the Office of Justice Programs may maintain responsive records, and also advised requester that the Mail Referral Unit had already referred request to the Executive Office for United States Attorneys and the Executive Office for Immigration Review for processing and direct response",,
FOIA-2012-01023,ODAG,7/9/12,"Copies of all grants awarded to the National Immigration Law Center between January 1, 2011 and the present","No Records/Partial Other: Informed requester that the Office of Justice Programs may maintain responsive records, and also advised requester that the Mail Referral Unit had already referred request to the Executive Office for United States Attorneys and the Executive Office for Immigration Review for processing and direct response",,
FOIA-2012-01024,OASG,7/9/12,"Copies of all grants awarded to the National Immigration Law Center between January 1, 2011 and the present","No Records/Partial Other: Informed requester that the Office of Justice Programs may maintain responsive records, and also advised requester that the Mail Referral Unit had already referred request to the Executive Office for United States Attorneys and the Executive Office for Immigration Review for processing and direct response",,
