Request Number,Office,Date Closed,Summary of Request,Disposition of Request,Exemption(s) Applied (if applicable),Description of Exemption(s) (if applicable)
FOIA-2012-00550,OLP,4/3/12,"Oaths of Office, Appointment Affidavits, and Senate Commissions for sixteen Circuit Court Judges and one Supreme Court Judge",Partial Grant/Partial Denial,(b)(6),Information the release of which would constitute a clearly unwarranted invasion of the personal privacy of a third party
FOIA-2012-00590,OLP,4/3/12,"Oaths of Office, Appointment Affidavits, and Senate Commissions for sixteen Circuit Court Judges and one Supreme Court Judge",Partial Grant/Partial Denial,(b)(6),Information the release of which would constitute a clearly unwarranted invasion of the personal privacy of a third party
FOIA-2012-00612,OIP,4/4/12,Records pertaining to U.S. v. McGregor et. al (10-cr-00186) from the U.S. District Court for the Middle District of Alabama,"Other: Determined that the Executive Office for United States Attorneys, DOJ, was the most appropriate entity for handling, and referred request and requester to that component for processing",,
FOIA-2012-00639,OIP,4/4/12,Various military and state records,"Other: Determined that the Dep't of Defense was the most appropriate entity for handling, and referred requester to that agency for processing; informed requester that the FOIA does not apply to state or local records",,
FOIA-2012-00656,OIP,4/4/12,"Correspondence from January 1, 2008 to the present between the Department of Justice's Civil Rights Division and Alabama's Office of the Governor concerning the state veterans nursing home","Other: Determined that the Civil Rights Division, DOJ, was the most appropriate entity for handling, and referred request and requester to that component for processing",,
FOIA-2012-00657,OIP,4/4/12,Records related to the Department of Justice's approval of the Google-ITA transaction,"Other: Determined that the Antitrust Division, DOJ, was the most appropriate entity for handling, and referred request and requester to that component for processing",,
FOIA-2012-00178,OASG,4/5/12,"Communications from, to, and concerning Elena Kagan and Tracy Schmaler, Donald Verrilli, Brian Hauck, and Thomas Perrelli",Request withdrawn as to this Office,,
FOIA-2012-00190,ODAG,4/5/12,"Communications from, to, and concerning Elena Kagan and Tracy Schmaler, Donald Verrilli, Brian Hauck, and Thomas Perrelli",Request withdrawn as to this Office,,
FOIA-2012-00652,OAG,4/5/12,"Outgoing correspondence from the Offices of the Attorney General, Deputy Attorney General, and Intergovernmental and Public Liaison to Arizona Maricopa County Sheriff Joseph Arpaio",No Records,,
FOIA-2012-00653,ODAG,4/5/12,"Outgoing correspondence from the Offices of the Attorney General, Deputy Attorney General, and Intergovernmental and Public Liaison to Arizona Maricopa County Sheriff Joseph Arpaio",No Records,,
