Request Number,Office,Date Closed,Summary of Request,Disposition of Request,Exemption(s) Applied (if applicable),Description of Exemption(s) (if applicable)
FOIA-2014-01379,OAG,9/3/14,"Attorney General policy regarding ""three strike law""",No Records; Referred requester and/or request to more appropriate entity (CRM & EOUSA),,
FOIA-2014-04086,OIP,9/3/14,"The Emancipation Proclamation, Declaration of Independence, records related to the slave trade, ancestry records, and other information",Referred requester and/or request to more appropriate entity (NARA),,
FOIA-2014-04146,OIP,9/3/14,"Contact information for the American Bar Association and the ""Ethics Commission"" in Washington, DC.",Full grant of publically available information.,,
FOIA-2014-04192,OIP,9/3/14,Tax records ,Referred requester and/or request to more appropriate entity (IRS),,
FOIA-2014-04195,OIP,9/3/14,A copy of the report outlining the Department of Justice's accomplishments,Full Grant,,
FOIA-2014-04214,OIP,9/3/14,"Documents relating to a Huntsville, AL man's contact with ATF resident agent David Hyche, or any other ATF employee in or about October of 2009",Referred requester and/or request to more appropriate entity (ATF),,
FOIA-2014-04277,OAG,9/3/14,"Attorney General records reflecting the policy of the Federal Bureau of Investigation toward investigating and prosecuting Israeli espionage, prior to 1987, as well as changes made to the policy in 1987",Referred requester and/or request to more appropriate entity (NARA),,
FOIA-2014-04291,OLA,9/3/14,"Records between an advocacy organization and the United States Department of Justice between January 1, 2011 to present, relating to any proposed or suggested changes or modifications to the Foreign Corrupt Practices Act of 1977",Referred requester and/or request to more appropriate entity (CRM),,
FOIA-2014-04292,PAO,9/3/14,"Records between an advocacy organization and the United States Department of Justice between January 1, 2011 to present, relating to any proposed or suggested changes or modifications to the Foreign Corrupt Practices Act of 1977",Referred requester and/or request to more appropriate entity (CRM),,
FOIA-2014-04296,OIP,9/3/14,Seeking legal advice,Provided relevant information and assistance,,
FOIA-2014-04197,OIP,9/4/14,Documents or information gathered during the investigation related to case No. 4:14nj1000-JMV,Determined that records were improperly referred and forwarded records back to EOUSA for further review,,
FOIA-2014-04290,OIP,9/4/14,"Records maintained by the Federal Bureau of Investigation concerning former Tennessee lawmaker Lois Deberry, of Memphis, TN",Referred requester and/or request to more appropriate entity (FBI),,
FOIA-2014-04309,OIP,9/4/14,Records associated with a specific Office of Professional Responsibility investigative file,Referred requester and/or request to more appropriate entity (OPR),,
FOIA-2012-01312,OAG,9/5/14,"Specific records between the Department of Justice and members of Congress and/or the Obama administration concerning the use of Unmanned Aerial Vehicles, commonly referred to as “drones,” for purposes of lethal force against terrorist targets in other countries since January 2010",Partial Grant/Partial Denial,(b)(1); (b)(3),Information that is classified by Executive Order to protect national security; Information that is prohibited from disclosure by another federal law
