Request Number,Office,Date Closed,Summary of Request,Disposition of Request,Exemption(s) Applied (if applicable),Description of Exemption(s) (if applicable)
FOIA-2012-00305,PAO,6/1/12,"Records dating from January 23, 2009 to the present concerning the Department of Justice's investigation of allegations regarding the events occurring at the Guantanamo Bay Detention Facility",Duplicate Request,,
FOIA-2012-00452,OIP,6/1/12,Processing notes regarding file number AP-2012-00779,Partial Grant/Partial Denial/Partial Referral: Documents referred to the FBI for processing and direct response to the requester,b(5),Certain inter- and intra-agency communications protected by legal privileges
FOIA-2012-00926,OIP,6/1/12,Copy of final action taken in case number 98001,No Records/Partial Other: Provided requester a copy of the DOJ Reference Guide to aid in identifying a more appropriate component to handle request,,
FOIA-2012-00927,OIP,6/1/12,Copies of personnel files from Forts Belvoir and Meyers,"Other: Determined that the U.S. Army was the most appropriate entity for handling, and referred requester to that agency for processing",,
FOIA-2012-00928,OIP,6/1/12,Investigative file concerning Palm Beach County School District involving suspension practices related to students struggling to speak English at certain named schools.,"Other: Determined that the Civil Rights Division, DOJ, was the most appropriate entity for handling, and referred requester to that component for processing",,
FOIA-2012-00931,OIP,6/1/12,Copy of the winning proposal of Solicitation Number DJOCIR12001,"Other: Determined that the Justice Management Division, DOJ, was the most appropriate entity for handling, and referred requester to that component for processing",,
FOIA-2012-00960,OIP,6/1/12,Congressman John Boehner's attendance and voting record from 2004 to the present,Other: Informed requester that the FOIA does not apply to Legislative Branch records and directed requester to the Speaker's office,,
FOIA-2012-00961,OIP,6/1/12,Records pertaining to a former federal inmate's deportation from an Immigration and Custom's Enforcement facility in New Mexico,"Other: Determined that Immigration and Customs Enforcement, DHS, was the most appropriate entity for handling, and referred requester to that agency for processing",,
FOIA-2012-00986,OIP,6/1/12,Seeking the Attorney General's assistance concerning an issue with the Federal Bureau of Investigation,"Other: Provided FOIA contact information for FBI and information for filing a complaint, and informed requester that the FOIA is a records access statute and is not applicable to this query",,
FOIA-2010-00132,OIP,6/6/12,"Records related to prior FOIA request dated October 12, 2004, seeking the Attorney General's report entitled ""Five-Year Interagency Counterterrorism and Technology Crime Plan""",Partial Grant/Partial Denial,(b)(5); (b)(6),Certain inter- and intra-agency communications protected by legal privileges; Information the release of which would constitute a clearly unwarranted invasion of the personal privacy of a third party 
FOIA-2011-00665,ODAG,6/6/12,Records pertaining to the Subversive Activities Control Board,Partial Grant/Partial Denial,(b)(6); (b)(7)(C) ,"Information the release of which would constitute a clearly unwarranted invasion of the personal privacy of a third party; Records or information compiled for law enforcement purposes, the release of which could reasonably be expected to constitute an unwarranted invasion of the personal privacy of a third party"
FOIA-2012-00898,OIP,6/7/12,"Records sufficient to determine how much money DOJ has spent in the procurement, development, and implementation of software by Privasoft Corp and similar records for www.FOIA.gov.",Full Grant,,
FOIA-2012-00962,OLA,6/7/12,"Records sufficient to determine how much money DOJ has spent in the procurement, development, and implementation of software by Privasoft Corp and similar records for www.FOIA.gov.",Full Grant,,
FOIA-2012-00678,OIP,6/11/12,Copy of the National Defense Authorization Act,Partial Grant/Advised requester of duplication fees for further processing,,
FOIA-2012-00910,OIP,6/11/12,Seeking assistance with filing a complaint,"Other: Informed requester that the FOIA is a records access statute and is not applicable to this query, and provided requester with link to available resources on DOJ website",,
FOIA-2011-00745,OAG,6/12/12,"Requests any and all documents or other records, created or obtained on or after January 1, 1985, containing the name(s) of various individuals or organizations",Request Withdrawn,,
FOIA-2011-00746,ODAG,6/12/12,"Requests any and all documents or other records, created or obtained on or after January 1, 1985, containing the name(s) of various individuals or organizations",Request Withdrawn,,
FOIA-2011-00747,OASG ,6/12/12,"Requests any and all documents or other records, created or obtained on or after January 1, 1985, containing the name(s) of various individuals or organizations",Request Withdrawn,,
FOIA-2012-00908,OIP,6/12/12,Copies of implementing regulations for various sections of the United States Code,Provided requester with implementing regulations and advised of publicly available information on the Government Printing Office website,,
FOIA-2012-00969,OIP,6/12/12,"List of current Department of Justice employees including their names, title, current salary, and duty stations in Arizona and Nevada","Other: Determined that the Justice Management Division, as well as FBI, DEA, and Federal Bureau of Prisons, DOJ, were the most appropriate entities for handling, and referred requester to those components for processing",,
FOIA-2012-00976,OIP,6/12/12,"Department of Justice, Civil Rights Division cases and their resolutions involving violations of Section 504 of the Rehabilitation Act of 1973 and students with disabilities in Florida over the past two years, particularly cases involving charter schools  ","Other: Determined that the Civil Rights Division, DOJ, was the most appropriate entity for handling, and referred request and requester to that component for processing",,
FOIA-2012-00977,OIP,6/12/12,"Department of Justice, Civil Rights Division cases and their resolutions involving violations of Section 504 of the Rehabilitation Act of 1973 and students with disabilities in Florida over the past two years, particularly cases involving charter schools  ","Other: Determined that the Civil Rights Division, DOJ, was the most appropriate entity for handling, and referred request and requester to that component for processing",,
FOIA-2012-00299,OIP,6/13/12,Addresses of specific private news organizations,Provided requester with publicly available information from Internet,,
