Request Number,Office,Date Closed,Summary of Request,Disposition of Request,Exemption(s) Applied (if applicable),Description of Exemption(s) (if applicable),
FOIA-2015-01523,ASG,01/04/2016,"Communications between persons in AG, DAG, ASG and Mark Zuckerberg or Facebook Inc., that relate to a civil action in the U.S. District Court for the Western District of New York",No Records responsive to request were located,,,
FOIA-2016-00647,OLP,01/04/2016,"All correspondence between both Amnesty International and Amnesty International USA and the Office of Legal Policy from January 1, 2001 to December 31, 2013",No Records responsive to request were located,,,
FOIA-2011-00799,DAG,01/05/2016,Patriot Act related legal memoranda,Full Grant,,,
FOIA-2015-01577,AG,01/05/2016,All correspondence (written or electronic) in the month of January 2009 between the Department of Justice and the Central Intelligence Agency regarding the use of enhanced interrogation techniques,No Records responsive to request were located,,,
FOIA-2015-01857,DAG,01/05/2016,All correspondence (written or electronic) in the month of January 2009 between the Department of Justice and the Central Intelligence Agency regarding the use of enhanced interrogation techniques,No Records responsive to request were located,,,
FOIA-2015-01858,ASG,01/05/2016,All correspondence (written or electronic) in the month of January 2009 between the Department of Justice and the Central Intelligence Agency regarding the use of enhanced interrogation techniques,No Records responsive to request were located,,,
FOIA-2015-03851,PAO,01/06/2016,"Department of Justice Office of Public Affairs records that refer to the cartoon strip “Doonesbury” or Gary Trudeau, from October 1970 to the present",No Records responsive to request were located,,,
FOIA-2016-00837,OIP,01/06/2016,"All government records concerning the In Amenas, Algeria terrorist attack of January 2013",Referred requester to more appropriate agency (OJP),,,
FOIA-2016-00959,OIP,01/06/2016,(1) Principal FOIA contacts for all federal agencies; (2) Department of Justice component FOIA contacts; (3) The Department of Justice FOIA Reference Guide; and (4) A list of federal agency Chief FOIA Officers,Provided requester with publicly available material; Provided additional information and assistance,,,
FOIA-2016-01107,OIP,01/06/2016, Records concerning citizenship and immigration papers,Referred requester and/or request to more appropriate entity (USCIS),,,
