Request Number,Office,Date Closed,Summary of Request,Disposition of Request,Exemption(s) Applied (if applicable),Description of Exemption(s) (if applicable)
FOIA-2012-00716,OIP,5/1/12,Copy of DAG-71 forms for Fiscal Year 2011 submitted by a local California Police Department,Other: Provided requester a copy of the DOJ Reference Guide to help recommend a more appropriate component to handle request,,
FOIA-2012-00720,OIP,5/1/12,Records regarding British Honduras and Belize,"Other: Determined that the Dep't of State was the most appropriate entity for handling, and referred requester to that Dep't for processing",,
FOIA-2012-00723,OIP,5/1/12,"Information regarding Joseph Paterno's involvement in the matter referred to as the ""Penn State Scandal""","Other: Determined that the Executive Office for United States Attorneys, DOJ, was the most appropriate entity for handling, and referred requester to that component for processing",,
FOIA-2012-00741,OIP,5/1/12,Copy of the health plan contract between Medicaid and HMOs,"Other: Determined that the Dep't of Health and Human Services was the most appropriate entity for handling, and referred requester to that Dep't for processing",,
FOIA-2012-00647,OIP,5/2/12,"Copy of the 1979 Department of Justice guidelines titled ""Procedures and Standards on Refusals to Defend FOIA Suits"" from former Assoicate Attorney General John H. Shenefield",No Records/Partial Other: Determined that the National Archives and Records Administration might have information on this topic and referred requester to that agency for processing,,
FOIA-2012-00726,OIP,5/2/12,Michael Vick's FBI record involving animal cruelty,"Other: Determined that the FBI was the most appropriate entity for handling, and referred request and requester to that component for processing",,
FOIA-2011-00771,OAG,5/2/12,"Any electronic communication between the Office of the Attorney General and the Executive Office of the President with the phrase 'Espionage Act' in the subject line, between 2009 and 2010",No Records,,
FOIA-2012-00682,ODAG,5/2/12,"Records pertaining to the Canadian federal bill C-10, omnibus crime bill, and the Safe Streets and Communities Act",No Records,,
FOIA-2012-00681,OAG,5/2/12,"Records pertaining to the Canadian federal bill C-10, omnibus crime bill, and the Safe Streets and Communities Act",No Records,,
FOIA-2012-00683,OASG,5/2/12,"Records pertaining to the Canadian federal bill C-10, omnibus crime bill, and the Safe Streets and Communities Act",No Records,,
FOIA-2012-00844,OIP,5/3/12,Records pertaining to requests for private company user data from the government,"Other: Determined that the Justice Management Division, DOJ, was the most appropriate entity for handling, and referred request and requester to that component for processing",,
FOIA-2012-00773,OIP,5/3/12,A copy of the DOJ FOIA Reference Guide and a list of government-wide FOIA contacts for agencies and departments,Full Grant,,
FOIA-2012-00802,OIP,5/4/12,"Copies of audio recordings of telephone conversations recorded by the South Bend, IN Police Department that sparked a federal investigation and led to the demotion or the firing of certain individuals","Other: Determined that the FBI was the most appropriate entity for handling, and referred requester to that component for processing",,
FOIA-2012-00735,OIP,5/4/12,Records related to a case filed by the United States Attorney’s Office for the District of Minnesota,"Other: Determined that the Executive Office for United States Attorneys, DOJ, was the most appropriate entity for handling, and referred request and requester to that component for processing",,
FOIA-2012-00717,OIP,5/4/12,Records related to a lawsuit filed in the United States Attorney’s Office for the Northern District of Illinois,"Other: Determined that the Executive Office for United States Attorneys, DOJ, was the most appropriate entity for handling, and referred request and requester to that component for processing",,
FOIA-2012-00737,OIP,5/4/12,Copy of a Federal Bureau of Prisons contract,"Other: Determined that the Federal Bureau of Prisons, DOJ, was the most appropriate entity for handling, and referred request and requester to that component for processing",,
FOIA-2012-00724,OIP,5/4/12,Record on a federal inmate from the Federal Bureau of Prisons,"Other: Determined that the Federal Bureau of Prisons, DOJ, was the most appropriate entity for handling, and referred request and requester to that component for processing",,
FOIA-2012-00732,OIP,5/4/12,Records related to a court case filed by the United States Attorney's Office for the District of Utah,"Other: Determined that the Executive Office for United States Attorneys, DOJ, was the most appropriate entity for handling, and referred request and requester to that component for processing",,
FOIA-2012-00729,OIP,5/4/12,Records from the Criminal Division pertaining to requests for Mutual Legal Assistance (MLAT) issued by the Central Authority of Brazil,"Other: Determined that the Criminal Division, DOJ, was the most appropriate entity for handling, and referred request and requester to that component for processing",,
FOIA-2011-00597,PAO,5/4/12,"Communications maintained, sent, or received by any employee or officer in the Office of the Attorney General, Office of the Deputy Attorney General, and Department's Public Affairs office regarding Freedom of Information Act requests since January 1, 2009",Partial Grant/Partial Denial,b(6),Information the release of which would constitute a clearly unwarranted invasion of the personal privacy of a third party
FOIA-2012-00229,OASG,5/4/12,Records pertaining to the Speech and Debate Clause of the Constitution impeding law enforcement investigations and prosecutions,No Records,,
FOIA-2012-00805,OLP,5/7/12,Oaths of Office for California Superior Court Judge Daniel T. Tharpe and Assistant District Attorney for Fresno County Lindsey A. Bittner,Other: Informed requester that the FOIA does not apply to state or local records,,
FOIA-2012-00700,OLP,5/7/12,"Copies of the Oaths of Office, Appointment Affidavits, and Presidential and Senate Commissions for twelve U.S. District Court Judges and seven U.S. Magistrate Judges",Partial Grant/Partial Denial,(b)(6),Information the release of which would constitute a clearly unwarranted invasion of the personal privacy of a third party
FOIA-2012-00790,OAG,5/7/12,"Information regarding a mortgage fraud investigative working group, specifically: 1)  full list of names, titles, direct supervisors and salaries of the working group members; 2) the name of the working group; 3) a contact address for the working group","Partial Grant/Partial Other: Provided publicly available information from DOJ's website, and directed requester to DOJ's Criminal and Civil Divisions, the Executive Office for United States Attorneys, and the SEC for further information",,
