Request Number,Office,Date Closed,Summary of Request,Disposition of Request,Exemption(s) Applied (if applicable),Description of Exemption(s) (if applicable),
FOIA-2011-00828,OAG,7/1/13,"Communication between the Department of Justice and Virginia Governor Tim Kaine between January 20, 2009 and January 16, 2010",Request Withdrawn,,,
FOIA-2012-00096,PAO,7/1/13,Records of communication regarding the hiring of an Office of Public Affairs employee,Partial Grant/Partial Denial,(b)(6),Information the release of which would constitute a clearly unwarranted invasion of the personal privacy of a third party ,
FOIA-2013-02321,OIP,7/1/13,Records associated with the FOIA requests two FOIA requests made to the Office of the Inspector General,"Full Grant/Partial Referral: Material also referred to the Office of the Inspector General, DOJ, for processing and direct response to the requester",,,
FOIA-2013-03517,OLA,7/1/13,Records pertaining to a firearm transaction,Informed requester that the FOIA does not apply to state or local records,,,
FOIA-2011-00601,OASG,7/2/13,"Copies of e-mail and telephone communications between former Associate Attorney General Robert D. McCallum and the White House concerning U.S. v. Philip Morris between May 23, 2001, and September 31, 2005",Partial Grant/Partial Denial,(b)(5),Certain inter- and intra-agency communications protected by legal privileges,
FOIA-2013-02475,PAO,7/2/13,"Records of correspondence on or behalf of Michael J. Sullivan as a private citizen, or in his capacities as the Acting Director of the Bureau of Alcohol, Tobacco, and Firearms, and U.S. Attorney for the District of Massachusetts",No Records,,,
FOIA-2013-03793,OIP,7/2/13,"Information on whether the Department of Justice offers federal funding to any Islamic groups, specifically groups involved in providing education to young children","Determined that the Office of Justice Programs, DOJ, was the most appropriate entity  for handling and referred requester to that component for processing",,,
FOIA-2013-02412,OAG,7/3/13,Correspondence between the Asian Law Caucus and the Department of Justice,Request withdrawn for fee-related reasons,,,
FOIA-2013-02732,OAG,7/3/13,Records relating to Attorney Elliot Peters,Request withdrawn for fee related reasons,,,
FOIA-2013-02733,ODAG,7/3/13,Records relating to Attorney Elliot Peters,Request withdrawn for fee related reasons,,,
FOIA-2013-02734,OASG,7/3/13,Records relating to Attorney Elliot Peters,Request withdrawn for fee related reasons,,,
FOIA-2013-03485,OIP,7/3/13,Copy of a FOIA request submitted by the American Civil Liberties Union,File closed for failure to pay fees to the FBI,,,
