Component,Number of Backlogged Requests as of End of Fiscal Year from Previous Annual Report,Nnumber of Backlogged Requests as of End of Fiscal Year from Current Annual Report,
Office of the AG,154,194,
Office of the DAG,99,138,
Office of the Assoc. AG,22,40,
Antitrust,26,28,
ATF,44,50,
BOP,370,317,
Civil,31,39,
Civil Rights,68,181,
COPS,0,0,
Criminal,73,40,
CRS,0,0,
DEA,826,616,
ENRD,2,3,
EOIR,264,205,
EOUSA,1124,738,
EOUST,0,0,
FBI,1602,938,
FCSC,0,0,
JMD,33,10,
NDIC,3,2,
NSD,43,26,
OCDETF,4,0,
ODR,0,0,
OFDT,0,1,
OIG,0,8,
OIP,54,26,
OIPL,3,2,
OJP,71,24,
OLA,55,46,
OLC,82,33,
OLP,12,11,
OPR,9,21,
OSG,9,15,
OVW,0,0,
Pardon Attorney,1,0,
Public Affairs,12,12,
PRAO,1,0,
TAX,2,1,
USMS,16,30,
USNCB,10,8,
USPC,35,13,
Total,5160,3816,
