Component,Median Number of Days,Average Number of Days,Lowest Number of Days,Highest Number of Days,
AMS,129,158,75,270,
APHIS,184,546.5,6,2108,
ASCR,70,70,49,91,
FAS,185,185,185,185,
FNCS,237,230.5,84,345,
FS,131,196.03,1,664,
FSA,37,35.81,1,98,
FSIS,81,87.75,6,182,
GIPSA,126,175.67,44,357,
NAD,0,0,0,0,
NRCS,48,63.29,4,233,
OBPA,0,0,0,0,
OCFO,0,0,0,0,
OGC,0,0,0,0,
OIG,20,19,17,21,
OSEC/OCIO/DM,149.5,149.5,62,237,
RD,38,139.82,1,888,
REE,14,14,14,14,
RMA,1008,715.67,125,1014,
Total,79,197,0,2108,
