SERO Dealer,Permit,Dealer,Address,City,State,Zipcode,Effective Date,Expiration Date
550,GSAD,BRYANT PRODUCTS INC,PO BOX 357,BAYOU LA BATRE,AL,36509-0357,04/01/2016,03/31/2017
658,GSAD,SEA PEARL SEAFOOD COMPANY INC,PO BOX 649,BAYOU LA BATRE,AL,36509-0649,02/01/2017,01/31/2018
2770,GSAD,WATER FRONT FISH HOUSE,PO BOX 417,BAYOU LABATRE,AL,36509-0417,03/24/2016,05/31/2017
281,GSAD,DOMINICKS SEAFOOD INC,PO BOX 692,BAYOU LABATRE,AL,36509-0692,07/01/2016,06/30/2017
2759,GSAD,STEEL CITY SEAFOOD LLC,1301 PINSON ST,BIRMINGHAM,AL,35217-2518,02/01/2016,05/31/2017
2056,GSAD,AQUILA SEAFOOD INC,PO BOX 150,BON SECOUR,AL,36511-0150,04/01/2016,03/31/2017
1254,GSAD,BILLYS SEAFOOD INC,PO BOX 309,BON SECOUR,AL,36511-0309,04/01/2016,03/31/2017
2805,GSAD,Z PACKED INC,PO BOX 553,CODEN,AL,36523-0553,07/28/2016,03/31/2017
1662,GSAD,ZIRLOTT TRAWLERS INC,PO BOX 553,CODEN,AL,36523-0553,07/28/2016,01/31/2018
2766,GSAD,FINS AND FAMILY FISHING LLC,PO BOX 1455,GULF SHORES,AL,36547-1455,03/02/2016,03/31/2017
2751,GSAD,NI-COLE LLC,27253 BOAT BASIN RD,ORANGE BEACH,AL,36561-3981,02/01/2017,01/31/2018
1217,GSAD,CAPTAIN JACKIES SEAFOOD INC,9675 DAUPHIN ISLAND PKWY,THEODORE,AL,36582-7231,12/01/2016,11/30/2017
1822,GSAD,DEER RIVER SEAFOOD LLC,7622 DEER RIVER RD,THEODORE,AL,36582-9317,05/20/2016,03/31/2017
2616,GSAD,H & N GROUP INC,5580 S ALAMEDA ST,VERNON,CA,90058-3426,10/01/2016,09/30/2017
2107,GSAD,ANTHONY MANALI JR,PO BOX 1034,ANNA MARIA,FL,34216-1034,03/01/2016,02/28/2017
1200,GSAD,W E L D INC,PO BOX 1478,ANNA MARIA,FL,34216-1478,06/01/2016,05/31/2017
1072,GSAD,BOSS OYSTER INC,123 WATER ST,APALACHICOLA,FL,32320-1736,06/01/2016,05/31/2017
154,GSAD,WATER STREET SEAFOOD INC,PO BOX 121,APALACHICOLA,FL,32329-0121,01/01/2017,12/31/2017
1421,GSAD,LEAVINS SEAFOOD INC,PO BOX 520,APALACHICOLA,FL,32329-0520,05/01/2016,04/30/2017
1729,GSAD,BUDDY WARD & SONS SEAFOOD & TRUCKING LLC,PO BOX 698,APALACHICOLA,FL,32329-0698,04/04/2016,02/28/2017
134,GSAD,MISS BECKY SEAFOOD INC,4371 OCEAN ST,ATLANTIC BCH,FL,32233-2417,04/01/2016,03/31/2017
2603,GSAD,MAYPORT C AND C FISHERIES INC,36 W 6TH ST,ATLANTIC BCH,FL,32233-3486,12/01/2016,11/30/2017
2501,GSAD,GBU FISH INC,PO BOX 430473,BIG PINE KEY,FL,33043-0473,01/01/2017,12/31/2017
2580,GSAD,M&M BECKER SEAFOOD INC,274 LOMA LN,BIG PINE KEY,FL,33043-3112,02/01/2017,01/31/2018
2801,GSAD,KEYS CUISINE INC,30233 OVERSEAS HWY,BIG PINE KEY,FL,33043-3377,07/06/2016,06/30/2017
2784,GSAD,DG SEAFOOD LLC,3029 PINE AVE,BIG PINE KEY,FL,33043-6219,05/13/2016,06/30/2017
2728,GSAD,JOHN ANTHONY DIAMOND,PO BOX 664,BOKEELIA,FL,33922-0664,09/01/2016,08/31/2017
