SERO Dealer,Permit,Dealer,Address,City,State,Zipcode,Effective Date,Expiration Date
281,GSAD,DOMINICKS SEAFOOD INC,PO BOX 692,BAYOU LABATRE,AL,36509,06/01/2015,06/30/2016
550,GSAD,BRYANT PRODUCTS INC,PO BOX 357,BAYOU LABATRE,AL,36509-0357,03/17/2015,03/31/2016
658,GSAD,SEA PEARL SEAFOOD COMPANY INC,PO BOX 649,BAYOU LABATRE,AL,36509-0649,02/27/2015,01/31/2016
2056,GSAD,AQUILA SEAFOOD INC,PO BOX 150,BON SECOUR,AL,36511-0150,02/25/2015,03/31/2016
1254,GSAD,BILLYS SEAFOOD INC,PO BOX 309,BON SECOUR,AL,36511-0309,02/25/2015,03/31/2016
769,GSAD,SAFE HARBOUR SEAFOOD INC,5822 HERITAGE CIR,BON SECOUR,AL,36511-3401,08/27/2015,07/31/2016
2541,GSAD,LADY D CHARTERS II LLC,29653 ANCHOR CROSS BLVD,DAPHNE,AL,36526-9594,03/06/2015,02/29/2016
2656,GSAD,WALTER ROGER MCNEIL,27253 BOAT BASIN RD,ORANGE BEACH,AL,36561-3981,02/10/2015,04/30/2016
1822,GSAD,DEER RIVER SEAFOOD LLC,7622 DEER RIVER RD,THEODORE,AL,36582-9317,04/22/2015,03/31/2016
1464,GSAD,H & N FOODS INTERNATIONAL,5580 S ALAMEDA ST,VERNON,CA,90058-3426,06/02/2015,03/31/2016
2128,GSAD,SEA WELL SEAFOOD INC,3 LIBERTY ST,PAWCATUCK,CT,06379-1633,01/22/2015,12/31/2015
2107,GSAD,ANTHONY MANALI JR,PO BOX 1034,ANNA MARIA,FL,34216-1034,03/11/2015,02/29/2016
1200,GSAD,W E L D INC,PO BOX 1478,ANNA MARIA,FL,34216-1478,04/29/2015,05/31/2016
154,GSAD,WATER STREET SEAFOOD INC,PO BOX 121,APALACHICOLA,FL,32320,11/21/2014,12/31/2015
1072,GSAD,BOSS OYSTER INC,123 WATER ST,APALACHICOLA,FL,32320-1736,04/16/2015,05/31/2016
1421,GSAD,LEAVINS SEAFOOD INC,PO BOX 520,APALACHICOLA,FL,32329-0520,04/13/2015,04/30/2016
1312,GSAD,AMISON SEAFOOD INC,PO BOX 627,APALACHICOLA,FL,32329-0627,01/07/2015,12/31/2015
134,GSAD,MISS BECKY SEAFOOD INC,4371 OCEAN ST,ATLANTIC BCH,FL,32233-2417,02/24/2015,03/31/2016
2603,GSAD,MAYPORT C AND C FISHERIES INC,36 W 6TH ST,ATLANTIC BCH,FL,32233-3486,12/01/2015,11/30/2016
2501,GSAD,GBU FISH INC,PO BOX 430473,BIG PINE KEY,FL,33043-0473,02/05/2015,12/31/2015
2580,GSAD,M&M BECKER SEAFOOD INC,274 LOMA LN,BIG PINE KEY,FL,33043-3112,08/25/2014,01/31/2016
2728,GSAD,JOHN ANTHONY DIAMOND,PO BOX 664,BOKEELIA,FL,33922-0664,10/15/2015,08/31/2016
2127,GSAD,JOSEPH HOLT MORTON II,16498 TORTUGA ST,BOKEELIA,FL,33922-1607,11/01/2015,10/31/2016
2444,GSAD,LEWIS STEPHEN POPPELL,14190 ROBERT RD,BOKEELIA,FL,33922-2110,12/01/2015,11/30/2016
2597,GSAD,MC FISH LLC,1022 N FEDERAL HWY,BOYNTON BEACH,FL,33435-3227,07/01/2015,11/30/2016
2735,GSAD,ERIC GONZALO FRAGA,3632 SE 1ST ST,BOYNTON BEACH,FL,33435-8611,10/15/2015,11/30/2016
2652,GSAD,FISHER SEAFOOD INC,4415 18TH AVE W,BRADENTON,FL,34209-5113,02/03/2015,01/31/2016
2620,GSAD,OFF THE BOAT FISH LLC,8417 43RD AVE W,BRADENTON,FL,34209-6413,09/02/2015,08/31/2016
2734,GSAD,BATEMAN CONSULTING INC,504 LITHIA WAY,BRANDON,FL,33511-5312,10/21/2015,02/28/2017
2715,GSAD,ANTHONYS FRESH FISH LLC,401 S STATE ST,BUNNELL,FL,32110-6107,08/25/2015,09/30/2016
2520,GSAD,BIG FISH LLC,5252 WILLOW CT,CAPE CORAL,FL,33904-5677,02/18/2015,02/29/2016
2505,GSAD,Z FRESH FISH INC,2117 SW 20TH AVE,CAPE CORAL,FL,33991-3514,05/20/2015,06/30/2016
2732,GSAD,FATHER & SON SEAFOOD LLC,PO BOX 625,CHOKOLOSKEE,FL,34138-0625,10/06/2015,09/30/2016
344,GSAD,ROCHELE INC,1001 BELLEAIR RD,CLEARWATER,FL,33756-7131,11/05/2015,04/30/2017
2642,GSAD,LIVE FISH FLORIDA LLC,3040 EASTHAND BLVD,CLEARWATER,FL,33761,12/22/2014,04/30/2016
242,GSAD,FRENCHYS SEAFOOD INC,419 E SHORE DR,CLEARWATER,FL,33767-2028,06/08/2015,05/31/2016
146,GSAD,SEAFOOD ATLANTIC INC,4065 TANGELO AVE,COCOA,FL,32926-2839,04/02/2015,03/31/2016
275,GSAD,A P BELL FISH CO INC,PO BOX 276,CORTEZ,FL,34215-0276,03/25/2015,03/31/2016
2248,GSAD,CORTEZ BAIT & SEAFOOD INC,PO BOX 579,CORTEZ,FL,34215-0579,10/01/2015,09/30/2016
639,GSAD,CAPE CANAVERAL SHRIMP COMPANY INC,PO BOX 269,CPE CANAVERAL,FL,32920-0269,12/24/2014,01/31/2016
1152,GSAD,SUNRISE BOAT MARINA INC,505 GLEN CHEEK DR,CPE CANAVERAL,FL,32920-4501,06/08/2015,10/31/2016
2150,GSAD,CHRISTOPHER CLYDE OAKS,PO BOX 1391,CRAWFORDVILLE,FL,32326-1391,11/25/2014,12/31/2015
1987,GSAD,D & M SEAFOOD LLC,PO BOX 1600,CROSS CITY,FL,32628-1600,03/12/2015,03/31/2016
206,GSAD,CHARLIES FISH HOUSE INC,224 NW US HIGHWAY 19,CRYSTAL RIVER,FL,34428-3933,08/13/2015,08/31/2016
2690,GSAD,THE CRAB PLANT LLC,201 NW 5TH ST,CRYSTAL RIVER,FL,34428-4007,05/29/2015,11/30/2016
205,GSAD,GILL MARINE CORPORATION,12645 W FORT ISLAND TRL,CRYSTAL RIVER,FL,34429-5290,10/01/2015,09/30/2016
2576,GSAD,BLUE OCEAN SEAFOOD INC,10780 SW 190TH ST,CUTLER BAY,FL,33157-7618,09/23/2014,02/29/2016
2714,GSAD,R D ELMORE ENTERPRISES INC,331 EMORY DR,DAYTONA BEACH,FL,32118-3101,07/30/2015,11/30/2016
