Component,Number of Requests Pending as of Start of Fiscal Year,Number of Requests Received in Fiscal Year,Number of Requests Processed in Fiscal Year,Number of Requests Pending as of End of Fiscal Year
AMS,32,141,142,31
APHIS,532,955,959,528
ASCR,2,32,33,1
FAS,1,52,46,7
FNCS,50,495,462,83
FS,543,2072,1935,680
FSA,1453,14854,14232,2075
FSIS,182,319,374,127
GIPSA,1,75,74,2
NAD,6,2,0,8
NRCS,74,252,221,105
OBPA,0,23,23,0
OCFO,15,11,5,21
OGC,16,17,12,21
OIG,95,115,112,98
OSEC/OCIO/DM,25,235,225,35
RD,417,260,485,192
REE,4,127,122,9
RMA,17,95,97,15
Component,Number of Requests Pending as of Start of Fiscal Year,Number of Requests Received in Fiscal Year,Number of Requests Processed in Fiscal Year,Number of Requests Pending as of End of Fiscal Year
AMS,34,161,163,32
APHIS,337,993,798,532
ASCR,1,19,18,2
FAS,1,49,49,1
FNCS,25,334,309,50
FS,493,1939,1889,543
FSA,982,14814,14343,1453
FSIS,128,419,365,182
GIPSA,2,36,37,1
NAD,2,4,0,6
NRCS,162,300,388,74
OBPA,3,5,8,0
OCFO,11,20,16,15
OGC,15,29,27,17
OIG,73,137,115,95
OSEC/OCIO/DM,95,181,251,25
RD,470,248,301,417
REE,4,115,115,4
RMA,11,61,51,21
Component,Number of Requests Pending as of Start of Fiscal Year,Number of Requests Received in Fiscal Year,Number of Requests Processed in Fiscal Year,Number of Requests Pending as of End of Fiscal Year
AMS,30,152,153,29
APHIS,212,885,760,337
ASCR,2,23,24,1
FAS,4,37,40,1
FNCS,19,277,271,25
FS,407,2439,2353,493
FSA,479,17231,16728,982
FSIS,100,379,351,128
GIPSA,5,58,61,2
NAD,0,10,8,2
NRCS,54,327,219,162
OBPA,0,18,15,3
OCFO,2,30,21,11
OGC,13,30,27,16
OIG,22,127,76,73
OSEC/OCIO/DM,51,218,174,95
RD,393,190,113,470
REE,3,88,87,4
RMA,25,61,75,11
Component,Number of Requests Pending as of Start of Fiscal Year,Number of Requests Received in Fiscal Year,Number of Requests Processed in Fiscal Year,Number of Requests Pending as of End of Fiscal Year
AMS,16,147,133,30
APHIS,168,943,899,212
ASCR,2,27,27,2
DM,5,71,41,35
FAS,1,41,40,2
FNCS,35,241,255,21
FS,333,2309,2235,407
FSA,289,16848,16656,481
FSIS,218,308,426,100
GIPSA,0,54,50,4
NAD,0,14,14,0
NRCS,6,361,313,54
OBPA,0,11,11,0
OCFO,1,30,29,2
OGC,12,29,27,14
OIG,7,128,113,22
OSEC/OCIO,65,111,144,32
RD,181,303,91,393
REE,3,127,127,3
RMA,8,72,55,25
Component,Number of Requests Pending as of Start of Fiscal Year,Number of Requests Received in Fiscal Year,Number of Requests Processed in Fiscal Year,Number of Requests Pending as of End of Fiscal Year
AMS,11,121,116,16
APHIS,264,884,982,166
ASCR,0,69,67,2
DM,6,79,80,5
FAS,4,42,45,1
FNCS,22,252,239,35
FS,268,2450,2385,333
FSA,161,17076,16948,289
FSIS,299,294,375,218
GIPSA,4,46,49,1
NAD,1,8,8,1
NRCS,3,301,298,6
OBPA,0,16,16,0
OCFO,0,37,37,0
OGC,10,30,28,12
OIG,8,135,136,7
OSEC/OCIO,26,89,52,63
RD,107,859,785,181
REE,14,165,176,3
RMA,13,112,117,8
Component,Number of Requests Pending as of Start of Fiscal Year,Number of Requests Received in Fiscal Year,Number of Requests Processed in Fiscal Year,Number of Requests Pending as of End of Fiscal Year
AMS,15,126,126,15
APHIS,462,708,909,261
ASCR,2,5,7,0
DM,8,63,65,6
FAS,1,30,27,4
FNCS,6,177,161,22
FS,265,2771,2378,658
FSA,141,14267,14247,161
FSIS,160,387,248,299
GIPSA,4,77,77,4
NAD,0,10,10,0
NRCS,5,475,476,4
OBPA,0,13,13,0
OCFO,1,27,27,1
OGC,11,24,25,10
OIG,27,121,145,3
OSEC,18,83,75,26
RD,60,750,703,107
REE,6,144,136,14
RMA,10,110,107,13
Component,Number of Requests Pending as of Start of Fiscal Year,Number of Requests Received in Fiscal Year,Number of Requests Processed in Fiscal Year,Number of Requests Pending as of End of Fiscal Year
Component,Number of Requests Pending as of Start of Fiscal Year,Number of Requests Received in Fiscal Year,Number of Requests Processed in Fiscal Year,Number of Requests Pending as of End of Fiscal Year
