Component,Description,No. of Times Used,Total
OIG,N/A,0,0
OIG,N/A,0,0
OIG,Transferred within DOT,3,3
OIG,N/A,0,0
OIG,Verification of Identity Not Provided,7,8
OIG,Requester Address Not Provided Upon Request,1,8
OIG,Unable to locate requester,2,2
OIG,Not applicable.,0,0
OIG,Records located were not responsive to the request,3,3
OIG,No response to still interested letter.,18,20
OIG,Administrative Closures,2,20
OIG,N/A,0,0
OIG,N/A,0,0
FOIA Office,Requests referred to Office of Communications for processing.,4,4
OIG,N/A,0,0
OIG,Glomarization,13,20
OIG,No authorization to release records,7,20
OIG,N/A,0,0
Total,0,60,108
