Component,No Records,All Records Referred,Request Withdrawn,Fee-Related Reason,Not Reasonably Described,Improper FOIA request,Not Agency Record,Duplicate Request,Request in Litigation,Appeal Based Solely on Denial for Expedited Processing,Other,
AF,24,3,17,1,1,4,0,16,1,0,33,
ARMY,34,6,0,3,3,4,0,3,2,0,3,
DCMA,0,0,3,0,0,0,0,0,0,0,0,
DFAS,0,0,1,0,0,0,0,0,0,0,0,
DIA,29,0,1,0,0,1,0,1,0,4,5,
DISA,1,0,0,0,0,0,0,0,0,0,0,
DLA,1,0,2,0,0,0,0,1,0,0,0,
DoD IG,1,0,4,1,0,0,0,0,1,2,0,
NAVY,43,9,9,11,0,11,0,2,4,2,111,
NGA,0,0,1,0,0,0,0,0,0,0,0,
NRO,4,0,0,0,0,0,0,0,0,0,0,
NSA,3,0,0,1,0,0,0,0,0,1,4,
OSD/JS,4,3,15,1,0,1,1,4,0,1,17,
Total,144,21,53,18,4,21,1,27,8,10,173,
