Component,Description,No. of Times Used,Total
OIG,N/A,0,0
OIG,N/A,0,0
OIG,Transferred within DOT,3,3
OIG,N/A,0,0
OS,N/A,0,0
OIG,Requester Address Not Provided Upon Request,1,8
OIG,Verification of Identity Not Provided,7,8
OIG,Unable to locate requester,2,2
OIG,Not applicable.,0,0
OS,Request administratively closed.,70,70
OIG,Records located were not responsive to the request,3,3
ACF,N/A,0,0
AOA,N/A,0,0
CMS,Admistrative Closure - Based on Response and Non-Response to continued interest call and correspondence.,1029,1029
OIG,No response to still interested letter.,18,20
OIG,Administrative Closures,2,20
AHRQ,"Referrals to other areas, State and private organizations.",5,5
CDC,No response to still interested letter.,14,14
FDA,Available on internet,271,271
HRSA,N/A,0,0
IHS,No response to still interested letter.,25,25
NIH,N/A,0,0
SAMHSA,N/A,0,0
OS,Admistrative Closure - Based on Response and Non-Response to continued interest call and correspondence.,310,310
OIG,N/A,0,0
OIG,N/A,0,0
OIG,N/A,0,0
OIG,Glomarization,13,20
OIG,No authorization to release records,7,20
OIG,N/A,0,0
OASH,No response to still interested letter.,21,21
Total,0,1801,1849
