Component,Processing Costs,Litigation-Related Costs,Total Costs,Collected Amount,Collected Percentage,
FSA,180352,0,180352,1509.64,0.84%,
IES,26150,0,26150,67.81,0.26%,
IES-NAGB,820,0,820,0,0.0%,
OCFO,13250,0,13250,0,0.0%,
OCFO-CAM,54823,0,54823,192.84,0.35%,
OCIO,10285,0,10285,0,0.0%,
OCO,1825,0,1825,0,0.0%,
OCR,159612,0,159612,0,0.0%,
OCR-1 Boston,107500,0,107500,6.3,0.01%,
OCR-2 New York,4250,0,4250,18.01,0.42%,
OCR-3 Philadelphia,10580,0,10580,237.6,2.25%,
OCR-4 Atlanta,15230,0,15230,39.6,0.26%,
OCR-5 Chicago,158954,0,158954,596.8,0.38%,
OCR-6 Dallas,12358,0,12358,65.8,0.53%,
OCR-7 Kansas City,13210,0,13210,18.8,0.14%,
OCR-8 Denver,19580,0,19580,0,0.0%,
OCR-9 San Francisco,12045,0,12045,0,0.0%,
OCR-10 Seattle,13799.74,0,13799.74,0,0.0%,
OCR-12 Cleveland,6859,0,6859,0,0.0%,
OCR-Metro D.C.,10280,0,10280,0,0.0%,
OELA,820,0,820,0,0.0%,
OESE,7850,0,7850,38.11,0.49%,
OGC,115280,199175,314455,0,0.0%,
OIG,121280,0,121280,0,0.0%,
OII,27150,0,27150,0,0.0%,
OLCA,780,0,780,0,0.0%,
OM,9530,0,9530,0,0.0%,
OM-PIRMS,960793,72317,1033110,551.51,0.06%,
OPE,12185,0,12185,283.17,2.32%,
OPEPD,12170,0,12170,0,0.0%,
OS,5980,0,5980,0,0.0%,
OSDFS,4825,0,4825,58.33,1.21%,
OSERS,54320,0,54320,137.05,0.25%,
OUS,12055,0,12055,0,0.0%,
OVAE,872,0,872,19.49,2.24%,
Total,2177653,271492,2449145,3841,N/A,
