Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,
ADJ BDS,0,0,0,0,0,0,0,0,0,0,0,1,0,1,
ALJ,165,3,0,0,0,0,0,0,0,0,0,0,0,168,
ASP,5,3,2,0,1,0,0,1,1,0,0,1,15,29,
BLS,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
CFO,11,3,3,0,0,1,0,0,0,0,1,0,1,20,
EBSA,224,62,6,1,2,1,0,0,0,1,1,1,0,299,
ETA,545,180,36,10,4,2,3,0,3,0,0,0,1,784,
EXEC SEC,2,2,0,0,0,0,0,0,0,0,0,0,0,4,
ILAB,12,2,2,1,0,0,0,0,0,0,0,0,0,17,
MSHA,1577,353,104,60,31,31,14,14,6,6,14,10,1,2221,
OASAM,86,101,42,25,20,11,11,5,3,4,1,4,0,313,
OCIA,5,8,8,1,0,0,1,0,0,0,0,0,0,23,
ODEP,0,0,0,0,0,0,1,0,0,0,0,0,0,1,
OFCCP,125,68,35,18,5,4,4,1,1,1,1,1,1,265,
OIG,6,4,0,4,0,0,1,1,0,0,2,0,2,20,
OLMS,55,13,0,4,0,3,1,0,0,0,0,0,0,76,
OPA,0,0,0,0,0,0,0,0,0,0,0,0,1,1,
OSEC,9,9,2,4,6,7,3,5,2,0,1,1,0,49,
OSHA,2792,417,116,75,42,43,25,12,6,18,25,3,1,3575,
OWCP,169,72,30,13,11,3,2,5,4,1,4,2,2,318,
SOL,11,17,7,5,6,4,3,3,0,0,2,4,10,72,
VETS,63,5,4,0,0,1,0,0,1,0,3,3,3,83,
WB,1,3,2,2,0,0,1,0,0,0,0,0,0,9,
WHD,284,195,105,45,40,15,8,6,6,5,14,3,2,728,
Total,6147,1520,504,269,168,126,78,53,33,36,69,34,40,9077,
