Component,,10th,9th,8th,7th,6th,5th,4th,3rd,2nd,Oldest Request
FSA,Date of Receipt,2011-07-01,2011-06-16,2011-05-12,2011-05-11,2011-04-08,2011-03-01,2011-02-28,2011-01-25,2010-12-06,2010-11-29
FSA,Number of Days Pending,66,77,102,103,126,154,155,179,215,220
IES,Date of Receipt,,,,,,,2011-09-14,2011-08-09,2011-08-05,2011-01-18
IES,Number of Days Pending,,,,,,,13,39,41,184
OCFO,Date of Receipt,,,,,,,,2011-09-14,2011-07-14,2011-04-25
OCFO,Number of Days Pending,,,,,,,,13,57,115
OCFO-CAM,Date of Receipt,,,,,,,,,,2011-07-12
OCFO-CAM,Number of Days Pending,,,,,,,,,,59
OCO,Date of Receipt,2011-08-15,2011-08-09,2010-12-28,2010-11-22,2010-11-16,2010-09-21,2010-02-03,2010-01-19,2009-09-08,2009-07-09
OCO,Number of Days Pending,35,39,199,225,229,269,433,444,539,582
OCR,Date of Receipt,,,,,2011-09-29,2011-09-26,2011-09-16,2011-09-06,2011-08-18,2011-03-25
OCR,Number of Days Pending,,,,,2,5,11,19,32,136
OCR-1 Boston,Date of Receipt,2011-04-18,2011-03-22,2011-03-07,2011-02-01,2011-01-26,2010-05-06,2010-04-30,2009-12-15,2009-11-18,2009-11-18
OCR-1 Boston,Number of Days Pending,120,139,150,174,178,367,371,469,488,488
OCR-2 New York,Date of Receipt,2011-06-02,2011-03-22,2011-03-07,2011-02-23,2011-01-13,2011-01-10,2011-01-05,2010-11-05,2010-07-12,2009-08-11
OCR-2 New York,Number of Days Pending,87,139,150,158,187,190,193,236,320,559
OCR-3 Philadelphia,Date of Receipt,,,,,2011-09-20,2011-09-13,2011-09-12,2011-09-12,2011-09-08,2010-12-21
OCR-3 Philadelphia,Number of Days Pending,,,,,9,14,15,15,17,204
OCR-4 Atlanta,Date of Receipt,,,,,2011-09-23,2011-09-22,2011-09-22,2011-09-16,2011-09-07,2011-08-31
OCR-4 Atlanta,Number of Days Pending,,,,,6,7,7,11,18,23
OCR-5 Chicago,Date of Receipt,,2011-09-30,2011-09-29,2011-09-28,2011-09-28,2011-09-28,2011-09-23,2011-09-20,2011-09-19,2011-09-06
OCR-5 Chicago,Number of Days Pending,,1,2,3,3,3,6,9,10,19
OCR-6 Dallas,Date of Receipt,,,,,2011-09-27,2011-09-26,2011-09-20,2011-09-13,2011-09-13,2011-09-07
OCR-6 Dallas,Number of Days Pending,,,,,4,5,9,14,14,18
OCR-7 Kansas City,Date of Receipt,,,,,,2011-09-26,2011-09-21,2011-09-16,2011-09-16,2011-09-01
OCR-7 Kansas City,Number of Days Pending,,,,,,5,8,11,11,22
OCR-8 Denver,Date of Receipt,,,,,,,2011-09-29,2011-09-14,2011-09-08,2011-08-29
OCR-8 Denver,Number of Days Pending,,,,,,,2,13,17,25
OCR-9 San Francisco,Date of Receipt,,,,,,,,2011-09-28,2011-09-19,2011-08-23
OCR-9 San Francisco,Number of Days Pending,,,,,,,,3,10,29
OCR-10 Seattle,Date of Receipt,,,,,,,,,,2011-09-23
OCR-10 Seattle,Number of Days Pending,,,,,,,,,,6
OCR-Metro D.C.,Date of Receipt,2011-08-24,2011-08-16,2011-08-02,2011-07-28,2011-06-02,2011-04-18,2011-04-11,2011-03-03,2011-01-05,2010-10-27
OCR-Metro D.C.,Number of Days Pending,28,34,44,47,87,120,125,152,193,243
OELA,Date of Receipt,,,,,,,2011-09-29,2011-08-30,2011-08-30,2010-08-20
OELA,Number of Days Pending,,,,,,,2,24,24,291
OESE,Date of Receipt,,,,2011-09-20,2011-09-15,2011-09-07,2011-07-26,2011-07-13,2011-03-14,2010-12-06
OESE,Number of Days Pending,,,,9,12,18,49,58,145,215
OGC,Date of Receipt,2011-04-29,2011-04-18,2011-03-30,2011-02-15,2010-12-01,2010-11-02,2010-11-01,2010-02-24,2009-07-30,2008-12-17
OGC,Number of Days Pending,111,120,133,164,218,239,240,418,567,728
OIG,Date of Receipt,,,,2011-09-23,2011-09-09,2011-06-16,2011-05-11,2011-04-21,2011-04-19,2011-04-13
OIG,Number of Days Pending,,,,6,16,77,103,117,119,123
OII,Date of Receipt,,,,,,2011-09-15,2011-09-02,2011-08-03,2011-07-28,2011-04-26
OII,Number of Days Pending,,,,,,12,21,43,47,114
OLCA,Date of Receipt,,,,,,2011-09-15,2011-09-15,2011-07-06,2011-05-23,2011-03-01
OLCA,Number of Days Pending,,,,,,12,12,63,95,154
