Component,Number Affirmed on Appeal,Number Partially Affirmed & Partially Reserved/Remanded on Appeal,Number Completely Reserved/Remanded on Appeal,Number of Appeals Closed for Other Reasons,Total,
ADJ BDS,0,0,0,0,0,
ALJ,0,0,0,2,2,
ASP,0,0,0,0,0,
BLS,0,0,0,0,0,
CFO,0,0,0,0,0,
EBSA,0,1,1,8,10,
ETA,0,0,0,57,57,
EXEC SEC,0,0,0,0,0,
ILAB,0,0,0,0,0,
MSHA,2,5,1,16,24,
OASAM,1,0,1,9,11,
OCIA,0,0,0,0,0,
ODEP,0,0,0,0,0,
OFCCP,1,1,0,6,8,
OIG,0,0,0,0,0,
OLMS,1,2,0,10,13,
OPA,0,0,0,0,0,
OSEC,0,0,0,0,0,
OSHA,9,67,3,83,162,
OWCP,0,3,0,52,55,
SOL,0,0,0,2,2,
VETS,0,5,0,4,9,
WB,0,0,0,0,0,
WHD,3,5,0,32,40,
Total,17,89,6,281,393,
