Component,Ex. 1,Ex. 2,Ex. 3,Ex. 4,Ex. 5,Ex. 6,Ex. 7(A),Ex. 7(B),Ex. 7(C),Ex. 7(D),Ex. 7(E),Ex. 7(F),Ex. 8,Ex. 9,
ATLANTA,0,0,7,0,443,3,28,0,117,7,0,0,0,0,
BIRMINGHAM,0,0,664,0,968,0,38,0,889,0,0,0,0,0,
CHARLOTTE,0,1,31,0,1077,0,4,0,497,4,0,0,0,0,
CHICAGO,0,0,125,6,567,103,50,27,324,1,0,0,0,0,
DALLAS,0,1,487,6,1369,86,76,0,868,21,1,0,0,0,
HOUSTON,0,0,56,0,845,67,39,4,224,6,0,0,0,0,
INDIANAPOLIS,0,0,201,2,1789,677,447,3,719,21,0,0,0,0,
LOS ANGELES,0,0,336,0,312,300,93,0,3,0,0,0,0,0,
MEMPHIS,0,0,226,0,569,415,188,0,417,7,0,0,0,0,
MIAMI,0,0,612,0,927,280,223,0,617,23,0,0,0,0,
NEW YORK,0,0,218,1,337,28,64,0,167,0,0,0,0,0,
OLC/HDQ,0,1,279,3,16,43,2,0,109,0,3,0,0,0,
PHILADELPHIA,0,0,268,2,830,67,64,0,494,1,0,0,0,0,
PHOENIX,0,0,300,7,427,302,293,0,369,3,0,0,0,0,
SAN FRANCISCO,0,0,134,5,439,292,107,0,336,5,0,0,0,0,
ST. LOUIS,0,0,63,0,803,51,146,0,107,4,0,0,0,0,
WFO,0,0,30,0,100,0,22,0,52,0,0,0,0,0,
Total,0,3,4037,32,11818,2714,1884,34,6309,103,4,0,0,0,
