Component,Number of 'Full Time FOIA Employees',Number of 'Equivalent Full-Time FOIA Employees',Total Number of 'Full-Time FOIA Staff',
ATLANTA,1,0.66,1.66,
BIRMINGHAM,1,0,1,
CHARLOTTE,1,0,1,
CHICAGO,1,0.09,1.09,
DALLAS,2,1.02,3.02,
HOUSTON,2,0.83,2.83,
INDIANAPOLIS,3,0.53,3.53,
LOS ANGELES,1,0.78,1.78,
MEMPHIS,1,0.64,1.64,
MIAMI,4,0.25,4.25,
NEW YORK,1,0,1,
OLC/HDQ,6,1.057,7.057,
PHILADELPHIA,3,0,3,
PHOENIX,1,0,1,
SAN FRANCISCO,1,0.2,1.2,
ST. LOUIS,1,0,1,
WFO,1,0,1,
Total,31,6,37,
