Component,Number of Requests Pending as of Start of Fiscal Year,Number of Requests Received in Fiscal Year,Number of Requests Processed in Fiscal Year,Number of Requests Pending as of End of Fiscal Year,
ACF,317,296,416,197,
AOA,0,16,16,0,
CMS,5233,52116,53328,4021,
OIG,18,729,737,10,
AHRQ,7,77,81,3,
CDC,323,1128,1088,363,
FDA,4691,9301,10602,3390,
HRSA,31,332,330,33,
IHS,35,100,104,31,
NIH,85,1198,1204,79,
SAMHSA,154,166,152,168,
OS,560,1396,1592,364,
OASH,158,576,529,205,
Total,11612,67431,70179,8864,
