Component,Number Granted,Number Denied,Median Number of Days to Adjudicate,Average Number of Days to Adjudicate,
FSA,8,3,0,0,
IES,0,1,6,6,
IES-NAGB,0,0,0,0,
OCFO,1,1,8.5,8,
OCFO-CAM,1,0,8,8,
OCIO,0,1,4,4,
OCO,0,0,0,0,
OCR,0,1,0,0,
OCR-1 Boston,0,1,0,0,
OCR-2 New York,0,0,0,0,
OCR-3 Philadelphia,0,0,0,0,
OCR-4 Atlanta,0,0,0,0,
OCR-5 Chicago,0,1,0,0,
OCR-6 Dallas,0,0,0,0,
OCR-7 Kansas City,1,0,0,0,
OCR-8 Denver,0,0,0,0,
OCR-9 San Francisco,0,0,0,0,
OCR-10 Seattle,0,0,0,0,
OCR-12 Cleveland,0,1,0,0,
OCR-Metro D.C.,0,0,0,0,
OELA,0,0,0,0,
OESE,2,1,0,1,
OGC,0,0,0,0,
OIG,0,0,0,0,
OII,2,1,4,2,
OLCA,0,0,0,0,
OM,2,1,6,6,
OM-PIRMS,11,5,1.5,5,
OPE,0,1,5,5,
OPEPD,0,1,15,15,
OS,0,0,0,0,
OSDFS,2,11,5,5,
OSERS,1,4,3,4,
OUS,0,0,0,0,
OVAE,0,0,0,0,
Total,31,35,N/A,N/A,
