Component,NUMBER OF REQUESTS RECEIVED,NUMBER OF REQUESTS RECEIVED,NUMBER OF REQUESTS PROCESSED,NUMBER OF REQUESTS PROCESSED
,Number of Received During Fiscal Year From Last Year's Annual Report,Number of Received During Fiscal Year From Current Annual Report,Number of Processed During Fiscal Year From Last Year's Annual Report,Number of Processed During Fiscal Year From Current Annual Report,
BIA,1378,1385,1412,1383,
BLM,1098,1061,1048,1040,
BOEMRE,421,229,308,280,
BOR,274,277,271,278,
FWS,1242,1192,1196,1188,
NPS,912,858,899,835,
OIG,98,56,175,154,
OS,445,472,441,480,
OSM,43,69,41,61,
SOL,66,50,78,42,
USGS,170,160,157,168,
Total,6147,5809,6026,5909,
