Component,,10th,9th,8th,7th,6th,5th,4th,3rd,2nd,Oldest Request
ADJ BDS,Date of Receipt,,,,,,,,,,2009-09-16
ADJ BDS,Number of Days Pending,,,,,,,,,,10
ALJ,Date of Receipt,,,,,,,,,,2009-08-26
ALJ,Number of Days Pending,,,,,,,,,,25
BLS,Date of Receipt,,,,,,,,,2009-06-09,2009-05-21
BLS,Number of Days Pending,,,,,,,,,115,134
EBSA,Date of Receipt,2009-06-15,2009-06-15,2009-06-15,2009-06-08,2009-06-08,2009-06-08,2009-05-12,2009-05-01,2009-04-17,2009-04-16
EBSA,Number of Days Pending,74,74,74,79,79,79,97,104,114,115
ESA,Date of Receipt,2009-05-07,2009-05-06,2009-05-05,2009-05-05,2009-03-25,2009-03-14,2009-03-14,2009-02-19,2008-12-07,2008-11-18
ESA,Number of Days Pending,105,106,107,107,136,155,155,168,214,227
ESA - OFCCP,Date of Receipt,2009-09-04,2009-08-24,2009-07-13,2009-06-26,2009-06-26,2009-06-26,2009-06-26,2009-06-26,2009-05-08,2009-05-05
ESA - OFCCP,Number of Days Pending,18,27,57,67,67,67,67,67,92,98
ESA - OLMS,Date of Receipt,,,,,,,,2009-06-19,2009-03-14,2009-03-14
ESA - OLMS,Number of Days Pending,,,,,,,,78,115,155
ESA - OWCP,Date of Receipt,2009-09-22,2009-09-22,2009-09-21,2009-09-21,2009-09-14,2009-09-14,2009-09-14,2009-09-14,2009-09-09,2009-09-09
ESA - OWCP,Number of Days Pending,6,6,7,7,12,12,12,12,15,15
ESA - WHD,Date of Receipt,2009-06-01,2009-05-27,2009-05-18,2009-05-07,2009-05-06,2009-05-05,2009-03-25,2009-02-19,2008-12-07,2008-11-18
ESA - WHD,Number of Days Pending,88,91,98,105,106,107,136,168,214,227
ETA,Date of Receipt,2009-03-09,2009-02-23,2009-02-03,2008-12-01,2008-12-01,2008-11-21,2008-09-12,2008-08-11,2008-07-01,2008-01-24
ETA,Number of Days Pending,145,146,168,205,205,215,263,286,310,424
MSHA,Date of Receipt,2009-01-23,2008-12-29,2008-08-28,2008-08-07,2008-08-04,2008-03-24,2008-02-08,2007-10-22,2007-09-25,2007-08-13
MSHA,Number of Days Pending,157,176,264,279,291,384,412,488,500,536
OASAM,Date of Receipt,2009-05-19,2009-05-18,2009-05-12,2009-04-15,2009-04-06,2009-03-26,2008-09-15,2008-08-11,2008-07-07,2008-02-26
OASAM,Number of Days Pending,119,128,139,157,164,172,295,336,361,456
OIG,Date of Receipt,2009-09-01,2009-08-25,2009-08-24,2009-08-03,2009-07-07,2009-07-07,2009-06-18,2009-06-05,2009-05-28,2009-04-27
OIG,Number of Days Pending,20,25,26,41,60,60,72,81,87,109
OSHA,Date of Receipt,2008-10-23,2008-10-22,2008-10-22,2008-10-16,2008-10-15,2008-10-14,2008-10-06,2008-10-03,2008-10-02,2008-10-02
OSHA,Number of Days Pending,236,237,237,240,241,242,247,248,249,249
SOL,Date of Receipt,2009-02-06,2009-01-23,2009-01-23,2009-01-13,2009-01-08,2008-11-14,2008-10-29,2008-09-04,2007-09-11,2007-07-05
SOL,Number of Days Pending,165,170,170,175,181,220,231,267,510,562
VETS,Date of Receipt,,,,,,,,2009-09-21,2009-09-15,2009-09-15
VETS,Number of Days Pending,,,,,,,,9,11,11
