Component,Number of Requests Pending as of Start of Fiscal Year,Number of Requests Received in Fiscal Year,Number of Requests Processed in Fiscal Year,Number of Requests Pending as of End of Fiscal Year,
ADJ BDS,2,23,24,1,
ALJ,6,120,125,1,
ASP,1,2,3,0,
BLS,0,25,23,2,
CFO,0,12,12,0,
EBSA,20,2400,2319,101,
ESA - OFCCP,19,349,341,27,
ESA - OLMS,8,112,117,3,
ESA - OMAP,0,3,3,0,
ESA - OWCP,26,623,629,20,
ESA - WHD,159,1340,1328,171,
ETA,62,1212,1194,80,
ILAB,1,14,15,0,
JOB CORP,0,49,49,0,
MSHA,84,1620,1571,133,
OASAM,27,259,225,61,
OCIA,0,0,0,0,
ODEP,0,0,0,0,
OIG,0,82,66,16,
OPA,0,4,4,0,
OSBP,2,0,2,0,
OSHA,726,8328,8618,436,
SOL,3,25,18,10,
VETS,3,116,116,3,
WB,0,8,8,0,
Total,1149,16726,16810,1065,
