Component,No Records,All Records Referred,Request Withdrawn,Fee-Related Reason,Not Reasonably Described,Improper FOIA request,Not Agency Record,Duplicate Request,Request in Litigation,Appeal Based Solely on Denial for Expedited Processing,Other,
BEP,0,0,0,0,0,0,0,0,0,0,1,
BPD,2,0,0,0,0,0,0,0,0,0,0,
DO,0,0,0,0,0,0,0,0,0,0,1,
FMS,6,1,0,0,0,0,0,0,0,0,0,
IRS,37,0,0,8,2,13,0,1,0,0,40,
MINT,2,0,1,0,0,0,0,0,0,0,0,
OCC,0,0,0,0,0,0,0,0,0,0,6,
OTS,2,0,0,0,0,0,0,0,0,0,1,
TTB,2,0,0,1,0,0,0,0,0,0,0,
Total,51,1,1,9,2,13,0,1,0,0,49,
