Component,Number of consultations Received from Other Agencies that Were Pending at Your Agency as of Start of the Fiscal Year,Number of consultations Received from Other Agencies During the Fiscal Year,Number of consultations Received from Other Agencies that Were Processed by Your Agency During the Fiscal Year,Number of consultations Received from Other Agencies that Were Pending at Your Agency as of End of the Fiscal Year,
FAA,0,2,1,1,
FHWA,0,1,1,0,
FMCSA,0,0,0,0,
FRA,0,0,0,0,
FTA,0,0,0,0,
MARAD,0,0,0,0,
NHTSA,0,0,0,0,
OIG,0,0,0,0,
OST,1,4,5,0,
PHMSA,0,0,0,0,
RITA,0,0,0,0,
SLSDC,0,0,0,0,
Total,1,7,7,1,
