Component,Processing Costs,Litigation-Related Costs,Total Costs,Collected Amount,Collected Percentage,
HQ,3358240,417000,3775240,92799.3,2.76%,
Region 1,590750,0,590750,11676,1.98%,
Region 2,1876500,0,1876500,32616.4,1.74%,
Region 3,1665220,0,1665220,21792.699999999997,1.31%,
Region 4,1677730,110036.32,1787766.32,15020.5,0.9%,
Region 5,2404700,0,2404700,33889.5,1.41%,
Region 6,2085000,0,2085000,26226.4,1.26%,
Region 7,407704.4,0,407704.4,45771.6,11.23%,
Region 8,393370,0,393370,11222,2.85%,
Region 9,278000,0,278000,16801.1,6.04%,
Region 10,278000,0,278000,20499.3,7.37%,
Total,15015214,527036,15542251,328315,N/A,
