Component,Simple,Complex,Expedited,Number Pending,Median No. of Days,Average No. of Days,Number Pending,Median No. of Days,Average No. of Days,Number Pending,Median No. of Days,Average No. of Days
Total,0,0,0,0,0,0,0,0,0
Total,0,0,0,0,0,0,0,0,0
Total,0,0,0,0,0,0,0,0,0
Total,0,0,0,0,0,0,0,0,0
Total,0,0,0,0,0,0,0,0,0
Total,0,0,0,0,0,0,0,0,0
Total,0,0,0,0,0,0,0,0,0
Total,0,0,0,0,0,0,0,0,0
Total,0,0,0,0,0,0,0,0,0
Total,0,0,0,0,0,0,0,0,0
Total,0,0,0,0,0,0,0,0,0
Total,0,0,0,0,0,0,0,0,0
Total,0,0,0,0,0,0,0,0,0
Total,0,0,0,0,0,0,0,0,0
Total,0,0,0,0,0,0,0,0,0
Total,0,0,0,0,0,0,0,0,0
Total,0,0,0,0,0,0,0,0,0
Total,0,0,0,0,0,0,0,0,0
Total,0,0,0,0,0,0,0,0,0
Total,0,0,0,0,0,0,0,0,0
Total,0,0,0,0,0,0,0,0,0
Total,0,0,0,0,0,0,0,0,0
Total,0,0,0,0,0,0,0,0,0
Total,0,0,0,0,0,0,0,0,0
Total,0,0,0,0,0,0,0,0,0
Total,0,0,0,0,0,0,0,0,0
Total,0,0,0,0,0,0,0,0,0
Total,0,0,0,0,0,0,0,0,0
Total,0,0,0,0,0,0,0,0,0
Total,0,0,0,0,0,0,0,0,0
Total,0,0,0,0,0,0,0,0,0
Total,0,0,0,0,0,0,0,0,0
Total,0,0,0,0,0,0,0,0,0
