Component,,10th,9th,8th,7th,6th,5th,4th,3rd,2nd,Oldest Request
BPA,Date of Receipt,,,,,,,,,2009-08-21,2009-05-28
BPA,Number of Days Pending,,,,,,,,,27,87
CH,Date of Receipt,,,,,,2009-09-29,2009-09-29,2009-09-28,2009-09-28,2009-09-01
CH,Number of Days Pending,,,,,,1,1,2,9,18
EMCBC,Date of Receipt,,,,2009-09-25,2009-09-24,2009-09-08,2009-08-31,2009-06-25,2009-05-11,2009-03-19
EMCBC,Number of Days Pending,,,,3,4,16,21,67,99,136
GFO,Date of Receipt,2009-09-15,2009-09-15,2009-09-09,2009-09-01,2009-09-01,2009-08-25,2009-08-21,2009-08-20,2009-08-17,2009-07-24
GFO,Number of Days Pending,11,12,15,20,20,25,27,28,31,47
HQ,Date of Receipt,2006-02-23,2005-12-27,2005-08-05,2005-08-05,2005-02-03,2004-12-15,2004-10-07,2003-06-18,2003-03-12,2001-02-14
HQ,Number of Days Pending,939,981,1083,1083,1214,1250,1299,1640,1710,2250
ID,Date of Receipt,,,,,,,,,,2009-09-07
ID,Number of Days Pending,,,,,,,,,,16
NETL,Date of Receipt,,2009-09-23,2009-09-04,2009-09-04,2009-09-02,2009-08-24,2009-08-24,2009-08-19,2009-08-19,2009-08-18
NETL,Number of Days Pending,,5,17,17,19,26,26,29,29,30
NNSA/AL,Date of Receipt,2007-03-05,2007-02-15,2007-02-12,2006-11-08,2006-10-19,2006-06-06,2006-04-18,2006-02-06,2001-03-05,2000-02-07
NNSA/AL,Number of Days Pending,646,660,663,726,740,834,868,918,2231,2479
ORO,Date of Receipt,2009-08-18,2009-08-06,2009-04-01,2009-03-25,2009-02-02,2009-01-22,2009-01-07,2009-01-07,2008-12-11,2008-12-08
ORO,Number of Days Pending,32,37,127,131,170,177,187,187,201,204
OSTI,Date of Receipt,,,,,,,,,,2009-07-01
OSTI,Number of Days Pending,,,,,,,,,,63
RL,Date of Receipt,,,,,,,,,,2009-07-15
RL,Number of Days Pending,,,,,,,,,,0
SROO,Date of Receipt,,,,,,2009-09-29,2009-09-29,2009-09-29,2009-09-29,2009-09-21
SROO,Number of Days Pending,,,,,,1,1,1,1,7
WAPA,Date of Receipt,,,,,,,,,,2009-09-23
WAPA,Number of Days Pending,,,,,,,,,,5
