Component,No. of Full Grants,No. of Full Denials,Number of Full Denials Based on Reasons Other than Exemptions - No Records,Number of Full Denials Based on Reasons Other than Exemptions - All Records Referred,Number of Full Denials Based on Reasons Other than Exemptions - Request Withdrawn,Number of Full Denials Based on Reasons Other than Exemptions - Fee-Related Reason,Number of Full Denials Based on Reasons Other than Exemptions - Not Reasonably Described,Number of Full Denials Based on Reasons Other than Exemptions - Improper FOIA Request,Number of Full Denials Based on Reasons Other than Exemptions - Not Agency Record,Number of Full Denials Based on Reasons Other than Exemptions - Duplicate Request,Number of Full Denials Based on Reasons Other than Exemptions - Other,Total,
FAA,5839,1523,62,1181,2,413,24,5,26,13,0,0,9088
FHWA,163,81,4,54,27,17,10,1,2,2,7,0,368
FMCSA,341,792,2,129,0,218,1,13,0,13,29,0,1538
FRA,130,57,13,101,3,31,0,6,0,5,9,0,355
FTA,99,89,7,76,0,1,0,0,0,1,0,0,273
MARAD,48,30,0,34,0,6,1,3,0,2,0,0,124
NHTSA,61,65,30,44,0,14,8,7,1,2,12,5,249
OIG,15,43,10,39,0,2,0,0,0,0,2,8,119
OST,109,106,6,71,0,8,0,0,0,2,3,73,378
PHMSA,68,27,3,38,0,7,8,0,0,1,5,2,159
RITA,0,0,0,0,0,0,0,0,0,0,0,2,2
SLSDC,10,1,0,17,0,0,0,0,0,0,0,0,28
Total,6883,2814,137,1784,32,717,52,35,29,41,67,90,12681
