Component,No. of Full Grants,No. of Full Denials,Number of Full Denials Based on Reasons Other than Exemptions - No Records,Number of Full Denials Based on Reasons Other than Exemptions - All Records Referred,Number of Full Denials Based on Reasons Other than Exemptions - Request Withdrawn,Number of Full Denials Based on Reasons Other than Exemptions - Fee-Related Reason,Number of Full Denials Based on Reasons Other than Exemptions - Not Reasonably Described,Number of Full Denials Based on Reasons Other than Exemptions - Improper FOIA Request,Number of Full Denials Based on Reasons Other than Exemptions - Not Agency Record,Number of Full Denials Based on Reasons Other than Exemptions - Duplicate Request,Number of Full Denials Based on Reasons Other than Exemptions - Other,Total,
BIS,19,13,10,8,1,1,6,0,0,0,0,0,58
Census,19,36,58,16,21,8,6,2,4,1,0,25,196
EDA,16,12,0,26,1,8,0,0,0,1,0,0,64
ESA,2,2,0,5,0,0,0,0,0,0,0,0,9
ITA,44,11,3,20,0,5,25,1,1,0,0,1,111
MBDA,28,0,0,0,0,0,0,0,0,0,0,0,28
NIST,23,13,1,9,3,6,9,2,0,102,0,8,176
NOAA,358,91,10,34,5,28,28,0,2,0,14,6,576
NTIA,3,0,0,2,0,0,2,0,0,0,0,0,7
NTIS,6,1,0,4,0,0,0,0,0,0,0,5,16
OIG,3,13,4,2,3,20,0,0,0,0,0,1,46
OS,45,37,4,98,14,6,9,7,0,0,0,3,223
PTO,88,109,20,51,6,6,30,3,61,1,0,0,375
Total,654,338,110,275,54,88,115,15,68,105,14,49,1885
