Component,No. of Full Grants,No. of Partial Grants/ Partial Denials,No. of Full Denials Based on Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Number of Full Denials Based on Reasons Other than Exemptions,Total
,,,,No Records,All Records Referred,Request Withdrawn,Fee-Related Reason,Not Reasonably Described,Improper FOIA request,Not Agency Record,Duplicate Request,Other
HQ,127,115,14,86,333,115,13,10,23,9,36,0,881
OIG,6,51,30,19,16,3,0,3,5,1,1,0,135
R01,35,5,4,7,3,9,0,0,1,0,0,0,64
R02,34,11,4,37,5,4,0,0,0,0,2,0,97
R03,69,41,5,18,13,17,1,0,7,2,1,0,174
R04,102,42,15,38,8,14,10,2,4,1,6,0,242
R05,39,23,5,34,10,4,1,0,3,0,1,0,120
R06,61,17,2,13,5,17,2,0,4,0,0,0,121
R07,10,4,1,6,4,2,1,2,3,1,1,0,35
R08,45,11,3,35,1,11,2,0,3,0,0,0,111
R09,70,35,10,29,7,20,1,0,4,0,2,0,178
R0X,12,35,2,8,2,2,3,0,1,0,1,0,66
Total,610,390,95,330,407,218,34,17,58,14,51,0,2224
