Component,No. of Full Grants,No. of Full Denials,Number of Full Denials Based on Reasons Other than Exemptions - No Records,Number of Full Denials Based on Reasons Other than Exemptions - All Records Referred,Number of Full Denials Based on Reasons Other than Exemptions - Request Withdrawn,Number of Full Denials Based on Reasons Other than Exemptions - Fee-Related Reason,Number of Full Denials Based on Reasons Other than Exemptions - Not Reasonably Described,Number of Full Denials Based on Reasons Other than Exemptions - Improper FOIA Request,Number of Full Denials Based on Reasons Other than Exemptions - Not Agency Record,Number of Full Denials Based on Reasons Other than Exemptions - Duplicate Request,Number of Full Denials Based on Reasons Other than Exemptions - Other,Total,
FSIP,0,0,0,0,0,0,0,0,0,0,0,0,0
Authority,23,8,0,22,0,0,2,3,0,0,2,0,60
IG,2,0,0,1,0,0,0,0,0,0,0,0,3
OGC,0,0,0,0,0,0,0,0,0,0,0,0,0
ATRO,3,2,1,0,0,0,0,0,0,0,0,0,6
BORO,4,2,0,0,0,0,0,0,0,0,0,0,6
CHRO,0,0,0,0,0,0,0,0,0,0,0,0,0
DARO,3,3,0,0,0,0,0,0,0,0,0,0,6
DERO,0,0,0,0,0,0,0,0,0,0,0,0,0
SFRO,2,0,0,0,0,0,0,0,0,0,0,0,2
WARO,0,1,0,1,0,0,0,0,0,0,0,0,2
Total,37,16,1,24,0,0,2,3,0,0,2,0,85
