Component,No. of Full Grants,No. of Full Denials,Number of Full Denials Based on Reasons Other than Exemptions - No Records,Number of Full Denials Based on Reasons Other than Exemptions - All Records Referred,Number of Full Denials Based on Reasons Other than Exemptions - Request Withdrawn,Number of Full Denials Based on Reasons Other than Exemptions - Fee-Related Reason,Number of Full Denials Based on Reasons Other than Exemptions - Not Reasonably Described,Number of Full Denials Based on Reasons Other than Exemptions - Improper FOIA Request,Number of Full Denials Based on Reasons Other than Exemptions - Not Agency Record,Number of Full Denials Based on Reasons Other than Exemptions - Duplicate Request,Number of Full Denials Based on Reasons Other than Exemptions - Other,Total,
ATLANTA,2,430,47,2,1,4,0,0,1,3,21,78,589
BIRMINGHAM,2,699,161,6,0,6,0,10,4,1,14,29,932
CHARLOTTE,5,964,32,0,2,2,0,0,1,0,3,50,1059
CHICAGO,47,634,108,5,2,2,0,0,1,0,3,136,938
DALLAS,205,1178,140,8,5,20,3,1,8,2,16,181,1767
HOUSTON,8,726,85,5,0,3,0,3,0,1,6,63,900
INDIANAPOLIS,202,1568,133,66,33,5,0,1,48,2,111,240,2409
LOS ANGELES,22,331,109,165,0,1,1,0,19,0,10,82,740
MEMPHIS,16,677,86,12,0,1,0,0,0,0,1,16,809
MIAMI,159,723,424,8,3,3,0,2,21,0,28,335,1706
NEW YORK,12,430,57,5,2,1,0,0,8,0,5,100,620
OLC/HDQ,92,33,92,51,12,2,2,11,14,0,12,60,381
PHILADELPHIA,4,942,149,19,64,6,7,8,1,3,22,111,1336
PHOENIX,21,303,95,4,6,0,0,0,0,0,2,36,467
SAN FRANCISCO,24,400,55,22,0,3,0,0,0,1,0,36,541
ST. LOUIS,85,803,70,2,0,2,0,0,0,0,8,45,1015
WFO,2,68,23,3,10,0,0,0,0,6,4,18,134
Total,908,10909,1866,383,140,61,13,36,126,19,266,1616,16343
