Component,No. of Full Grants,No. of Full Denials,Number of Full Denials Based on Reasons Other than Exemptions - No Records,Number of Full Denials Based on Reasons Other than Exemptions - All Records Referred,Number of Full Denials Based on Reasons Other than Exemptions - Request Withdrawn,Number of Full Denials Based on Reasons Other than Exemptions - Fee-Related Reason,Number of Full Denials Based on Reasons Other than Exemptions - Not Reasonably Described,Number of Full Denials Based on Reasons Other than Exemptions - Improper FOIA Request,Number of Full Denials Based on Reasons Other than Exemptions - Not Agency Record,Number of Full Denials Based on Reasons Other than Exemptions - Duplicate Request,Number of Full Denials Based on Reasons Other than Exemptions - Other,Total,
CBP,2065,15899,80,9840,28,605,13,158,8861,6696,6694,117,51056
CRCL,5,18,1,44,0,1,0,2,0,2,0,1,74
FEMA,73,144,8,62,1,79,3,19,76,0,27,16,508
FLETC,11,38,1,32,0,0,3,0,6,8,0,0,99
I&A,7,21,6,101,20,1,3,42,25,28,1,0,255
ICE,344,27002,699,1522,862,98,6,102,782,264,87,1876,33644
NPPD,428,2038,7,1284,1702,16,2,12,63,2,24,3,5581
OIG,16,103,7,27,3,1,0,2,4,1,0,2,166
OPS,9,11,7,23,6,3,0,0,0,0,0,0,59
PRIV,36,144,25,50,111,16,5,110,141,7,9,11,665
S&T,11,11,7,13,8,2,0,7,0,8,1,0,68
TSA,89,113,9,64,15,39,0,132,22,1,4,3,491
USCG,1801,224,28,333,1,152,6,4,7,11,33,20,2620
USCIS,11684,82666,5315,16892,853,135,153,1,5773,4527,13694,7,141700
USSS,72,171,12,402,2,12,0,19,6,10,4,335,1045
Total,16651,128603,6212,30689,3612,1160,194,610,15766,11565,20578,2391,238031
