Component,No. of Full Grants,No. of Full Denials,Number of Full Denials Based on Reasons Other than Exemptions - No Records,Number of Full Denials Based on Reasons Other than Exemptions - All Records Referred,Number of Full Denials Based on Reasons Other than Exemptions - Request Withdrawn,Number of Full Denials Based on Reasons Other than Exemptions - Fee-Related Reason,Number of Full Denials Based on Reasons Other than Exemptions - Not Reasonably Described,Number of Full Denials Based on Reasons Other than Exemptions - Improper FOIA Request,Number of Full Denials Based on Reasons Other than Exemptions - Not Agency Record,Number of Full Denials Based on Reasons Other than Exemptions - Duplicate Request,Number of Full Denials Based on Reasons Other than Exemptions - Other,Total,
ADJ BDS,12,0,1,3,1,6,0,0,0,0,1,0,24
ALJ,94,9,0,5,2,4,0,0,5,0,3,3,125
ASP,0,1,1,1,0,0,0,0,0,0,0,0,3
BLS,5,6,0,10,2,0,0,0,0,0,0,0,23
CFO,2,7,0,3,0,0,0,0,0,0,0,0,12
EBSA,1975,70,24,120,12,38,2,51,2,8,14,3,2319
ESA - OFCCP,62,79,18,114,25,16,12,0,4,5,6,0,341
ESA - OLMS,10,23,10,45,4,1,0,1,13,3,2,5,117
ESA - OMAP,2,0,1,0,0,0,0,0,0,0,0,0,3
ESA - OWCP,458,20,21,85,2,7,3,3,8,7,9,6,629
ESA - WHD,74,660,137,295,2,31,4,2,8,3,101,11,1328
ETA,531,137,10,301,7,9,58,10,33,26,25,47,1194
ILAB,12,2,0,1,0,0,0,0,0,0,0,0,15
JOB CORP,18,3,6,3,12,2,1,2,0,2,0,0,49
MSHA,690,600,98,75,0,34,34,7,6,12,15,0,1571
OASAM,39,62,11,40,0,13,1,6,2,37,3,11,225
OCIA,0,0,0,0,0,0,0,0,0,0,0,0,0
ODEP,0,0,0,0,0,0,0,0,0,0,0,0,0
OIG,6,23,8,9,11,0,2,3,0,0,1,3,66
OPA,4,0,0,0,0,0,0,0,0,0,0,0,4
OSBP,0,0,1,0,0,0,0,0,0,1,0,0,2
OSHA,651,4878,1435,362,665,177,61,105,74,78,132,0,8618
SOL,5,8,1,0,4,0,0,0,0,0,0,0,18
VETS,33,76,1,0,0,2,4,0,0,0,0,0,116
WB,1,0,0,4,1,0,0,0,0,0,1,1,8
Total,4684,6664,1784,1476,750,340,182,190,155,182,313,90,16810
