Component,No. of Full Grants,No. of Full Denials,Number of Full Denials Based on Reasons Other than Exemptions - No Records,Number of Full Denials Based on Reasons Other than Exemptions - All Records Referred,Number of Full Denials Based on Reasons Other than Exemptions - Request Withdrawn,Number of Full Denials Based on Reasons Other than Exemptions - Fee-Related Reason,Number of Full Denials Based on Reasons Other than Exemptions - Not Reasonably Described,Number of Full Denials Based on Reasons Other than Exemptions - Improper FOIA Request,Number of Full Denials Based on Reasons Other than Exemptions - Not Agency Record,Number of Full Denials Based on Reasons Other than Exemptions - Duplicate Request,Number of Full Denials Based on Reasons Other than Exemptions - Other,Total,
ACF,65,102,1,26,17,70,2,2,9,14,8,6,322
CMS,30976,852,5314,7985,2458,644,366,211,542,81,529,1724,51682
OIG,146,98,118,106,16,47,5,6,62,77,21,24,726
AHRQ,0,0,0,0,6,0,0,0,0,0,0,0,6
CDC,230,280,30,183,66,42,11,8,15,15,13,146,1039
FDA,7426,186,194,616,24,791,59,7,58,1,145,195,9702
HRSA,258,30,3,5,7,3,0,0,0,4,2,0,312
IHS,53,27,1,6,4,4,0,0,0,5,0,2,102
NIH,772,102,11,113,15,175,6,17,6,13,6,0,1236
SAMHSA,70,80,2,5,3,1,0,0,0,0,1,0,162
OS,172,224,23,56,656,18,1,12,48,65,6,32,1313
OASH,134,208,17,67,31,32,1,5,2,3,5,0,505
ACL,16,2,0,0,0,0,0,0,0,0,0,0,18
Total,40318,2191,5714,9168,3303,1827,451,268,742,278,736,2129,67125
