Component,No. of Full Grants,No. of Full Denials,Number of Full Denials Based on Reasons Other than Exemptions - No Records,Number of Full Denials Based on Reasons Other than Exemptions - All Records Referred,Number of Full Denials Based on Reasons Other than Exemptions - Request Withdrawn,Number of Full Denials Based on Reasons Other than Exemptions - Fee-Related Reason,Number of Full Denials Based on Reasons Other than Exemptions - Not Reasonably Described,Number of Full Denials Based on Reasons Other than Exemptions - Improper FOIA Request,Number of Full Denials Based on Reasons Other than Exemptions - Not Agency Record,Number of Full Denials Based on Reasons Other than Exemptions - Duplicate Request,Number of Full Denials Based on Reasons Other than Exemptions - Other,Total,
BIA,1044,460,44,214,35,27,58,15,30,4,6,19,1956
BLM,330,284,23,89,42,33,22,13,16,6,23,58,939
BOEM,29,17,0,9,5,4,0,0,1,0,1,28,94
BOR,77,41,3,24,5,14,2,1,1,2,2,47,219
BSEE,95,68,5,35,7,6,0,0,0,11,4,7,238
FWS,597,204,28,87,21,12,7,7,4,8,13,254,1242
NPS,374,234,37,64,5,31,23,4,8,1,6,23,810
OIG,14,59,10,13,3,5,0,0,0,0,2,7,113
OS,129,98,3,52,19,12,25,10,11,20,5,47,431
OSM,26,5,0,11,0,10,2,1,0,1,2,5,63
SOL,32,18,4,15,9,6,1,0,1,0,2,2,90
USGS,101,16,4,26,4,6,2,1,0,0,2,6,168
Total,2848,1504,161,639,155,166,142,52,72,53,68,503,6363
