Component,No. of Full Grants,No. of Full Denials,Number of Full Denials Based on Reasons Other than Exemptions - No Records,Number of Full Denials Based on Reasons Other than Exemptions - All Records Referred,Number of Full Denials Based on Reasons Other than Exemptions - Request Withdrawn,Number of Full Denials Based on Reasons Other than Exemptions - Fee-Related Reason,Number of Full Denials Based on Reasons Other than Exemptions - Not Reasonably Described,Number of Full Denials Based on Reasons Other than Exemptions - Improper FOIA Request,Number of Full Denials Based on Reasons Other than Exemptions - Not Agency Record,Number of Full Denials Based on Reasons Other than Exemptions - Duplicate Request,Number of Full Denials Based on Reasons Other than Exemptions - Other,Total,
Office of the AG,25,29,10,40,26,8,0,0,0,1,3,14,156
Office of the DAG,13,18,6,33,7,4,0,0,0,0,3,4,88
Office of the Assoc. AG,0,2,0,14,3,1,0,0,0,0,4,1,25
Antitrust,10,22,30,34,0,14,7,1,0,0,0,2,120
ATF,262,463,185,241,26,2,47,27,243,18,38,91,1643
BOP,8646,1239,206,755,137,565,491,823,983,771,292,0,14908
Civil,70,27,22,75,9,16,11,9,18,1,9,0,267
Civil Rights,190,113,16,29,24,4,7,3,4,0,1,30,421
COPS,20,11,0,15,2,3,0,0,0,0,0,0,51
Criminal,102,172,107,351,48,122,3,309,123,38,47,0,1422
CRS,0,1,0,10,0,0,0,0,0,0,0,0,11
DEA,37,363,59,148,8,5,63,299,256,0,15,48,1301
ENRD,22,33,7,31,4,7,0,3,5,0,0,0,112
EOIR,9688,187,34,2307,251,38,203,471,33,0,368,0,13580
EOUSA,373,619,683,666,45,35,112,381,266,277,37,1084,4578
EOUST,3,6,0,7,0,14,2,7,1,1,0,0,41
FBI,89,2276,196,10023,0,229,575,3477,5,0,813,34,17717
FCSC,0,13,0,2,0,0,0,0,0,0,0,0,15
JMD,88,10,5,27,135,11,20,4,1,9,1,1,312
NDIC,7,19,1,26,5,0,0,2,0,0,0,5,65
NSD,22,15,26,95,1,1,1,0,0,10,0,3,174
ODR,0,0,0,13,0,0,0,0,0,0,0,0,13
OFDT,13,13,0,11,7,1,1,0,0,6,0,1,53
OIG,49,68,21,66,3,1,2,0,1,5,1,0,217
OIP,44,9,1,20,341,29,2,3,5,21,3,16,494
OIPL,0,0,0,7,0,0,0,0,0,0,1,0,8
OJP,91,89,1,68,14,35,0,0,0,28,0,0,326
OLA,11,19,2,19,6,2,1,0,4,1,0,11,76
OLC,19,10,12,21,1,0,0,0,2,0,0,0,65
OLP,16,50,2,11,8,2,1,0,1,1,1,4,97
OPR,9,17,17,19,5,1,0,4,1,0,1,4,78
OSG,46,21,33,20,6,0,0,10,12,0,0,0,148
OVW,8,20,0,5,3,0,0,0,0,0,0,0,36
Pardon Attorney,24,34,2,9,0,0,1,0,0,0,0,0,70
Public Affairs,0,1,1,8,1,1,0,0,0,0,0,0,12
PRAO,3,0,1,11,0,0,0,0,0,1,0,0,16
TAX,2,9,4,115,9,0,2,4,39,0,0,13,197
USMS,322,449,95,320,32,9,15,12,27,14,14,97,1406
USNCB,11,33,26,122,0,0,0,1,3,0,0,23,219
USPC,408,17,8,92,1,7,46,0,154,0,1,0,734
Total,20743,6497,1819,15886,1168,1167,1613,5850,2187,1203,1653,1486,61272
