Component,No. of Full Grants,No. of Full Denials,Number of Full Denials Based on Reasons Other than Exemptions - No Records,Number of Full Denials Based on Reasons Other than Exemptions - All Records Referred,Number of Full Denials Based on Reasons Other than Exemptions - Request Withdrawn,Number of Full Denials Based on Reasons Other than Exemptions - Fee-Related Reason,Number of Full Denials Based on Reasons Other than Exemptions - Not Reasonably Described,Number of Full Denials Based on Reasons Other than Exemptions - Improper FOIA Request,Number of Full Denials Based on Reasons Other than Exemptions - Not Agency Record,Number of Full Denials Based on Reasons Other than Exemptions - Duplicate Request,Number of Full Denials Based on Reasons Other than Exemptions - Other,Total,
Office of the AG,59,56,13,126,12,15,1,0,19,1,26,53,381
Office of the DAG,22,46,15,78,6,9,0,0,3,0,25,14,218
Office of the Assoc. AG,6,16,1,82,3,6,0,0,2,0,5,10,131
Antitrust,12,19,17,59,3,14,4,0,1,0,2,1,132
ATF,75,459,229,231,21,11,45,11,91,14,33,6,1226
BOP,10213,1867,195,622,40,136,531,285,1935,320,231,0,16375
Civil,120,39,17,85,9,23,4,9,4,7,6,0,323
Civil Rights,134,128,52,64,43,93,9,2,6,2,1,0,534
COPS,34,22,0,29,0,7,0,0,0,0,0,0,92
Criminal,42,79,52,160,53,5,0,129,212,172,3,3,910
CRS,7,7,0,8,1,0,0,0,0,1,0,0,24
DEA,99,797,127,358,5,21,56,42,155,8,59,26,1753
ENRD,23,23,1,17,2,4,0,1,5,0,0,0,76
EOIR,17465,488,66,4906,9,33,55,0,31,10,351,3,23417
EOUSA,476,658,766,728,191,34,170,442,1058,164,46,91,4824
EOUST,9,15,1,17,0,2,1,0,27,4,1,1,78
FBI,145,1671,405,4906,21,157,399,1846,0,0,2222,110,11882
FCSC,3,5,0,17,0,0,0,0,0,0,0,0,25
JMD,61,20,3,13,30,8,12,1,1,3,5,0,157
NSD,63,20,11,58,6,1,0,1,14,20,5,4,203
OCDETF,2,2,2,13,3,1,0,1,4,0,0,0,28
OFDT,11,11,0,17,4,0,1,0,0,0,0,0,44
OIG,27,76,25,75,2,0,2,0,1,1,1,0,210
OIP,86,39,2,54,5,7,2,7,232,3,13,260,710
OIPL,2,1,0,13,0,0,0,0,1,0,5,0,22
OJP,88,149,17,72,14,11,5,0,2,0,1,0,359
OLA,17,17,3,26,3,8,0,0,5,0,9,9,97
OLC,24,25,39,37,2,6,0,2,2,0,1,2,140
OLP,5,50,3,27,1,0,0,0,8,1,10,2,107
OPR,11,5,18,28,5,0,1,0,4,0,0,0,72
OSG,29,14,5,43,5,6,0,1,1,2,0,0,106
OVW,21,36,0,11,1,2,0,0,0,0,0,0,71
Pardon Attorney,47,43,1,33,1,0,0,0,2,0,0,0,127
Public Affairs,4,11,0,14,2,2,0,0,2,0,3,3,41
PRAO,7,3,0,16,1,0,0,0,3,0,0,0,30
TAX,28,25,3,53,13,1,1,3,22,0,2,0,151
USMS,819,853,208,584,30,11,13,10,114,17,30,15,2704
USNCB,11,80,29,48,2,1,0,0,0,1,2,2,176
USPC,316,94,0,88,3,10,4,0,56,0,4,0,575
Total,30623,7969,2326,13816,552,645,1316,2793,4023,751,3102,615,68531
