Component,No. of Full Grants,No. of Full Denials,Number of Full Denials Based on Reasons Other than Exemptions - No Records,Number of Full Denials Based on Reasons Other than Exemptions - All Records Referred,Number of Full Denials Based on Reasons Other than Exemptions - Request Withdrawn,Number of Full Denials Based on Reasons Other than Exemptions - Fee-Related Reason,Number of Full Denials Based on Reasons Other than Exemptions - Not Reasonably Described,Number of Full Denials Based on Reasons Other than Exemptions - Improper FOIA Request,Number of Full Denials Based on Reasons Other than Exemptions - Not Agency Record,Number of Full Denials Based on Reasons Other than Exemptions - Duplicate Request,Number of Full Denials Based on Reasons Other than Exemptions - Other,Total,
BPA,36,28,0,8,0,6,1,0,0,0,1,0,80
CBFO,9,1,1,1,1,1,0,0,0,0,0,0,14
CH,22,3,1,18,2,6,4,1,0,15,0,0,72
EMCBC,15,8,0,16,1,4,0,0,0,0,0,0,44
GFO,65,72,1,19,6,103,1,0,0,1,0,0,268
HQ,167,255,18,133,239,84,8,5,5,5,21,0,940
ID,12,9,6,12,0,1,0,0,0,0,0,0,40
NETL,19,19,0,5,0,2,1,0,1,0,3,0,50
NNSA,124,30,5,80,13,23,1,1,0,13,1,0,291
NR,0,0,0,0,0,0,0,0,0,0,0,0,0
NRLFO,2,3,0,1,0,0,0,0,1,0,0,0,7
ORO,164,11,1,43,6,4,1,4,3,7,4,0,248
OSTI,2,0,0,5,3,1,0,0,2,0,0,0,13
ROO,52,13,0,13,2,7,2,0,0,5,0,0,94
SEPA,2,0,0,4,0,0,0,0,0,0,0,0,6
SPR,1,0,0,3,0,2,0,0,0,0,0,0,6
SRO,25,2,0,3,3,2,1,0,0,4,1,0,41
SWPA,3,2,1,3,0,1,0,0,0,0,0,0,10
WAPA,14,9,2,3,0,3,1,0,0,2,0,0,34
Total,734,465,36,370,276,250,21,11,12,52,31,0,2258
